Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11108151	0.04388229	0.07033434	-0.00965230	-0.00159091	-0.00304700	0.08490263	0.04963797	0.05920578	-0.00635533	-0.00356646	-0.00426389	0.06464572	0.04735322	0.04597297	-0.00449000	-0.00639533	0.00294286	0.10910416	0.09082165	0.10210080	-0.00710818	-0.00560085	0.00363962	0.07513209	0.08943135	0.08164026	0.00176296	-0.01568830	0.00494635	0.05652573	0.07914989	0.05322343	-0.00165530	-0.00939742	0.00618565
0.033333	0.11092504	0.04387498	0.07026204	-0.00825319	-0.00234951	-0.00199132	0.08481139	0.04960524	0.05910360	-0.00566597	-0.00615927	-0.00456581	0.06456029	0.04729023	0.04598459	-0.00295759	-0.01040567	0.00229374	0.10902715	0.09076394	0.10213727	-0.00685732	-0.00648293	0.00347146	0.07516857	0.08913825	0.08171958	0.00080712	-0.01185385	0.00405418	0.05651076	0.07897337	0.05332342	-0.00161257	-0.00957351	0.00229006
0.050000	0.11078341	0.04381219	0.07022589	-0.00685408	-0.00310812	-0.00093565	0.08469639	0.04947812	0.05905867	-0.00497660	-0.00875208	-0.00486773	0.06450044	0.04706218	0.04608767	-0.00142519	-0.01441602	0.00164463	0.10885868	0.09061472	0.10221216	-0.00660646	-0.00736500	0.00330330	0.07519124	0.08894815	0.08176190	-0.00014871	-0.00801939	0.00316200	0.05646289	0.07881851	0.05339062	-0.00156984	-0.00974961	-0.00160553
0.066666	0.11064262	0.04376540	0.07028546	-0.00587533	-0.00350747	-0.00263174	0.08462224	0.04935209	0.05901350	-0.00410085	-0.00996696	-0.00598087	0.06451169	0.04684690	0.04610109	-0.00172217	-0.01656820	0.00103936	0.10874532	0.09049880	0.10229215	-0.00627695	-0.00714584	0.00203510	0.07514727	0.08885086	0.08189077	0.00046555	-0.00725991	0.00144233	0.05644466	0.07870284	0.05335570	-0.00142713	-0.01142566	-0.00273447
0.083333	0.11059945	0.04368500	0.07023208	-0.00450602	-0.00379977	-0.00327279	0.08453616	0.04908988	0.05888638	-0.00231304	-0.01075294	-0.00615156	0.06451753	0.04647929	0.04610079	-0.00017814	-0.01820188	-0.00017038	0.10864261	0.09032865	0.10234021	-0.00621176	-0.00669940	0.00156664	0.07515581	0.08881250	0.08186447	-0.00001643	-0.00449737	0.00158773	0.05641584	0.07850926	0.05320564	-0.00068857	-0.01099829	-0.00364182
0.100000	0.11054919	0.04363516	0.07015354	-0.00308310	-0.00285923	-0.00428224	0.08452827	0.04891598	0.05872541	-0.00014294	-0.00939580	-0.00626231	0.06448277	0.04613667	0.04607480	0.00116159	-0.01669628	-0.00096972	0.10860983	0.09025778	0.10229820	-0.00515750	-0.00540158	0.00155155	0.07516263	0.08871648	0.08181442	-0.00007410	-0.00284632	0.00274179	0.05640720	0.07824817	0.05307941	0.00088206	-0.00980910	-0.00237691
0.116666	0.11048520	0.04354424	0.07001875	-0.00270021	-0.00172007	-0.00459360	0.08452332	0.04868527	0.05860563	0.00174728	-0.00686544	-0.00578126	0.06447054	0.04577081	0.04604438	0.00327179	-0.01327797	-0.00147056	0.10847282	0.09014706	0.10229471	-0.00325044	-0.00387219	0.00202340	0.07519755	0.08867463	0.08182672	0.00014752	-0.00215848	0.00481783	0.05640703	0.07801422	0.05303011	0.00318594	-0.00829566	-0.00009740
