Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10381869	0.02922849	0.04851047	-0.00031088	0.00014025	-0.01202907	0.08759778	0.05073583	0.04975577	-0.00157074	0.00080323	-0.01002088	0.07121494	0.05323191	0.04556344	-0.00127975	0.00023818	-0.00590783	0.10907086	0.06009623	0.09194516	0.00251279	-0.00514792	-0.00491897	0.07849421	0.08276377	0.08373531	-0.00602635	-0.01054772	-0.00288875	0.05567469	0.08170669	0.05267283	0.00242957	-0.00356627	-0.00628297
0.033333	0.10382602	0.02920886	0.04833556	0.00098013	-0.00081148	-0.00934072	0.08756516	0.05075699	0.04960000	-0.00070006	-0.00082098	-0.00933222	0.07121907	0.05324962	0.04545708	-0.00150338	-0.00284505	-0.00546737	0.10912482	0.06003790	0.09187778	0.00075169	-0.00748954	-0.00422226	0.07841558	0.08261849	0.08371578	-0.00488007	-0.01071614	-0.00366235	0.05568117	0.08164932	0.05258862	0.00372717	-0.00440465	-0.00648460
0.050000	0.10381432	0.02922139	0.04812909	0.00227113	-0.00176321	-0.00665237	0.08757223	0.05075874	0.04943719	0.00017062	-0.00244520	-0.00864356	0.07116830	0.05321277	0.04537584	-0.00172701	-0.00592828	-0.00502691	0.10913482	0.05989869	0.09179555	-0.00100941	-0.00983115	-0.00352555	0.07831088	0.08240693	0.08362031	-0.00373380	-0.01088456	-0.00443594	0.05577224	0.08157439	0.05246282	0.00502477	-0.00524303	-0.00668623
0.066666	0.10386030	0.02921939	0.04803141	0.00348461	-0.00286567	-0.00552133	0.08757693	0.05072048	0.04925880	0.00161272	-0.00181391	-0.00722640	0.07111865	0.05308808	0.04529084	-0.00092287	-0.00583716	-0.00478571	0.10909928	0.05971636	0.09171264	-0.00105262	-0.00964923	-0.00197482	0.07823711	0.08223498	0.08352999	-0.00227169	-0.01388775	-0.00265063	0.05587983	0.08149429	0.05232847	0.00433819	-0.00525145	-0.00563272
0.083333	0.10393752	0.02912910	0.04798900	0.00571436	-0.00339206	-0.00431776	0.08756012	0.05057027	0.04917175	0.00334056	-0.00126506	-0.00619619	0.07110322	0.05290301	0.04521880	-0.00075389	-0.00654212	-0.00424489	0.10904980	0.05948371	0.09169096	-0.00158284	-0.01021395	-0.00070121	0.07819990	0.08200864	0.08346481	-0.00096780	-0.01996380	0.00003267	0.05598669	0.08137467	0.05223066	0.00427335	-0.00473196	-0.00483425
0.100000	0.10403943	0.02902357	0.04799825	0.00696982	-0.00421017	-0.00402938	0.08765860	0.05058610	0.04909409	0.00434922	-0.00063945	-0.00570909	0.07112681	0.05278097	0.04514325	-0.00054706	-0.00641786	-0.00430183	0.10900921	0.05933091	0.09171685	-0.00137430	-0.01073787	0.00031926	0.07825475	0.08183084	0.08343872	-0.00018641	-0.02573437	0.00305110	0.05602381	0.08126965	0.05217477	0.00348426	-0.00450143	-0.00381065
0.116666	0.10420433	0.02894741	0.04792190	0.00644649	-0.00485703	-0.00518803	0.08777854	0.05060863	0.04904909	0.00458481	-0.00048146	-0.00603537	0.07114225	0.05272124	0.04508362	-0.00115492	-0.00645027	-0.00514489	0.10900728	0.05918561	0.09177231	-0.00104029	-0.01197171	0.00064705	0.07827226	0.08116524	0.08359677	0.00014171	-0.02812851	0.00380380	0.05606113	0.08122355	0.05214614	0.00256787	-0.00532152	-0.00338865
