Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11708903	0.04399107	0.06211505	0.00313693	-0.01075775	0.00557799	0.09044652	0.04131978	0.05302090	-0.00329526	-0.00587950	0.00532350	0.07476053	0.04808871	0.04058412	0.00425553	0.01201662	0.00125330	0.11070494	0.07415102	0.10317267	-0.00500942	-0.00761359	-0.00004791	0.07507663	0.07680622	0.07830717	-0.00443673	-0.00544699	0.00074063	0.05842155	0.06642681	0.04334521	-0.00435531	0.00013802	-0.00107175
0.033333	0.11715578	0.04379717	0.06219706	0.00323967	-0.01015980	0.00675171	0.09040313	0.04120707	0.05312101	-0.00162520	-0.00391436	0.00604595	0.07481297	0.04819940	0.04063487	0.00465879	0.01261560	0.00191063	0.11062700	0.07400793	0.10317813	-0.00445427	-0.00722255	-0.00010841	0.07500586	0.07667211	0.07832886	-0.00452289	-0.00454346	0.00067860	0.05837169	0.06638844	0.04331467	-0.00503922	0.00106551	0.00002984
0.050000	0.11719262	0.04363712	0.06231899	0.00334242	-0.00956185	0.00792542	0.09035948	0.04114723	0.05320469	0.00004485	-0.00194923	0.00676839	0.07490879	0.04851970	0.04063249	0.00506206	0.01321457	0.00256796	0.11054639	0.07390640	0.10317157	-0.00389913	-0.00683150	-0.00016891	0.07493322	0.07664350	0.07833223	-0.00460906	-0.00363992	0.00061658	0.05826887	0.06645210	0.04332534	-0.00572313	0.00199300	0.00113143
0.066666	0.11723866	0.04351117	0.06244792	0.00417636	-0.00948858	0.00762700	0.09035990	0.04114432	0.05329997	0.00238464	-0.00127093	0.00622133	0.07500169	0.04874966	0.04065250	0.00409035	0.00942957	0.00404618	0.11047728	0.07380595	0.10316158	-0.00314852	-0.00697642	0.00028249	0.07484449	0.07660444	0.07833561	-0.00404061	-0.00452218	0.00090864	0.05815727	0.06649779	0.04335513	-0.00442814	0.00101280	0.00088221
0.083333	0.11730895	0.04332554	0.06262152	0.00537558	-0.00807153	0.00676817	0.09039271	0.04112813	0.05346556	0.00554437	0.00054602	0.00430831	0.07509516	0.04898868	0.04073507	0.00288845	0.00488451	0.00505069	0.11042674	0.07368004	0.10316133	-0.00225791	-0.00664110	0.00065886	0.07476915	0.07654762	0.07834503	-0.00346405	-0.00469970	0.00087753	0.05804849	0.06654647	0.04339067	-0.00312900	0.00023507	0.00080264
0.100000	0.11740659	0.04317023	0.06275417	0.00690314	-0.00653268	0.00484558	0.09052356	0.04114737	0.05358376	0.00798970	0.00153961	0.00193099	0.07513233	0.04899610	0.04087482	0.00121929	-0.00075776	0.00570886	0.11040777	0.07356001	0.10318048	-0.00153475	-0.00633648	0.00096597	0.07471921	0.07642610	0.07838135	-0.00277159	-0.00521472	0.00068747	0.05801222	0.06651942	0.04341636	-0.00107265	-0.00156779	-0.00005445
0.116666	0.11754481	0.04306467	0.06280989	0.00804595	-0.00429462	0.00219763	0.09074071	0.04118638	0.05356083	0.00974529	0.00235260	-0.00081498	0.07511298	0.04883243	0.04100933	-0.00044368	-0.00652832	0.00561435	0.11040239	0.07344524	0.10321692	-0.00104994	-0.00550872	0.00114006	0.07469206	0.07630813	0.07839971	-0.00214898	-0.00521904	0.00053726	0.05805064	0.06646087	0.04338832	0.00135443	-0.00390740	-0.00124069
