Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11381420	0.04764878	0.06046236	0.00725183	0.00587289	0.01312142	0.08890329	0.04425809	0.05094070	-0.00513958	0.01322088	0.01912910	0.07232863	0.04587581	0.04116497	0.00294754	0.02430907	0.01968429	0.10629611	0.07586192	0.10179574	0.00322198	-0.00452531	-0.00011548	0.07128797	0.07870984	0.07653596	0.01466086	-0.00359183	-0.00035092	0.05615061	0.06615087	0.04066549	-0.01088575	0.01339433	0.00459339
0.033333	0.11390267	0.04771027	0.06072437	0.00990074	0.00152909	0.01071346	0.08881415	0.04445378	0.05130920	-0.00407049	0.00601722	0.01563879	0.07237160	0.04629974	0.04152232	0.00303404	0.02109678	0.01296104	0.10634717	0.07578686	0.10179345	0.00261427	-0.00709089	0.00063747	0.07150020	0.07863356	0.07655318	0.01406645	-0.00579270	-0.00099220	0.05600515	0.06639135	0.04071529	-0.00911385	0.01139250	0.00353517
0.050000	0.11407442	0.04778047	0.06087886	0.01254966	-0.00281471	0.00830549	0.08874496	0.04460819	0.05153794	-0.00300140	-0.00118644	0.01214848	0.07243297	0.04664559	0.04174040	0.00312054	0.01788448	0.00623780	0.10639311	0.07568321	0.10180070	0.00200656	-0.00965647	0.00139043	0.07176497	0.07856891	0.07651535	0.01347204	-0.00799357	-0.00163347	0.05580204	0.06657641	0.04079925	-0.00734194	0.00939067	0.00247694
0.066666	0.11434932	0.04776606	0.06096327	0.01172860	-0.00836957	0.00990102	0.08870698	0.04458670	0.05168781	-0.00267570	-0.00745679	0.01295996	0.07248978	0.04693800	0.04179958	0.00320313	0.01590958	0.00446115	0.10643385	0.07549981	0.10182988	0.00123449	-0.01104627	0.00192572	0.07202535	0.07841641	0.07646849	0.01148731	-0.00987057	-0.00100803	0.05566404	0.06671730	0.04087388	-0.00550345	0.00898335	0.00055624
0.083333	0.11458053	0.04759318	0.06106851	0.01297710	-0.01614484	0.01076553	0.08866868	0.04438658	0.05183430	-0.00194092	-0.01755507	0.01296045	0.07252585	0.04713601	0.04175775	0.00343007	0.01151622	0.00137566	0.10644601	0.07529603	0.10186516	0.00049338	-0.01375055	0.00310463	0.07220572	0.07825502	0.07644147	0.01015093	-0.01284049	-0.00062302	0.05561223	0.06681716	0.04086273	-0.00361986	0.00735871	-0.00062917
0.100000	0.11476868	0.04721585	0.06127479	0.01367749	-0.02239508	0.01218139	0.08865430	0.04397760	0.05205783	-0.00139356	-0.02526001	0.01424208	0.07258879	0.04734984	0.04170131	0.00353107	0.00753069	0.00118206	0.10643843	0.07503324	0.10192271	0.00033274	-0.01511166	0.00406721	0.07231010	0.07798544	0.07644982	0.00910885	-0.01457227	0.00028134	0.05562403	0.06695803	0.04077891	-0.00184416	0.00650833	-0.00154030
0.116666	0.11493643	0.04670268	0.06155824	0.01398591	-0.02543551	0.01265141	0.08862331	0.04341964	0.05234938	-0.00110098	-0.02911551	0.01489869	0.07264798	0.04743004	0.04172303	0.00362975	0.00446549	0.00240351	0.10641258	0.07475352	0.10200001	0.00074029	-0.01521619	0.00470718	0.07240390	0.07769418	0.07647089	0.00880196	-0.01476539	0.00106082	0.05561506	0.06706180	0.04070912	-0.00080053	0.00627528	-0.00174940
