Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11574181	0.04841729	0.06072383	-0.00640171	0.01231066	-0.00998073	0.08886065	0.04199953	0.05327225	0.01009941	0.01247180	-0.01500830	0.07032999	0.04567484	0.04327474	0.00168082	-0.00620025	-0.00511065	0.11328516	0.08186793	0.09807775	0.00649399	0.01264544	0.00041869	0.07426966	0.08103582	0.07650126	-0.00542069	0.00395910	0.00419235	0.05638626	0.06689162	0.04373595	0.01293346	0.00536369	-0.00826446
0.033333	0.11564264	0.04865617	0.06053334	-0.00521245	0.01066048	-0.00822369	0.08903395	0.04222928	0.05300886	0.00899080	0.01054392	-0.01188134	0.07035020	0.04554319	0.04318981	0.00138201	-0.00468405	-0.00377958	0.11339097	0.08207091	0.09808509	0.00563646	0.01130243	0.00057601	0.07418308	0.08110243	0.07656686	-0.00464069	0.00476876	0.00326136	0.05661511	0.06696796	0.04359389	0.01030498	0.00571425	-0.00691923
0.050000	0.11553974	0.04881535	0.06041085	-0.00402318	0.00901030	-0.00646664	0.08918201	0.04239329	0.05281080	0.00788219	0.00861603	-0.00875437	0.07038217	0.04548569	0.04312764	0.00108321	-0.00316785	-0.00244851	0.11349082	0.08227235	0.09809595	0.00477893	0.00995942	0.00073333	0.07409607	0.08117688	0.07663443	-0.00386068	0.00557842	0.00233036	0.05677991	0.06706926	0.04348357	0.00767649	0.00606480	-0.00557401
0.066666	0.11546934	0.04891604	0.06033285	-0.00358382	0.00994010	-0.00668702	0.08930434	0.04251887	0.05267208	0.00731393	0.00864276	-0.00767968	0.07040685	0.04546193	0.04308293	0.00043377	-0.00402994	-0.00120620	0.11356907	0.08244045	0.09810518	0.00418981	0.00888467	0.00090324	0.07403383	0.08127130	0.07666710	-0.00341391	0.00581863	0.00186817	0.05690081	0.06719522	0.04338829	0.00648315	0.00494627	-0.00457685
0.083333	0.11544678	0.04905836	0.06024768	-0.00344147	0.00932014	-0.00610309	0.08942076	0.04261398	0.05261705	0.00616590	0.00781100	-0.00594946	0.07041104	0.04542790	0.04306867	-0.00005182	-0.00450173	0.00019940	0.11362918	0.08257170	0.09812077	0.00331586	0.00729139	0.00088837	0.07399222	0.08138744	0.07668019	-0.00276500	0.00599640	0.00080251	0.05696670	0.06728644	0.04332486	0.00457425	0.00385521	-0.00342652
0.100000	0.11542107	0.04925431	0.06013762	-0.00381244	0.00895681	-0.00622692	0.08951039	0.04275657	0.05254325	0.00540244	0.00724669	-0.00528984	0.07039402	0.04534340	0.04310808	-0.00020944	-0.00552710	0.00075821	0.11366636	0.08266079	0.09814622	0.00268807	0.00582552	0.00068505	0.07395947	0.08150455	0.07668566	-0.00230041	0.00576103	-0.00029281	0.05701448	0.06734222	0.04329550	0.00365676	0.00253485	-0.00305339
0.116666	0.11535615	0.04944986	0.06001520	-0.00451630	0.00797973	-0.00616914	0.08959325	0.04290017	0.05246326	0.00471456	0.00665405	-0.00544898	0.07036202	0.04520363	0.04315620	-0.00016071	-0.00616128	0.00080303	0.11370344	0.08274882	0.09816270	0.00227434	0.00459066	0.00054289	0.07392713	0.08159935	0.07668218	-0.00200034	0.00518436	-0.00095051	0.05705877	0.06733790	0.04327161	0.00322200	0.00164103	-0.00312652
