Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10715767	0.04572167	0.05129265	0.00500793	0.00543623	-0.00534945	0.08781976	0.05073060	0.04477755	-0.00039693	-0.00352820	-0.00771453	0.07723171	0.04946524	0.03625308	0.00650960	0.00175618	-0.01399251	0.09315382	0.04998254	0.09436177	0.00120417	-0.00413757	-0.00297156	0.05875712	0.06867697	0.07289135	-0.00285718	-0.01684676	-0.00318916	0.05538226	0.06252884	0.03258349	0.00330623	-0.00534654	-0.01044413
0.033333	0.10723516	0.04583555	0.05122712	0.00529984	0.00366615	-0.00216746	0.08780067	0.05070218	0.04467000	-0.00160777	-0.00509208	-0.00266277	0.07731398	0.04950959	0.03605575	0.00599074	0.00076913	-0.00827319	0.09317568	0.04995383	0.09432626	0.00243188	-0.00529381	-0.00136279	0.05870580	0.06845958	0.07286201	-0.00314591	-0.01758776	0.00028521	0.05543016	0.06246496	0.03244985	0.00271005	-0.00594805	-0.00660787
0.050000	0.10731964	0.04589002	0.05116267	0.00559176	0.00189607	0.00101453	0.08777891	0.05060710	0.04460210	-0.00281860	-0.00665597	0.00238898	0.07742013	0.04952285	0.03588104	0.00547188	-0.00021793	-0.00255388	0.09320864	0.04984071	0.09429342	0.00365959	-0.00645005	0.00024598	0.05864015	0.06812399	0.07285437	-0.00343464	-0.01832876	0.00375958	0.05546635	0.06235625	0.03230871	0.00211387	-0.00654955	-0.00277161
0.066666	0.10743740	0.04588009	0.05116984	0.00523245	0.00233294	0.00506489	0.08776479	0.05043731	0.04462354	-0.00387324	-0.00490377	0.00794725	0.07757241	0.04947623	0.03580678	0.00333474	0.00058398	0.00458818	0.09327153	0.04967384	0.09428181	0.00450710	-0.00455083	0.00302927	0.05860852	0.06772791	0.07288413	-0.00406474	-0.01336956	0.00899956	0.05553360	0.06218968	0.03221374	0.00080077	-0.00444846	0.00327857
0.083333	0.10752174	0.04589203	0.05124972	0.00576763	0.00152507	0.01078610	0.08766670	0.05032711	0.04477076	-0.00365482	-0.00373354	0.01603835	0.07761879	0.04948045	0.03588989	0.00284002	0.00081657	0.01476786	0.09336475	0.04957950	0.09431843	0.00572281	-0.00316951	0.00675320	0.05854969	0.06746513	0.07301240	-0.00375328	-0.00665764	0.01632332	0.05555059	0.06211312	0.03226035	0.00041209	-0.00209422	0.01165136
0.100000	0.10759413	0.04594099	0.05151982	0.00648598	0.00220119	0.01609004	0.08752505	0.05028628	0.04516523	-0.00274022	-0.00023838	0.02383545	0.07756656	0.04950774	0.03629585	0.00243546	0.00297590	0.02560263	0.09347902	0.04956985	0.09448407	0.00646747	0.00076916	0.01004387	0.05842369	0.06739672	0.07340350	-0.00372346	0.00499109	0.02523589	0.05549019	0.06209316	0.03259609	0.00021974	0.00245701	0.02218539
0.116666	0.10768878	0.04598878	0.05188087	0.00710650	0.00439646	0.02065680	0.08747959	0.05033256	0.04566172	-0.00165992	0.00499439	0.03147471	0.07756599	0.04956277	0.03684865	0.00173145	0.00671920	0.03690140	0.09360698	0.04961287	0.09473083	0.00660150	0.00701041	0.01272553	0.05837986	0.06757905	0.07390445	-0.00489500	0.01972922	0.03661312	0.05547390	0.06217835	0.03304620	-0.00058927	0.00831281	0.03500653
