Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.15702377	0.07212684	0.08207630	-0.00094556	0.00178617	-0.00587779	0.13847430	0.06084028	0.08188172	-0.00058949	0.00171534	-0.01064025	0.12851588	0.05045514	0.07563680	-0.00104540	-0.01209996	-0.00592294	0.14581010	0.06697732	0.12546007	-0.00329906	0.00445822	0.00147246	0.11514116	0.04701282	0.11700065	-0.00128665	0.00389289	-0.00310601	0.10395328	0.04567377	0.08042154	-0.00179429	0.00763108	-0.00118841	0.17349862	0.13317946	0.12156452	-0.00247308	-0.00399941	-0.01074725
0.016667	0.15702783	0.07215614	0.08198339	-0.00256063	0.00122041	-0.00588635	0.13850012	0.06086335	0.08169724	-0.00209303	-0.00177272	-0.01081046	0.12851927	0.05023808	0.07554066	-0.00310825	-0.01501317	-0.00711325	0.14576143	0.06703429	0.12549236	-0.00464382	0.00575917	0.00129059	0.11513469	0.04705495	0.11694288	-0.00164666	0.00311987	-0.00302174	0.10394236	0.04577935	0.08040255	-0.00176177	0.00655892	-0.00095979	0.17346452	0.13309801	0.12140311	-0.00286953	-0.00397773	-0.01149331
0.033333	0.15697686	0.07217710	0.08188412	-0.00417569	0.00065465	-0.00589492	0.13844417	0.06084701	0.08152924	-0.00359656	-0.00526078	-0.01098067	0.12846369	0.05000718	0.07542925	-0.00517110	-0.01792637	-0.00830356	0.14568698	0.06713425	0.12550604	-0.00598858	0.00706012	0.00110873	0.11509909	0.04712596	0.11690117	-0.00200667	0.00234685	-0.00293748	0.10389669	0.04590586	0.08038595	-0.00172925	0.00548676	-0.00073117	0.17341399	0.13303825	0.12120520	-0.00326597	-0.00395605	-0.01223938
0.050000	0.15687555	0.07218961	0.08177014	-0.00385480	0.00014789	-0.00515508	0.13833207	0.06076404	0.08134297	-0.00223831	-0.00767267	-0.01072068	0.12834129	0.04971907	0.07527184	-0.00459554	-0.01997747	-0.00829864	0.14557113	0.06728692	0.12552020	-0.00608789	0.00599621	0.00133448	0.11504117	0.04719144	0.11685141	-0.00113342	0.00059832	-0.00288536	0.10384254	0.04603137	0.08037096	-0.00060044	0.00346403	-0.00056740	0.17334667	0.13300006	0.12096855	-0.00293375	-0.00537055	-0.01098395
0.066666	0.15678813	0.07218791	0.08168649	-0.00435727	-0.00054617	-0.00445293	0.13827202	0.06059125	0.08115569	-0.00184082	-0.01080087	-0.01030099	0.12822130	0.04935405	0.07511993	-0.00466416	-0.02182040	-0.00881493	0.14544684	0.06741369	0.12553686	-0.00650408	0.00499135	0.00154935	0.11501524	0.04719890	0.11680347	-0.00052173	-0.00125854	-0.00308239	0.10383788	0.04607162	0.08036677	0.00056915	0.00133684	-0.00072174	0.17329103	0.13291857	0.12076575	-0.00266188	-0.00666941	-0.00981353
0.083333	0.15672225	0.07216593	0.08161554	-0.00395218	-0.00115749	-0.00352835	0.13827492	0.06032972	0.08096789	-0.00044197	-0.01317445	-0.00998859	0.12814520	0.04888032	0.07495619	-0.00372232	-0.02283712	-0.00927344	0.14532560	0.06750038	0.12556891	-0.00598984	0.00295655	0.00205614	0.11502595	0.04712167	0.11675120	0.00076503	-0.00359302	-0.00348621	0.10386977	0.04603735	0.08036631	0.00243303	-0.00125120	-0.00116356	0.17325012	0.13278189	0.12061463	-0.00196040	-0.00812981	-0.00783588
0.100000	0.15667705	0.07213815	0.08158670	-0.00301534	-0.00149169	-0.00275278	0.13831639	0.06008467	0.08082840	0.00148185	-0.01561542	-0.01001325	0.12812029	0.04849235	0.07483012	-0.00204869	-0.02389429	-0.01026839	0.14523068	0.06750256	0.12560762	-0.00468085	0.00058927	0.00266993	0.11506070	0.04703956	0.11670545	0.00251752	-0.00607906	-0.00379325	0.10393156	0.04598723	0.08035527	0.00445844	-0.00343892	-0.00189584	0.17322591	0.13259871	0.12052812	-0.00119851	-0.00945453	-0.00560733
0.116666	0.15662085	0.07210632	0.08154294	-0.00188359	-0.00140001	-0.00260105	0.13834246	0.05984017	0.08067828	0.00332089	-0.01762054	-0.01069356	0.12810840	0.04813465	0.07466905	0.00013307	-0.02510090	-0.01216077	0.14515553	0.06747438	0.12565576	-0.00321918	-0.00129652	0.00337356	0.11510158	0.04692059	0.11662008	0.00431226	-0.00779438	-0.00390222	0.10401826	0.04591186	0.08030496	0.00660113	-0.00432877	-0.00294433	0.17321834	0.13242289	0.12046288	-0.00078164	-0.01020786	-0.00389503
