Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																										
0.016667	0.15105562	0.08521610	0.08872965	-0.00249506	0.00244984	-0.00309025	0.13205358	0.07173561	0.09012759	0.00269392	-0.00548890	-0.00280225	0.12370010	0.05977788	0.08391669	0.00249026	-0.00704968	-0.00179787	0.13486144	0.08735649	0.12652737	-0.00126996	-0.00298919	-0.00191548	0.10435332	0.06424537	0.12113881	-0.00391448	-0.00384869	0.00278768	0.09926216	0.05825726	0.08399555	-0.00015758	-0.00257521	0.00169870	0.15822543	0.15475030	0.11547051	-0.00251190	-0.00794116	0.00625080
0.033333	0.15102802	0.08523628	0.08869584	-0.00280247	0.00317128	-0.00446724	0.13210133	0.07163194	0.09008928	0.00268133	-0.00531884	-0.00384854	0.12374264	0.05964565	0.08389954	0.00305617	-0.00727329	-0.00325756	0.13485220	0.08729617	0.12650438	-0.00148461	-0.00159503	-0.00238271	0.10430653	0.06416994	0.12119330	-0.00428418	-0.00320659	0.00134424	0.09926931	0.05819724	0.08404117	-0.00134245	-0.00227419	0.00077024	0.15818764	0.15461047	0.11558083	-0.00231163	-0.00771004	0.00552291
0.050000	0.15096954	0.08530455	0.08860602	-0.00310988	0.00389272	-0.00584422	0.13214771	0.07155230	0.09002215	0.00266873	-0.00514878	-0.00489483	0.12378938	0.05954290	0.08383723	0.00362208	-0.00749690	-0.00471724	0.13481343	0.08727678	0.12646149	-0.00169926	-0.00020087	-0.00284993	0.10421771	0.06412733	0.12121736	-0.00465387	-0.00256450	-0.00009920	0.09924052	0.05818026	0.08403224	-0.00252732	-0.00197316	-0.00015821	0.15814614	0.15449049	0.11566443	-0.00211135	-0.00747892	0.00479503
0.066666	0.15090579	0.08539267	0.08849110	-0.00260458	0.00324031	-0.00596921	0.13218701	0.07147764	0.08992230	0.00323163	-0.00564238	-0.00498539	0.12385391	0.05942219	0.08374227	0.00405667	-0.00790461	-0.00491982	0.13478230	0.08727428	0.12639441	-0.00146241	0.00017904	-0.00244849	0.10412695	0.06408446	0.12119517	-0.00393891	-0.00270588	-0.00026584	0.09919300	0.05814901	0.08402742	-0.00264839	-0.00210841	-0.00057265	0.15810426	0.15436618	0.11574444	-0.00177675	-0.00747535	0.00424543
0.083333	0.15085211	0.08545946	0.08838110	-0.00213758	0.00258193	-0.00661033	0.13222516	0.07139410	0.08983523	0.00376852	-0.00589876	-0.00591482	0.12392387	0.05928858	0.08364483	0.00455635	-0.00804968	-0.00582999	0.13475038	0.08731287	0.12635209	-0.00125044	0.00039343	-0.00250065	0.10404807	0.06406534	0.12117346	-0.00340184	-0.00312397	-0.00142146	0.09912204	0.05812348	0.08400974	-0.00287132	-0.00217558	-0.00141375	0.15807837	0.15424910	0.11581285	-0.00148543	-0.00744383	0.00332320
0.100000	0.15083213	0.08548790	0.08826299	-0.00121370	0.00079528	-0.00681727	0.13229991	0.07127215	0.08973148	0.00402147	-0.00641859	-0.00703855	0.12401126	0.05912532	0.08353709	0.00444809	-0.00831965	-0.00663950	0.13473985	0.08733315	0.12631865	-0.00090227	-0.00054766	-0.00238673	0.10401036	0.06401226	0.12114435	-0.00240256	-0.00438111	-0.00247479	0.09906297	0.05806987	0.08398785	-0.00262001	-0.00265858	-0.00194468	0.15806642	0.15411791	0.11585909	-0.00110738	-0.00766333	0.00251246
0.116666	0.15082009	0.08549757	0.08816087	-0.00017114	-0.00122440	-0.00754903	0.13239370	0.07115748	0.08963826	0.00411691	-0.00727258	-0.00881456	0.12410682	0.05898549	0.08344735	0.00406099	-0.00881018	-0.00803068	0.13473114	0.08733950	0.12629803	-0.00034072	-0.00265391	-0.00233115	0.10399342	0.06394148	0.12112576	-0.00122082	-0.00627755	-0.00375898	0.09902919	0.05803225	0.08394640	-0.00198454	-0.00345902	-0.00273337	0.15805013	0.15399611	0.11589264	-0.00073731	-0.00822197	0.00173156
