Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11808215	0.00359164	0.08476624	-0.00250489	-0.00130182	-0.00105884	0.10328895	-0.00961178	0.07550819	-0.00431267	0.00092599	0.00020966	0.09473465	-0.02807745	0.07514540	-0.00831700	0.00148902	-0.00030574	0.09317678	-0.00133180	0.12990221	0.00228194	-0.00180353	0.00299753	0.06960424	-0.03530161	0.11249285	-0.00836986	0.00243721	-0.00169554	0.07337665	-0.03876380	0.07392695	-0.00546763	-0.00172791	0.00014175	0.12269036	0.08128764	0.12433836	-0.00270379	0.00161891	0.00296143
0.016667	0.11803875	0.00357112	0.08474970	-0.00207850	-0.00100226	-0.00113883	0.10321751	-0.00958819	0.07551240	-0.00441426	0.00085859	0.00010975	0.09457669	-0.02806007	0.07512693	-0.00697198	0.00197948	0.00006549	0.09321645	-0.00136456	0.12995331	0.00235901	-0.00216198	0.00282035	0.06944806	-0.03524932	0.11246290	-0.00690448	0.00205670	-0.00194953	0.07327597	-0.03879220	0.07392649	-0.00430116	-0.00284561	0.00035025	0.12264878	0.08131644	0.12439696	-0.00290306	0.00203960	0.00225105
0.033333	0.11800219	0.00354962	0.08473103	-0.00165210	-0.00070271	-0.00121881	0.10314470	-0.00958300	0.07551239	-0.00451585	0.00079118	0.00000983	0.09447184	-0.02802344	0.07514095	-0.00562696	0.00246993	0.00043672	0.09325554	-0.00139706	0.13000031	0.00243609	-0.00252043	0.00264318	0.06934051	-0.03522665	0.11243363	-0.00543909	0.00167620	-0.00220352	0.07320800	-0.03883689	0.07393471	-0.00313470	-0.00396331	0.00055876	0.12259619	0.08134588	0.12443014	-0.00310232	0.00246030	0.00154067
0.050000	0.11797787	0.00354153	0.08470965	-0.00163280	-0.00073169	-0.00118863	0.10306566	-0.00957615	0.07551847	-0.00452185	0.00091344	-0.00017464	0.09440005	-0.02797227	0.07515891	-0.00572777	0.00243279	0.00015248	0.09329373	-0.00143576	0.13004488	0.00281141	-0.00303573	0.00267395	0.06927151	-0.03520071	0.11239485	-0.00551822	0.00174741	-0.00243683	0.07316817	-0.03890371	0.07394994	-0.00302338	-0.00478698	0.00033297	0.12254333	0.08138787	0.12444369	-0.00328058	0.00268021	0.00166748
0.066666	0.11796336	0.00353725	0.08468480	-0.00150290	-0.00077262	-0.00120946	0.10299223	-0.00955668	0.07550780	-0.00458071	0.00085874	-0.00027306	0.09432802	-0.02792409	0.07516572	-0.00500554	0.00272332	0.00015810	0.09333458	-0.00149016	0.13008046	0.00337874	-0.00392889	0.00268147	0.06920611	-0.03518700	0.11235510	-0.00470875	0.00145378	-0.00272704	0.07313762	-0.03899665	0.07395504	-0.00239220	-0.00609039	0.00015803	0.12248927	0.08144033	0.12445783	-0.00350659	0.00298285	0.00157070
0.083333	0.11793931	0.00353029	0.08466881	-0.00141658	-0.00092329	-0.00124444	0.10291448	-0.00953212	0.07550398	-0.00444962	0.00100649	-0.00039660	0.09422903	-0.02788708	0.07515588	-0.00465652	0.00282946	-0.00010077	0.09339386	-0.00155925	0.13012569	0.00401782	-0.00487098	0.00270450	0.06911825	-0.03514434	0.11230230	-0.00421991	0.00118554	-0.00275188	0.07310114	-0.03911420	0.07396480	-0.00215565	-0.00714074	-0.00010975	0.12243130	0.08149876	0.12448787	-0.00355185	0.00321211	0.00186090
0.100000	0.11791064	0.00350901	0.08464818	-0.00130129	-0.00125555	-0.00124030	0.10283802	-0.00951840	0.07548907	-0.00414183	0.00102261	-0.00048138	0.09414053	-0.02783988	0.07514559	-0.00425832	0.00281580	-0.00026945	0.09347309	-0.00165174	0.13017561	0.00477554	-0.00576302	0.00276820	0.06902854	-0.03512200	0.11224694	-0.00342102	0.00075523	-0.00256878	0.07305487	-0.03924838	0.07394386	-0.00192848	-0.00800019	-0.00029393	0.12236078	0.08155294	0.12452386	-0.00335531	0.00319277	0.00216105
0.116666	0.11787923	0.00347989	0.08463068	-0.00086416	-0.00176306	-0.00124161	0.10276535	-0.00950612	0.07549004	-0.00354906	0.00092550	-0.00037953	0.09406774	-0.02779333	0.07514381	-0.00343745	0.00277552	-0.00018612	0.09356463	-0.00176672	0.13022542	0.00572598	-0.00673758	0.00275904	0.06897137	-0.03511260	0.11220119	-0.00182953	-0.00008373	-0.00229017	0.07302305	-0.03939102	0.07394201	-0.00143473	-0.00887830	-0.00023127	0.12230439	0.08160420	0.12457310	-0.00275792	0.00273892	0.00247390
