Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11742398	0.00166086	0.10100336	0.00256081	-0.00396949	0.00407466	0.10571150	-0.01509659	0.09106725	-0.00673323	-0.00128602	0.00477953	0.08947148	-0.03371975	0.08708504	-0.00317284	-0.00230960	0.00931073	0.08923546	-0.00803750	0.13911422	-0.00401487	0.00668489	-0.00252255	0.06402798	-0.04415814	0.12451395	-0.01502836	-0.00007058	0.00837165	0.06994949	-0.03948908	0.08864675	-0.01021561	-0.00224578	0.00693655	0.11235251	0.07863512	0.14181805	0.00042502	0.00077416	-0.00251078
0.016667	0.11746763	0.00160069	0.10107100	0.00167572	-0.00340380	0.00360580	0.10560505	-0.01510952	0.09114116	-0.00615234	-0.00173819	0.00469768	0.08943707	-0.03373903	0.08723645	-0.00412727	-0.00337099	0.00992019	0.08918291	-0.00792240	0.13907392	-0.00410111	0.00573436	-0.00250162	0.06375569	-0.04414652	0.12463300	-0.01159792	-0.00034019	0.00919510	0.06977370	-0.03951897	0.08875380	-0.00871610	-0.00249972	0.00706608	0.11236130	0.07864944	0.14177305	0.00054963	0.00052013	-0.00286193
0.033333	0.11749718	0.00153435	0.10113240	0.00079062	-0.00283811	0.00313693	0.10549632	-0.01514719	0.09122644	-0.00557145	-0.00219036	0.00461584	0.08935778	-0.03380771	0.08739820	-0.00508169	-0.00443239	0.01052965	0.08910267	-0.00782546	0.13903219	-0.00418735	0.00478383	-0.00248068	0.06356345	-0.04415919	0.12480094	-0.00816747	-0.00060981	0.01001854	0.06962747	-0.03956630	0.08887935	-0.00721659	-0.00275365	0.00719561	0.11236660	0.07865816	0.14173013	0.00067424	0.00026610	-0.00321308
0.050000	0.11750644	0.00147976	0.10118838	0.00025530	-0.00246586	0.00279159	0.10539625	-0.01519517	0.09130529	-0.00471143	-0.00253464	0.00452822	0.08924316	-0.03391263	0.08759208	-0.00460485	-0.00418562	0.01026210	0.08902121	-0.00775627	0.13898316	-0.00329678	0.00432342	-0.00234329	0.06346123	-0.04419756	0.12499832	-0.00741064	0.00003681	0.00955869	0.06951468	-0.03962858	0.08901262	-0.00671486	-0.00276259	0.00705979	0.11238160	0.07865693	0.14167772	0.00074059	0.00010725	-0.00355640
0.066666	0.11750393	0.00146134	0.10122257	-0.00052601	-0.00210624	0.00241232	0.10532299	-0.01522420	0.09137908	-0.00375649	-0.00379285	0.00465279	0.08916003	-0.03398146	0.08776678	-0.00500957	-0.00493003	0.01035307	0.08895155	-0.00769018	0.13895063	-0.00241892	0.00343293	-0.00226454	0.06339855	-0.04418600	0.12515612	-0.00550418	-0.00002062	0.00973951	0.06942938	-0.03965909	0.08911893	-0.00593065	-0.00334532	0.00733066	0.11239217	0.07866263	0.14161432	0.00092294	-0.00029169	-0.00398295
0.083333	0.11747814	0.00143990	0.10125551	-0.00082530	-0.00167520	0.00212149	0.10527843	-0.01527799	0.09144248	-0.00281886	-0.00507187	0.00467854	0.08909366	-0.03405016	0.08794322	-0.00496714	-0.00514334	0.01011812	0.08893289	-0.00764129	0.13891613	-0.00124962	0.00299696	-0.00215196	0.06331753	-0.04416791	0.12530226	-0.00543544	0.00006340	0.00923797	0.06934921	-0.03970625	0.08922984	-0.00569815	-0.00378251	0.00735748	0.11241052	0.07865646	0.14153789	0.00114099	-0.00061605	-0.00436218
0.100000	0.11745309	0.00141002	0.10128395	-0.00080157	-0.00138896	0.00190527	0.10525563	-0.01536992	0.09152489	-0.00197642	-0.00624667	0.00471572	0.08903360	-0.03412258	0.08809306	-0.00478061	-0.00546001	0.00971910	0.08893918	-0.00760466	0.13888060	-0.00004303	0.00277971	-0.00198060	0.06324314	-0.04414300	0.12544635	-0.00653113	-0.00016177	0.00888597	0.06925675	-0.03977355	0.08935472	-0.00548484	-0.00428442	0.00751554	0.11242916	0.07864127	0.14145884	0.00130360	-0.00089977	-0.00464397
0.116666	0.11743484	0.00137496	0.10132357	-0.00055369	-0.00130107	0.00181109	0.10521931	-0.01552136	0.09161672	-0.00135318	-0.00701944	0.00492336	0.08893447	-0.03423694	0.08826038	-0.00438781	-0.00581677	0.00934813	0.08894983	-0.00756166	0.13884887	0.00089016	0.00256303	-0.00174992	0.06311820	-0.04416562	0.12559807	-0.00751752	-0.00063040	0.00908736	0.06914455	-0.03986773	0.08949634	-0.00512166	-0.00471953	0.00782508	0.11245344	0.07861883	0.14138165	0.00130624	-0.00112489	-0.00484290
