Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11904793	0.00209586	0.10081938	-0.00523595	-0.00738585	-0.01374343	0.10426090	-0.01101545	0.09137329	-0.00190054	0.00494156	-0.01752875	0.09593401	-0.02738584	0.08596799	-0.00168302	-0.00299790	-0.01812625	0.09074112	-0.01177235	0.13886079	0.00026651	-0.00619069	-0.01204280	0.06179979	-0.04484323	0.12586640	0.00758353	-0.01143594	-0.02075367	0.07212309	-0.04052244	0.09012184	-0.00092831	-0.00355342	-0.01578121	0.11118020	0.07577098	0.14622842	-0.00008978	-0.00074961	-0.00670615
0.016667	0.11894220	0.00196217	0.10061249	-0.00272022	-0.00531554	-0.01535258	0.10420338	-0.01095527	0.09110809	0.00113078	0.00770649	-0.01966268	0.09588421	-0.02746772	0.08569972	0.00232414	0.00141398	-0.02094791	0.09073543	-0.01187204	0.13867384	0.00168957	-0.00599012	-0.01200249	0.06188932	-0.04504428	0.12555635	0.01133975	-0.00909876	-0.02385253	0.07207443	-0.04059541	0.08989446	0.00331656	-0.00236851	-0.01816422	0.11117607	0.07575756	0.14612964	0.00090927	0.00009477	-0.00681060
0.033333	0.11889659	0.00187441	0.10033754	-0.00020448	-0.00324523	-0.01696172	0.10422207	-0.01082318	0.09075910	0.00416210	0.01047143	-0.02179661	0.09591610	-0.02743639	0.08532488	0.00633131	0.00582586	-0.02376957	0.09076280	-0.01197858	0.13845773	0.00311264	-0.00578956	-0.01196218	0.06208655	-0.04521036	0.12513530	0.01509598	-0.00676158	-0.02695139	0.07213637	-0.04063164	0.08956393	0.00756144	-0.00118360	-0.02054722	0.11118946	0.07575637	0.14600345	0.00190832	0.00093915	-0.00691506
0.050000	0.11893462	0.00183756	0.10003537	-0.00066579	-0.00293043	-0.01709382	0.10435575	-0.01060669	0.09035720	0.00294050	0.00994972	-0.02185856	0.09608378	-0.02728284	0.08489377	0.00576864	0.00579983	-0.02388457	0.09084328	-0.01206847	0.13824190	0.00297577	-0.00571278	-0.01146917	0.06241480	-0.04527162	0.12463477	0.01384070	-0.00754929	-0.02681020	0.07232551	-0.04061854	0.08917823	0.00724155	-0.00205631	-0.02019171	0.11122969	0.07577553	0.14587259	0.00247528	0.00140176	-0.00646326
0.066666	0.11896495	0.00182337	0.09973340	-0.00029445	-0.00210009	-0.01783300	0.10445087	-0.01039224	0.08999161	0.00264132	0.01011785	-0.02275297	0.09623929	-0.02712073	0.08446229	0.00624048	0.00705871	-0.02497385	0.09090453	-0.01216866	0.13806926	0.00351456	-0.00555336	-0.01111281	0.06269843	-0.04536310	0.12416372	0.01394341	-0.00757731	-0.02767131	0.07250881	-0.04063894	0.08882338	0.00828057	-0.00264584	-0.02090019	0.11127712	0.07581026	0.14577289	0.00358415	0.00207667	-0.00611442
0.083333	0.11897775	0.00181299	0.09943324	-0.00078481	-0.00199608	-0.01777500	0.10451755	-0.01020205	0.08959409	0.00102308	0.00901913	-0.02230564	0.09639461	-0.02696232	0.08403397	0.00541030	0.00664946	-0.02458195	0.09097363	-0.01225124	0.13789351	0.00359928	-0.00555341	-0.01047131	0.06295012	-0.04546504	0.12368131	0.01271538	-0.00841364	-0.02679992	0.07267803	-0.04067153	0.08847141	0.00756285	-0.00383697	-0.02032746	0.11134741	0.07585729	0.14568317	0.00438167	0.00226085	-0.00526028
0.100000	0.11890912	0.00176100	0.09914284	-0.00106033	-0.00194742	-0.01748103	0.10444171	-0.01010791	0.08923566	-0.00037085	0.00768821	-0.02156527	0.09639153	-0.02691342	0.08364350	0.00486640	0.00627169	-0.02382042	0.09100804	-0.01234422	0.13772854	0.00380350	-0.00544347	-0.01009275	0.06305804	-0.04567480	0.12326509	0.01183902	-0.00892369	-0.02567689	0.07273849	-0.04078992	0.08816760	0.00661838	-0.00456272	-0.01960900	0.11143087	0.07590694	0.14559834	0.00487452	0.00201755	-0.00436203
0.116666	0.11886419	0.00171061	0.09885181	-0.00059895	-0.00184923	-0.01686442	0.10439764	-0.01001120	0.08886753	-0.00063978	0.00676766	-0.02073483	0.09642316	-0.02684789	0.08325007	0.00506943	0.00632138	-0.02271352	0.09106787	-0.01243484	0.13755599	0.00425337	-0.00517131	-0.00993733	0.06321629	-0.04585792	0.12285093	0.01168710	-0.00867171	-0.02472660	0.07281639	-0.04088940	0.08783346	0.00622279	-0.00447987	-0.01875430	0.11152576	0.07594173	0.14552651	0.00520105	0.00148986	-0.00358352
