Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10988774	0.04750024	0.06296062	0.00669829	-0.00166979	0.01762475	0.09072387	0.05114297	0.05614429	0.01090915	0.01525490	0.00982490	0.07255608	0.05053998	0.04181761	-0.00412492	0.02030278	0.01862332	0.10935613	0.08197886	0.09242804	0.00528524	0.01160615	0.00541693	0.07030636	0.08303278	0.07411165	0.01194869	0.02099288	0.01369564	0.05282435	0.06822049	0.03896683	0.00117740	0.02261942	0.00782066
0.033333	0.11003859	0.04743309	0.06325883	0.00947047	-0.00105769	0.01617155	0.09090675	0.05133121	0.05630928	0.00909094	0.01346854	0.01351973	0.07258034	0.05085519	0.04209228	-0.00368693	0.01450354	0.02328357	0.10942563	0.08214955	0.09255370	0.01154651	0.01125839	0.00342877	0.07051404	0.08335009	0.07434412	0.01239230	0.01759871	0.01486240	0.05286657	0.06858191	0.03910328	0.00030723	0.01565053	0.01423666
0.050000	0.11017736	0.04746400	0.06352405	0.01224266	-0.00044558	0.01471835	0.09110330	0.05165371	0.05653536	0.00727273	0.01168218	0.01721456	0.07242358	0.05114252	0.04250541	-0.00324895	0.00870431	0.02794381	0.10962638	0.08237014	0.09258457	0.01780778	0.01091064	0.00144061	0.07072961	0.08370578	0.07458501	0.01283591	0.01420455	0.01602917	0.05287281	0.06890787	0.03930284	-0.00056295	0.00868164	0.02065266
0.066666	0.11032104	0.04749113	0.06378391	0.01775037	-0.00105594	0.01462812	0.09115659	0.05187618	0.05681311	0.00937983	0.00899285	0.02071661	0.07228542	0.05129760	0.04304283	0.00127268	0.00435822	0.03032732	0.10995401	0.08257618	0.09257845	0.02223255	0.01012534	0.00152067	0.07091417	0.08396724	0.07485902	0.01522651	0.01176053	0.01764141	0.05279877	0.06901450	0.03968985	0.00152490	0.00531046	0.02466091
0.083333	0.11059239	0.04743648	0.06397095	0.02302902	0.00001453	0.01563716	0.09124398	0.05195552	0.05717271	0.00924155	0.00583834	0.02548969	0.07232050	0.05128186	0.04351052	0.00534067	-0.00096457	0.03559469	0.11034294	0.08269600	0.09256692	0.02906412	0.00979915	0.00087303	0.07113302	0.08404113	0.07513549	0.01762010	0.00980407	0.02001282	0.05281045	0.06898608	0.04014410	0.00319853	-0.00052255	0.03156939
0.100000	0.11114024	0.04740863	0.06418651	0.02590887	0.00110075	0.01731064	0.09143454	0.05198993	0.05768552	0.00731195	0.00238982	0.02867259	0.07253391	0.05113227	0.04415683	0.00974491	-0.00348409	0.03767126	0.11093213	0.08284954	0.09260924	0.03233520	0.00956703	0.00149951	0.07147273	0.08413973	0.07549356	0.01927871	0.00962522	0.02116312	0.05289215	0.06887763	0.04077928	0.00562424	-0.00366112	0.03551207
0.116666	0.11173902	0.04738199	0.06449991	0.02547189	0.00313684	0.01865570	0.09171715	0.05197113	0.05824225	0.00630091	0.00225573	0.02932419	0.07281573	0.05098096	0.04485430	0.01161301	-0.00304253	0.03850596	0.11159103	0.08297582	0.09261943	0.03270468	0.01049642	0.00246652	0.07188819	0.08422163	0.07591641	0.01990714	0.01111698	0.02161169	0.05305362	0.06877501	0.04144773	0.00714299	-0.00372240	0.03666799
