Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.10989398	0.05211442	0.06843701	0.00529153	0.00195627	0.00388914	0.09084439	0.05906537	0.06263913	0.00489952	0.00116457	0.00229069	0.07341433	0.05490742	0.05341784	0.00178748	0.00238423	0.00460084	0.11413023	0.08869658	0.09445632	-0.00786103	0.00312322	0.00682148	0.07203037	0.08964778	0.08591814	0.00544293	0.00803433	0.00031386	0.05195591	0.07078324	0.05216897	0.00044123	0.00296944	0.00368034
0.016667	0.10994833	0.05215790	0.06853215	0.00567804	0.00212219	0.00390397	0.09091879	0.05907536	0.06270173	0.00512237	0.00299190	0.00248150	0.07343638	0.05494707	0.05352653	0.00118062	0.00117314	0.00583349	0.11402924	0.08874814	0.09455515	-0.00573615	0.00222580	0.00615301	0.07212183	0.08982493	0.08591698	0.00524776	0.00587674	0.00116431	0.05197424	0.07085195	0.05221655	0.00044000	0.00088804	0.00574241
0.033333	0.11008325	0.05218576	0.06856999	0.00606454	0.00228812	0.00391880	0.09100676	0.05910496	0.06272825	0.00534522	0.00481924	0.00267231	0.07347406	0.05498360	0.05359314	0.00057377	-0.00003796	0.00706614	0.11391124	0.08879494	0.09466689	-0.00361127	0.00132837	0.00548454	0.07221656	0.08989870	0.08593710	0.00505259	0.00371916	0.00201476	0.05195886	0.07085782	0.05231567	0.00043877	-0.00119336	0.00780448
0.050000	0.11018740	0.05221985	0.06860500	0.00575243	0.00365987	0.00534771	0.09110053	0.05923971	0.06274500	0.00549926	0.00531841	0.00458835	0.07347007	0.05498412	0.05367865	0.00102658	0.00090419	0.00967011	0.11379544	0.08881715	0.09480008	-0.00047203	0.00238636	0.00443393	0.07229269	0.08991337	0.08598476	0.00532029	0.00566246	0.00264627	0.05198688	0.07083317	0.05247011	0.00018299	-0.00077553	0.00814495
0.066666	0.11030331	0.05224784	0.06869158	0.00557883	0.00580691	0.00668372	0.09120520	0.05934009	0.06279512	0.00647968	0.00825889	0.00628701	0.07347358	0.05491041	0.05384526	0.00157256	0.00261414	0.01180238	0.11382893	0.08879708	0.09482864	0.00233323	0.00422323	0.00409694	0.07236501	0.08993359	0.08602776	0.00537264	0.00722676	0.00405369	0.05197701	0.07073802	0.05263060	-0.00005366	-0.00055641	0.00920728
0.083333	0.11034963	0.05236091	0.06884937	0.00421366	0.00774640	0.00824425	0.09127688	0.05943080	0.06295946	0.00741388	0.01083295	0.00743005	0.07347222	0.05494617	0.05412387	0.00216902	0.00423332	0.01285793	0.11397150	0.08884056	0.09485424	0.00497511	0.00683564	0.00322280	0.07246966	0.09008772	0.08608674	0.00497641	0.00985123	0.00479812	0.05198587	0.07072788	0.05280133	-0.00017908	0.00072900	0.00875223
0.100000	0.11044921	0.05254012	0.06901281	0.00257489	0.00812094	0.00812556	0.09142029	0.05964354	0.06314389	0.00831876	0.01156692	0.00687896	0.07355472	0.05508064	0.05442169	0.00335959	0.00486789	0.01116448	0.11410370	0.08902587	0.09490913	0.00593214	0.00921763	0.00249230	0.07256455	0.09033392	0.08620331	0.00446184	0.01125892	0.00444228	0.05197488	0.07078346	0.05294785	-0.00007559	0.00246183	0.00672853
0.116666	0.11048611	0.05276446	0.06920306	0.00144534	0.00683867	0.00609788	0.09158617	0.05990588	0.06331664	0.00882428	0.01062688	0.00458231	0.07362106	0.05528341	0.05463262	0.00444716	0.00444360	0.00696569	0.11421613	0.08923939	0.09498656	0.00472473	0.01040500	0.00226208	0.07265873	0.09061287	0.08631103	0.00360222	0.00978187	0.00372054	0.05195222	0.07085764	0.05308326	0.00006089	0.00335095	0.00444181
