Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10831314	0.05494495	0.06469233	0.00788036	0.00199978	0.01526146	0.08358228	0.05561928	0.05429712	0.01080327	0.02557746	0.00280057	0.06743881	0.04902971	0.04417041	0.00372460	0.04886695	-0.01380358	0.10817749	0.08103766	0.09820877	0.01102288	0.00742654	-0.00123021	0.06732540	0.08024225	0.07616825	0.01835968	0.00065644	-0.01449956	0.05281366	0.06112460	0.04208802	-0.02784690	0.02096849	0.00585566
0.033333	0.10845891	0.05500212	0.06494170	0.00232101	-0.00117615	0.01414536	0.08377705	0.05609510	0.05434413	0.00575381	0.01806263	0.00307237	0.06749465	0.04992538	0.04392018	0.00221708	0.03551404	-0.01014918	0.10834712	0.08115375	0.09818534	0.00879321	0.00494914	0.00023849	0.06765576	0.08025571	0.07589141	0.01294774	-0.00034265	-0.00895772	0.05226693	0.06151668	0.04219567	-0.02171894	0.01321988	0.00665783
0.050000	0.10850086	0.05496003	0.06518632	-0.00323833	-0.00435209	0.01302925	0.08387282	0.05636914	0.05438755	0.00070434	0.01054779	0.00334417	0.06753998	0.05047348	0.04375311	0.00070956	0.02216113	-0.00649479	0.10851316	0.08125588	0.09818065	0.00656354	0.00247174	0.00170720	0.06785298	0.08023971	0.07576416	0.00753581	-0.00134174	-0.00341588	0.05196704	0.06171824	0.04229236	-0.01559098	0.00547126	0.00746000
0.066666	0.10842946	0.05488003	0.06539845	-0.00648859	-0.00665077	0.01164910	0.08386987	0.05649963	0.05444421	-0.00227683	0.00723257	0.00255792	0.06756295	0.05077398	0.04366516	-0.00077281	0.01617216	-0.00589816	0.10863908	0.08129427	0.09822315	0.00413211	0.00052870	0.00198525	0.06796110	0.08023266	0.07573909	0.00323740	-0.00324880	-0.00047956	0.05179693	0.06177373	0.04239875	-0.01369500	0.00191009	0.00722160
0.083333	0.10825016	0.05474158	0.06560041	-0.01149279	-0.01056178	0.00915363	0.08376838	0.05652367	0.05452463	-0.00732376	0.00010187	0.00144736	0.06752717	0.05086500	0.04365167	-0.00308634	0.00394506	-0.00407194	0.10867613	0.08127163	0.09828568	0.00077922	-0.00255250	0.00257024	0.06798969	0.08018382	0.07578541	-0.00355215	-0.00599681	0.00477137	0.05160395	0.06169307	0.04257494	-0.00746743	-0.00555316	0.00638212
0.100000	0.10798739	0.05455052	0.06573662	-0.01431765	-0.01387374	0.00652454	0.08358817	0.05648854	0.05454838	-0.01126342	-0.00622046	0.00072258	0.06744745	0.05084316	0.04360525	-0.00567703	-0.00611811	-0.00285899	0.10864139	0.08119043	0.09834301	-0.00244224	-0.00512252	0.00253179	0.06787093	0.08007271	0.07590724	-0.00842150	-0.00823006	0.00765580	0.05143416	0.06155482	0.04271800	-0.00309727	-0.01146714	0.00547832
0.116666	0.10767840	0.05425765	0.06581385	-0.01525266	-0.01674603	0.00393109	0.08335625	0.05636262	0.05451044	-0.01420377	-0.01296957	0.00013337	0.06733881	0.05069878	0.04351873	-0.00786363	-0.01647693	-0.00192552	0.10855230	0.08106790	0.09838345	-0.00474269	-0.00658705	0.00193671	0.06760474	0.07986518	0.07610844	-0.01256512	-0.00910304	0.00937007	0.05144106	0.06133723	0.04275293	0.00213512	-0.01531301	0.00349670
