Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10884863	0.05234808	0.06864782	0.02686161	0.01168159	0.01028892	0.07992996	0.05266720	0.05817069	0.02220982	0.01712154	0.01398625	0.06492246	0.05294095	0.04204221	0.02158613	0.03128076	0.00337012	0.10224918	0.07599707	0.10117602	0.01208917	0.00687527	0.01055103	0.06457792	0.07949049	0.07319603	0.02881486	0.01112559	-0.00026710	0.04876470	0.06385209	0.03898703	0.00886716	0.01458792	0.01286080
0.033333	0.10930075	0.05254557	0.06882072	0.02072104	0.01115725	0.00479782	0.08028932	0.05293721	0.05843099	0.01973600	0.01554793	0.00597140	0.06527625	0.05344845	0.04212887	0.01590512	0.01840159	0.00246597	0.10243353	0.07608331	0.10136350	0.01180668	0.01044054	0.00720154	0.06507304	0.07964879	0.07321600	0.02337823	0.01271462	-0.00089251	0.04890754	0.06406820	0.03922685	0.01054917	0.01431143	0.00979793
0.050000	0.10965272	0.05274937	0.06887395	0.01458047	0.01063292	-0.00069328	0.08063161	0.05322649	0.05849588	0.01726217	0.01397433	-0.00204344	0.06555658	0.05376273	0.04214415	0.01022410	0.00552243	0.00156182	0.10264393	0.07626532	0.10147295	0.01152419	0.01400581	0.00385204	0.06545740	0.07988166	0.07316955	0.01794159	0.01430365	-0.00151791	0.04906748	0.06431874	0.03936051	0.01223118	0.01403494	0.00673505
0.066666	0.10987144	0.05286361	0.06893263	0.00967447	0.01006896	-0.00635895	0.08091514	0.05342904	0.05848419	0.01521519	0.01196354	-0.00790992	0.06572950	0.05391912	0.04214244	0.00613412	-0.00588473	0.00197655	0.10283957	0.07651083	0.10154100	0.00995986	0.01292741	0.00191414	0.06572651	0.08013235	0.07314555	0.01370607	0.01265784	-0.00093643	0.04930053	0.06458314	0.03947474	0.01257445	0.01096529	0.00429941
0.083333	0.11002309	0.05309334	0.06876364	0.00206803	0.00727936	-0.01223822	0.08117308	0.05366737	0.05826690	0.01198639	0.00802118	-0.01542502	0.06577834	0.05370042	0.04216437	0.00057377	-0.01952814	0.00148357	0.10304747	0.07686888	0.10152685	0.00763822	0.01104262	-0.00068993	0.06595110	0.08041823	0.07310429	0.00702723	0.01033426	-0.00046376	0.04954142	0.06482353	0.03951900	0.01321135	0.00717822	0.00048217
0.100000	0.10993840	0.05325157	0.06839416	-0.00396857	0.00393616	-0.01620985	0.08129171	0.05377253	0.05785298	0.00833492	0.00385299	-0.01979443	0.06565230	0.05303661	0.04223155	-0.00387286	-0.02908385	0.00158629	0.10313775	0.07708064	0.10145351	0.00437116	0.00652744	-0.00258048	0.06598233	0.08060033	0.07310613	0.00229654	0.00673021	-0.00019692	0.04975951	0.06488243	0.03950868	0.01201823	0.00221052	-0.00229935
0.116666	0.10977329	0.05327031	0.06801554	-0.00914045	-0.00055755	-0.01819923	0.08143773	0.05378233	0.05741036	0.00398418	-0.00070032	-0.02160260	0.06554472	0.05234042	0.04225466	-0.00758264	-0.03532524	0.00187299	0.10318245	0.07711650	0.10139663	0.00061624	-0.00016917	-0.00401122	0.06590924	0.08062144	0.07315014	-0.00176024	0.00199539	-0.00008829	0.05000577	0.06483889	0.03939695	0.00962211	-0.00385685	-0.00417013
