Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11126022	0.05255252	0.05929025	0.00872191	0.02295563	0.03917195	0.08773614	0.05735023	0.05105029	-0.00645830	0.01620955	0.05272469	0.07206394	0.04884496	0.04332367	-0.00237317	0.01963421	0.05867223	0.11333085	0.07491609	0.09341367	0.02400590	0.03314102	0.01905281	0.06804255	0.07783096	0.07506569	0.01286899	0.02717223	0.04416383	0.05602024	0.06328326	0.03670897	0.00540413	0.01234842	0.05471863
0.033333	0.11133630	0.05282890	0.05987233	0.01244483	0.02658147	0.03566391	0.08759376	0.05749272	0.05178060	-0.00041709	0.02504634	0.05284163	0.07202481	0.04904177	0.04408190	-0.00079304	0.03137080	0.06294410	0.11363149	0.07535344	0.09368145	0.02669569	0.03386258	0.01685976	0.06823082	0.07816147	0.07558126	0.01500970	0.04199663	0.05063494	0.05612810	0.06340465	0.03739699	0.00606126	0.02461183	0.05944548
0.050000	0.11159051	0.05333264	0.06056361	0.01616775	0.03020731	0.03215587	0.08758495	0.05796015	0.05280646	0.00562413	0.03388314	0.05295857	0.07199717	0.04958928	0.04531448	0.00078708	0.04310739	0.06721596	0.11416278	0.07602827	0.09402315	0.02938547	0.03458413	0.01466671	0.06849520	0.07886758	0.07659578	0.01715041	0.05682104	0.05710606	0.05619817	0.06379490	0.03857613	0.00671838	0.03687523	0.06417233
0.066666	0.11194156	0.05400103	0.06113077	0.01474982	0.02460739	0.02792416	0.08772241	0.05873276	0.05381753	0.00671553	0.02928643	0.04606849	0.07200244	0.05054634	0.04666852	0.00131060	0.03810259	0.05866011	0.11475818	0.07672042	0.09429953	0.02651065	0.02878752	0.01171426	0.06878950	0.08003092	0.07778693	0.01729190	0.05347444	0.04928843	0.05628826	0.06458951	0.03988304	0.00707935	0.03384108	0.05612271
0.083333	0.11224665	0.05447774	0.06153826	0.01494339	0.02053018	0.02276938	0.08797393	0.05938962	0.05460347	0.00962053	0.02799796	0.03982024	0.07209919	0.05143091	0.04772040	0.00212000	0.03675388	0.05329727	0.11522020	0.07720600	0.09446053	0.02537134	0.02268875	0.00879742	0.06915626	0.08126332	0.07873790	0.01799766	0.05273606	0.04555046	0.05647667	0.06544597	0.04088726	0.00649591	0.03268609	0.05193083
0.100000	0.11245243	0.05472549	0.06178026	0.01230215	0.01346322	0.01760749	0.08815289	0.05979984	0.05506664	0.01021140	0.02168709	0.03133906	0.07212914	0.05202288	0.04835294	0.00294880	0.02929157	0.04338366	0.11555250	0.07747913	0.09449451	0.02099008	0.01347640	0.00626481	0.06942624	0.08219959	0.07926051	0.01741699	0.04356514	0.03700018	0.05659704	0.06606109	0.04149386	0.00546148	0.02508546	0.04325243
0.116666	0.11261489	0.05475748	0.06201513	0.00797513	0.00757360	0.01409989	0.08831480	0.05994545	0.05543188	0.00858828	0.01489927	0.02449206	0.07218116	0.05223082	0.04885157	0.00320279	0.02021028	0.03462870	0.11584141	0.07755639	0.09455334	0.01546818	0.00562819	0.00527030	0.06973168	0.08268854	0.07963767	0.01510019	0.03133630	0.02902061	0.05670829	0.06624778	0.04200282	0.00294800	0.01462562	0.03591267
