Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12597585	0.04058641	0.10025461	0.00513265	0.00335138	0.00399979	0.10386465	0.02616451	0.09250774	-0.00100516	0.01165370	0.00572728	0.08961692	0.01125165	0.08364686	0.00087038	0.01697802	0.00563154	0.09954936	0.06779979	0.13319349	0.00422137	-0.00074938	-0.00189484	0.07167730	0.03614737	0.11286904	-0.00563691	0.00156079	0.00163869	0.06334211	0.01020010	0.08840801	-0.00133504	0.00101305	-0.00099447
0.016667	0.12606749	0.04065139	0.10032282	0.00436084	0.00324727	0.00318022	0.10382456	0.02637776	0.09259931	0.00084132	0.01072743	0.00486599	0.08962316	0.01154854	0.08374304	0.00140034	0.01561144	0.00515076	0.09960242	0.06779740	0.13316871	0.00446433	-0.00133239	-0.00274212	0.07158194	0.03617768	0.11289382	-0.00420840	0.00112776	0.00085898	0.06331660	0.01022761	0.08839125	-0.00060305	0.00052851	-0.00127405
0.033333	0.12613635	0.04069829	0.10037767	0.00358903	0.00314317	0.00236065	0.10384537	0.02654299	0.09268653	0.00268781	0.00980115	0.00400470	0.08964536	0.01180411	0.08382410	0.00193030	0.01424486	0.00466997	0.09969216	0.06777031	0.13311836	0.00470730	-0.00191540	-0.00358941	0.07150640	0.03619689	0.11291033	-0.00277990	0.00069473	0.00007927	0.06330241	0.01022768	0.08836854	0.00012893	0.00004397	-0.00155364
0.050000	0.12619039	0.04074596	0.10041241	0.00332111	0.00349132	0.00169874	0.10393056	0.02669197	0.09275558	0.00192062	0.01033778	0.00309416	0.08969963	0.01202567	0.08389975	0.00120551	0.01470826	0.00420501	0.09978563	0.06772175	0.13305193	0.00408621	-0.00159357	-0.00391328	0.07147017	0.03620522	0.11291300	-0.00232135	0.00078693	-0.00064757	0.06331678	0.01021884	0.08834451	-0.00000112	0.00006513	-0.00189711
0.066666	0.12623593	0.04079120	0.10043555	0.00300669	0.00380225	0.00058346	0.10399831	0.02683319	0.09280054	0.00220192	0.01057227	0.00187349	0.08973293	0.01223017	0.08397901	0.00082046	0.01494029	0.00339677	0.09986129	0.06768765	0.13297798	0.00390997	-0.00170142	-0.00477949	0.07144932	0.03619767	0.11290217	-0.00148252	0.00089202	-0.00167113	0.06333214	0.01021436	0.08831536	0.00024673	-0.00009935	-0.00252360
0.083333	0.12627824	0.04087346	0.10043898	0.00350566	0.00455854	-0.00044525	0.10402082	0.02702665	0.09281300	0.00208002	0.01125538	0.00081405	0.08973742	0.01247764	0.08402181	0.00043113	0.01541149	0.00258871	0.09989911	0.06766763	0.13289545	0.00354679	-0.00144139	-0.00541957	0.07145204	0.03621938	0.11284966	-0.00093490	0.00093926	-0.00233629	0.06333816	0.01022153	0.08826567	0.00045356	0.00025162	-0.00312572
0.100000	0.12632135	0.04094796	0.10041249	0.00446776	0.00564669	-0.00146382	0.10400300	0.02723708	0.09280343	0.00210595	0.01155871	-0.00007361	0.08970768	0.01277431	0.08406151	0.00040133	0.01537587	0.00158996	0.09994062	0.06765810	0.13280496	0.00361310	-0.00130278	-0.00582191	0.07142527	0.03623836	0.11280009	-0.00006527	0.00097650	-0.00269969	0.06332605	0.01021583	0.08821133	0.00076302	0.00071135	-0.00348942
0.116666	0.12640248	0.04104593	0.10038596	0.00562610	0.00660213	-0.00252915	0.10402782	0.02745379	0.09279778	0.00274171	0.01125558	-0.00081085	0.08969928	0.01307189	0.08407031	0.00117902	0.01464727	0.00055135	0.10000396	0.06763259	0.13268991	0.00435656	-0.00160881	-0.00604103	0.07141142	0.03628378	0.11273342	0.00102811	0.00084540	-0.00259359	0.06333423	0.01023384	0.08812840	0.00113771	0.00085890	-0.00341610
