Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12822190	0.03264962	0.09302443	-0.01354849	-0.01612887	0.00329514	0.10506719	0.01559651	0.08601349	0.00508750	-0.02728073	0.00234378	0.08963640	0.00153644	0.07784121	-0.01160459	-0.02122901	-0.01127259	0.10754323	0.06192565	0.13240051	-0.00979487	-0.00564235	0.00741120	0.07515930	0.03029986	0.11989710	-0.01654997	-0.00988840	0.00764041	0.06603806	0.00867681	0.08939332	-0.00866078	-0.00633060	-0.00251968
0.016667	0.12799926	0.03237967	0.09306622	-0.01471108	-0.01883499	0.00427970	0.10516286	0.01513934	0.08602565	-0.00240439	-0.02689096	0.00241310	0.08946972	0.00118604	0.07763765	-0.01554704	-0.02267030	-0.00961822	0.10740007	0.06181856	0.13251038	-0.01156886	-0.00801090	0.00762019	0.07490316	0.03012378	0.12000509	-0.01840539	-0.01171007	0.00727686	0.06591051	0.00856682	0.08934165	-0.01156126	-0.00814517	-0.00227922
0.033333	0.12776025	0.03207664	0.09314416	-0.01587367	-0.02154112	0.00526427	0.10516420	0.01468212	0.08609496	-0.00989627	-0.02650118	0.00248243	0.08920816	0.00080748	0.07748440	-0.01948949	-0.02411158	-0.00796384	0.10719781	0.06171365	0.13265213	-0.01334285	-0.01037944	0.00782918	0.07459668	0.02994638	0.12014809	-0.02026082	-0.01353173	0.00691331	0.06571697	0.00843822	0.08931258	-0.01446175	-0.00995975	-0.00203875
0.050000	0.12748575	0.03171796	0.09324859	-0.01593901	-0.02313164	0.00494747	0.10493426	0.01426048	0.08615073	-0.01145647	-0.02693324	0.00181631	0.08884817	0.00040725	0.07737085	-0.01970981	-0.02530299	-0.00731054	0.10694960	0.06152938	0.13278525	-0.01320781	-0.01179122	0.00752623	0.07421245	0.02972618	0.12027927	-0.01914591	-0.01514582	0.00602695	0.06545410	0.00827641	0.08928506	-0.01468709	-0.01160603	-0.00211206
0.066666	0.12719055	0.03128507	0.09335202	-0.01646562	-0.02534061	0.00450851	0.10460676	0.01382231	0.08618479	-0.01491936	-0.02724606	0.00121806	0.08842838	-0.00003337	0.07726891	-0.02184061	-0.02713813	-0.00644534	0.10669729	0.06130585	0.13292432	-0.01390138	-0.01384511	0.00706184	0.07385732	0.02945141	0.12036873	-0.01895290	-0.01701588	0.00529861	0.06514381	0.00806827	0.08925413	-0.01641354	-0.01359145	-0.00235987
0.083333	0.12690988	0.03081619	0.09342943	-0.01638821	-0.02634095	0.00289348	0.10426124	0.01335845	0.08616538	-0.01550680	-0.02761609	-0.00033613	0.08806203	-0.00049876	0.07716178	-0.02269493	-0.02802574	-0.00711395	0.10647189	0.06101790	0.13302641	-0.01354987	-0.01518056	0.00609899	0.07354616	0.02911774	0.12042411	-0.01800015	-0.01801561	0.00422602	0.06485993	0.00779655	0.08920537	-0.01712456	-0.01437517	-0.00317351
0.100000	0.12664986	0.03035161	0.09347622	-0.01506729	-0.02535785	0.00064306	0.10404324	0.01288900	0.08617323	-0.01345044	-0.02741903	-0.00223291	0.08773218	-0.00100592	0.07709605	-0.02183930	-0.02747775	-0.00856127	0.10626058	0.06075234	0.13313259	-0.01235605	-0.01522342	0.00521498	0.07331573	0.02877964	0.12048375	-0.01652083	-0.01751518	0.00337524	0.06461917	0.00750973	0.08917145	-0.01603867	-0.01378933	-0.00385860
0.116666	0.12638119	0.02991200	0.09345777	-0.01293918	-0.02275178	-0.00158027	0.10386351	0.01239228	0.08612888	-0.01030602	-0.02605339	-0.00398172	0.08733428	-0.00150031	0.07691698	-0.01955453	-0.02525433	-0.00973921	0.10604376	0.06049044	0.13319585	-0.01059357	-0.01387715	0.00458935	0.07304164	0.02847735	0.12054618	-0.01475344	-0.01544625	0.00306395	0.06429697	0.00725931	0.08907729	-0.01316210	-0.01185920	-0.00385163
