Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11710739	0.04484694	0.11109177	-0.00678087	0.01371279	0.00042189	0.09643304	0.02866735	0.10173851	-0.00382853	0.00726920	0.00415636	0.08483639	0.01130247	0.09365258	-0.00609311	0.00980422	0.00246116	0.08186159	0.07282762	0.13539696	-0.00346699	0.00934705	0.00369632	0.05744911	0.03409335	0.11607318	-0.00296970	0.00555627	0.00311596	0.06370487	0.00504485	0.09778660	-0.00558282	0.00608035	-0.00273847
0.016667	0.11701069	0.04505425	0.11108154	-0.00582757	0.01412077	-0.00007913	0.09638929	0.02875048	0.10179704	-0.00188381	0.00759487	0.00350655	0.08474307	0.01143798	0.09368709	-0.00304790	0.00945401	0.00241064	0.08182436	0.07297016	0.13545173	-0.00212275	0.00936452	0.00348957	0.05740219	0.03415912	0.11612776	-0.00144672	0.00594570	0.00286595	0.06363007	0.00513848	0.09773657	-0.00474865	0.00644551	-0.00331098
0.033333	0.11689882	0.04530671	0.11109597	-0.00487426	0.01452875	-0.00058014	0.09633453	0.02890724	0.10186695	0.00006091	0.00792055	0.00285675	0.08467932	0.01161748	0.09372957	-0.00000268	0.00910381	0.00236013	0.08176096	0.07313199	0.13551170	-0.00077851	0.00938199	0.00328281	0.05737056	0.03428256	0.11616888	0.00007626	0.00633512	0.00261595	0.06353080	0.00524224	0.09768918	-0.00391448	0.00681068	-0.00388348
0.050000	0.11679749	0.04556662	0.11110768	-0.00325208	0.01340315	-0.00186064	0.09630068	0.02908441	0.10192563	0.00229296	0.00577846	0.00191406	0.08465920	0.01181180	0.09378518	0.00284338	0.00693319	0.00187506	0.08174512	0.07330493	0.13558042	0.00064269	0.00788345	0.00220873	0.05736412	0.03441436	0.11621583	0.00103601	0.00534330	0.00202519	0.06345658	0.00538717	0.09761950	-0.00245866	0.00574415	-0.00436654
0.066666	0.11675133	0.04581364	0.11106867	-0.00161678	0.01203704	-0.00299630	0.09639370	0.02919309	0.10194887	0.00442134	0.00403802	0.00100751	0.08475602	0.01191830	0.09381023	0.00603280	0.00462005	0.00157785	0.08176214	0.07346417	0.13562563	0.00239351	0.00602598	0.00111789	0.05741843	0.03450831	0.11625791	0.00210595	0.00458872	0.00127696	0.06341061	0.00548574	0.09754929	-0.00099596	0.00454397	-0.00475666
0.083333	0.11677156	0.04599327	0.11098224	-0.00023250	0.00968380	-0.00392200	0.09652580	0.02920842	0.10193589	0.00642503	0.00111217	0.00034828	0.08492284	0.01195563	0.09382140	0.00792190	0.00114290	0.00146580	0.08185825	0.07354223	0.13562666	0.00389566	0.00393839	0.00029385	0.05748198	0.03455432	0.11627456	0.00257443	0.00302055	0.00097882	0.06344213	0.00555986	0.09744786	0.00014372	0.00263724	-0.00447513
0.100000	0.11680566	0.04612966	0.11088290	0.00057407	0.00698975	-0.00404143	0.09667655	0.02917116	0.10191959	0.00761002	-0.00216182	0.00024855	0.08513334	0.01192912	0.09383433	0.00852424	-0.00265782	0.00190289	0.08194104	0.07355712	0.13558833	0.00445908	0.00208718	-0.00005595	0.05754103	0.03458786	0.11626099	0.00260287	0.00140081	0.00098218	0.06348374	0.00557217	0.09735183	0.00070218	0.00066963	-0.00364249
0.116666	0.11682753	0.04621420	0.11080244	0.00093609	0.00446340	-0.00328356	0.09677861	0.02913355	0.10191935	0.00752329	-0.00504287	0.00066664	0.08526347	0.01186960	0.09385128	0.00789962	-0.00602914	0.00270267	0.08203588	0.07354371	0.13556832	0.00405682	0.00063800	0.00010148	0.05756859	0.03460129	0.11625854	0.00240481	0.00016453	0.00116073	0.06350257	0.00554981	0.09729739	0.00057116	-0.00090803	-0.00278232
