Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12872255	0.03545743	0.09528515	0.00174784	0.00134014	0.00201841	0.10619307	0.01909373	0.08530498	-0.00140306	-0.00124492	0.00243348	0.09103463	0.00638777	0.07397510	0.00134249	0.00505900	0.00210636	0.10729624	0.05306413	0.13670930	-0.00255008	0.00559679	0.00197046	0.07785793	0.01864894	0.11769402	-0.00283209	0.00599323	0.00325204	0.06993622	0.00472068	0.08499675	-0.00351579	0.00206408	-0.00415237
0.016667	0.12876005	0.03547932	0.09531314	0.00134022	0.00076790	0.00238360	0.10618718	0.01906317	0.08533797	-0.00128702	-0.00077008	0.00274950	0.09107908	0.00646110	0.07399785	0.00042893	0.00440117	0.00226424	0.10725996	0.05315112	0.13674466	-0.00151635	0.00500357	0.00210197	0.07782810	0.01874612	0.11775097	-0.00302599	0.00584696	0.00295268	0.06988651	0.00474236	0.08492506	-0.00397103	0.00204325	-0.00299358
0.033333	0.12878232	0.03548945	0.09535158	0.00093259	0.00019565	0.00274879	0.10614809	0.01904785	0.08538695	-0.00117098	-0.00029523	0.00306552	0.09107199	0.00654696	0.07404313	-0.00048462	0.00374335	0.00242212	0.10723392	0.05323062	0.13677257	-0.00048261	0.00441035	0.00223347	0.07777099	0.01883958	0.11779356	-0.00321989	0.00570069	0.00265331	0.06982128	0.00478905	0.08486608	-0.00442626	0.00202243	-0.00183479
0.050000	0.12878048	0.03549969	0.09541653	0.00172556	-0.00079168	0.00203271	0.10612166	0.01906768	0.08544926	-0.00013556	-0.00121066	0.00245129	0.09103721	0.00661807	0.07409996	0.00020035	0.00273803	0.00141834	0.10720256	0.05333587	0.13681582	0.00099786	0.00277507	0.00193373	0.07768188	0.01895273	0.11784899	-0.00186519	0.00459605	0.00214626	0.06971818	0.00482833	0.08485573	-0.00350495	0.00150032	-0.00205369
0.066666	0.12879066	0.03548922	0.09545663	0.00232988	-0.00211599	0.00129626	0.10610086	0.01906788	0.08550395	0.00092570	-0.00181085	0.00195091	0.09102172	0.00665846	0.07413682	0.00020102	0.00143161	0.00050280	0.10723578	0.05337281	0.13685445	0.00234128	0.00127892	0.00137240	0.07764637	0.01903182	0.11787463	-0.00105955	0.00339016	0.00152942	0.06965701	0.00486352	0.08484118	-0.00265007	0.00105506	-0.00197370
0.083333	0.12884162	0.03544237	0.09548040	0.00290149	-0.00313525	0.00037041	0.10614707	0.01901688	0.08552996	0.00173052	-0.00244932	0.00153550	0.09105084	0.00665757	0.07412849	0.00048716	0.00021501	-0.00016246	0.10731305	0.05336621	0.13688558	0.00306988	0.00009658	0.00055462	0.07766214	0.01908376	0.11790042	-0.00062071	0.00224764	0.00129123	0.06961493	0.00485689	0.08482424	-0.00166283	0.00058239	-0.00205235
0.100000	0.12892744	0.03535509	0.09545306	0.00298620	-0.00372341	0.00002109	0.10621256	0.01894131	0.08552194	0.00169952	-0.00275161	0.00171319	0.09108648	0.00664067	0.07408065	0.00049178	-0.00049130	0.00001427	0.10740571	0.05331296	0.13688314	0.00291654	-0.00016831	-0.00032582	0.07770391	0.01907295	0.11790062	-0.00129529	0.00164754	0.00166894	0.06962597	0.00485654	0.08475775	-0.00140649	0.00034902	-0.00181303
0.116666	0.12900083	0.03526788	0.09542513	0.00247263	-0.00392614	0.00055768	0.10626920	0.01886855	0.08553184	0.00076264	-0.00260404	0.00250698	0.09110189	0.00660857	0.07405199	-0.00017200	-0.00066518	0.00109915	0.10746223	0.05329163	0.13685641	0.00188929	0.00067994	-0.00107922	0.07770616	0.01908027	0.11790846	-0.00340482	0.00173713	0.00260451	0.06964100	0.00485099	0.08470239	-0.00197452	0.00056599	-0.00119452
