Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12826195	0.04033767	0.09642512	0.00562558	-0.00546610	-0.00651008	0.10545883	0.02442118	0.09120336	0.00712099	-0.00299465	-0.01010906	0.09076443	0.01032613	0.08435804	0.00659036	-0.00500655	-0.01749086	0.10783812	0.05677032	0.13673365	0.00208952	-0.00195171	-0.00342028	0.07271457	0.02429994	0.12685488	0.02288585	-0.01368435	-0.01121317	0.06601558	0.00879225	0.09125070	0.01931504	-0.00817916	-0.01061362
0.016667	0.12835453	0.04024195	0.09628566	0.00521960	-0.00481347	-0.00532421	0.10558098	0.02436181	0.09097833	0.00634568	-0.00259527	-0.00782091	0.09089481	0.01023855	0.08401271	0.00490913	-0.00357596	-0.01419475	0.10790262	0.05671814	0.13665925	0.00191354	-0.00044123	-0.00309215	0.07311818	0.02405060	0.12663683	0.02058134	-0.01127013	-0.00939447	0.06634660	0.00863063	0.09104342	0.01598089	-0.00638919	-0.00710632
0.033333	0.12844643	0.04016250	0.09620752	0.00481362	-0.00416083	-0.00413833	0.10568408	0.02432838	0.09087797	0.00557037	-0.00219589	-0.00553275	0.09096925	0.01017093	0.08379602	0.00322790	-0.00214537	-0.01089864	0.10791318	0.05671336	0.13661572	0.00173756	0.00106926	-0.00276403	0.07345223	0.02386934	0.12649436	0.01827683	-0.00885591	-0.00757578	0.06662288	0.00853212	0.09093200	0.01264674	-0.00459921	-0.00359902
0.050000	0.12852482	0.04009832	0.09619818	0.00472890	-0.00414228	-0.00606469	0.10577423	0.02428562	0.09085579	0.00526743	-0.00229909	-0.00786252	0.09098683	0.01014260	0.08370614	0.00370239	-0.00211837	-0.01317462	0.10789607	0.05677025	0.13659899	0.00329365	0.00038346	-0.00372218	0.07372986	0.02374494	0.12641250	0.01814313	-0.00884209	-0.00876542	0.06680313	0.00849907	0.09091778	0.01145256	-0.00559287	-0.00382522
0.066666	0.12859191	0.04004567	0.09612175	0.00435943	-0.00415046	-0.00671807	0.10585367	0.02427637	0.09079789	0.00463134	-0.00260506	-0.00873484	0.09102502	0.01015645	0.08355150	0.00330643	-0.00202600	-0.01364699	0.10795953	0.05680600	0.13654533	0.00408025	0.00034019	-0.00389011	0.07398823	0.02365653	0.12631008	0.01747027	-0.00829494	-0.00901084	0.06695317	0.00844230	0.09092519	0.00891883	-0.00582534	-0.00289635
0.083333	0.12866211	0.03998128	0.09596511	0.00377023	-0.00461761	-0.00771231	0.10591780	0.02422275	0.09057318	0.00420248	-0.00343438	-0.01050544	0.09108640	0.01013019	0.08328154	0.00357432	-0.00246684	-0.01557543	0.10807604	0.05679512	0.13644280	0.00506247	-0.00047138	-0.00389987	0.07427757	0.02351924	0.12613241	0.01807764	-0.00895497	-0.00983257	0.06706596	0.00833042	0.09088209	0.00759731	-0.00704578	-0.00361939
0.100000	0.12873685	0.03990431	0.09575307	0.00344226	-0.00538795	-0.00851497	0.10599469	0.02416977	0.09031460	0.00404281	-0.00469519	-0.01217482	0.09117888	0.01007744	0.08291328	0.00419745	-0.00334566	-0.01753721	0.10820219	0.05676290	0.13634385	0.00589731	-0.00176738	-0.00361802	0.07457698	0.02335900	0.12590899	0.01929771	-0.01052699	-0.01068939	0.06718589	0.00816631	0.09078450	0.00795751	-0.00880194	-0.00516774
0.116666	0.12878607	0.03979737	0.09561624	0.00334488	-0.00627790	-0.00887934	0.10604685	0.02407306	0.09006950	0.00431308	-0.00606237	-0.01320867	0.09124983	0.00998129	0.08259284	0.00472257	-0.00455172	-0.01889475	0.10829593	0.05670854	0.13628902	0.00657602	-0.00290203	-0.00263871	0.07493374	0.02315047	0.12570944	0.02084167	-0.01251527	-0.01142812	0.06729838	0.00800397	0.09067231	0.00975516	-0.01058577	-0.00679030
