Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.14182322	0.06416103	0.09118339	0.00113465	-0.00459978	0.00063934	0.12550360	0.04328635	0.08595614	0.00140794	-0.00011591	0.00086155	0.12063330	0.02929211	0.07933035	-0.00272916	0.00105512	-0.00419466	0.12503192	0.06027660	0.12515852	0.00319028	-0.00490962	0.00269049	0.10751250	0.02496073	0.11279931	-0.00606279	0.00354851	-0.00369256	0.10017494	0.02001223	0.07729556	-0.00026237	-0.00131184	-0.00092123	0.13841586	0.14100803	0.11181033	0.00246936	0.00347057	0.00155282
0.016667	0.14186694	0.06408313	0.09119411	-0.00013098	-0.00394018	0.00095040	0.12554842	0.04327888	0.08596739	0.00010952	-0.00065603	0.00128523	0.12062590	0.02930151	0.07927063	-0.00383848	0.00163191	-0.00367844	0.12509796	0.06019849	0.12519287	0.00301660	-0.00591318	0.00397192	0.10744134	0.02500215	0.11273943	-0.00815171	0.00451172	-0.00370146	0.10019987	0.01998530	0.07729015	-0.00084266	-0.00238455	-0.00113838	0.13845450	0.14107637	0.11182768	0.00305058	0.00303136	0.00324929
0.033333	0.14185046	0.06401958	0.09121163	-0.00139662	-0.00328058	0.00126146	0.12553845	0.04327557	0.08598974	-0.00118889	-0.00119614	0.00170891	0.12052897	0.02933601	0.07919467	-0.00494780	0.00220870	-0.00316223	0.12514129	0.06009880	0.12526545	0.00284293	-0.00691674	0.00525335	0.10730022	0.02507984	0.11268055	-0.01024064	0.00547492	-0.00371037	0.10016881	0.01994880	0.07726222	-0.00142295	-0.00345726	-0.00135553	0.13850676	0.14112006	0.11188729	0.00363180	0.00259214	0.00494575
0.050000	0.14179920	0.06395435	0.09123404	-0.00056118	-0.00265398	0.00178252	0.12549265	0.04326373	0.08602747	-0.00065863	-0.00170097	0.00179832	0.12041458	0.02937834	0.07914016	-0.00377288	0.00238304	-0.00264195	0.12516890	0.05997346	0.12536405	0.00357421	-0.00731194	0.00557104	0.10706417	0.02520779	0.11260802	-0.00848297	0.00421916	-0.00331459	0.10010659	0.01989519	0.07722995	0.00044670	-0.00431510	-0.00117496	0.13856398	0.14115794	0.11197630	0.00370094	0.00305944	0.00571547
0.066666	0.14175445	0.06393041	0.09125217	-0.00023708	-0.00201871	0.00262433	0.12545311	0.04321788	0.08605415	-0.00081487	-0.00186358	0.00225347	0.12032405	0.02942456	0.07910287	-0.00337799	0.00314517	-0.00207902	0.12522233	0.05985008	0.12547368	0.00407809	-0.00814193	0.00645372	0.10688569	0.02530510	0.11255231	-0.00735658	0.00335121	-0.00297324	0.10008408	0.01982221	0.07721022	0.00199430	-0.00511027	-0.00139144	0.13864666	0.14118294	0.11209160	0.00364841	0.00351751	0.00733636
0.083333	0.14177389	0.06390456	0.09130552	0.00068613	-0.00173093	0.00354619	0.12545697	0.04316794	0.08609544	-0.00075601	-0.00120074	0.00270561	0.12030841	0.02947019	0.07909090	-0.00281961	0.00404327	-0.00158683	0.12531394	0.05969470	0.12558858	0.00493901	-0.00855699	0.00690262	0.10677209	0.02534277	0.11250848	-0.00495395	0.00210931	-0.00264109	0.10016064	0.01968772	0.07720216	0.00388289	-0.00546305	-0.00158460	0.13871734	0.14125466	0.11223278	0.00330636	0.00407571	0.00866882
0.100000	0.14181896	0.06389619	0.09137678	0.00149653	-0.00195567	0.00460202	0.12547581	0.04312384	0.08613476	-0.00113316	0.00040667	0.00324184	0.12031142	0.02953261	0.07907043	-0.00320652	0.00517853	-0.00128378	0.12541004	0.05955520	0.12569965	0.00577735	-0.00881523	0.00726420	0.10676804	0.02532483	0.11247768	-0.00257601	0.00118509	-0.00236315	0.10028894	0.01959377	0.07718027	0.00517139	-0.00580807	-0.00181851	0.13876501	0.14134201	0.11237280	0.00301914	0.00436949	0.01005944
0.116666	0.14187069	0.06386095	0.09146927	0.00181534	-0.00273836	0.00545303	0.12547718	0.04314128	0.08619894	-0.00203379	0.00211124	0.00369908	0.12027971	0.02963414	0.07904642	-0.00455858	0.00633157	-0.00113022	0.12551598	0.05939354	0.12582573	0.00614176	-0.00894716	0.00738095	0.10677366	0.02530935	0.11244629	-0.00201282	0.00163420	-0.00241750	0.10041724	0.01949844	0.07713960	0.00507066	-0.00605836	-0.00215848	0.13879782	0.14144216	0.11256070	0.00291863	0.00417964	0.01111013
