Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.13814622	0.06837308	0.09497730	-0.00103452	0.00545537	0.00184362	0.11857336	0.05209887	0.08978371	0.00772584	-0.01181458	0.00138805	0.11254211	0.03956757	0.08338056	0.01409216	-0.01622832	-0.00191518	0.12099190	0.06291566	0.12609053	0.00411832	0.00003487	0.00480415	0.09595580	0.03337434	0.11039153	0.00245166	-0.00532229	0.00131690	0.09822232	0.01913684	0.07709354	0.00192330	-0.00324780	0.00527611	0.13606542	0.14616482	0.11626332	-0.00236430	-0.00112348	0.00228987
0.016667	0.13811980	0.06845765	0.09500484	-0.00085965	0.00614340	0.00143096	0.11871067	0.05188813	0.08981707	0.00552448	-0.00864636	0.00021882	0.11277036	0.03925763	0.08335163	0.01270322	-0.01232480	-0.00315898	0.12105552	0.06292281	0.12617561	0.00270189	0.00053846	0.00374706	0.09599202	0.03328514	0.11041050	0.00090994	-0.00381881	0.00053354	0.09825000	0.01908943	0.07717399	0.00024408	-0.00202088	0.00439571	0.13602297	0.14615305	0.11629663	-0.00260488	-0.00151858	0.00295402
0.033333	0.13811451	0.06856035	0.09503479	-0.00068479	0.00683143	0.00101831	0.11880875	0.05174115	0.08981651	0.00332312	-0.00547814	-0.00095040	0.11300330	0.03906459	0.08330473	0.01131427	-0.00842127	-0.00440279	0.12110817	0.06292956	0.12623879	0.00128545	0.00104204	0.00268997	0.09601988	0.03321641	0.11042687	-0.00063177	-0.00231533	-0.00024982	0.09826929	0.01904600	0.07725765	-0.00143514	-0.00079397	0.00351531	0.13598230	0.14612511	0.11634964	-0.00284546	-0.00191369	0.00361817
0.050000	0.13810633	0.06868878	0.09504864	-0.00092067	0.00656969	0.00074085	0.11882955	0.05168537	0.08977986	0.00280340	-0.00455189	-0.00115935	0.11317313	0.03899561	0.08321574	0.01085464	-0.00851856	-0.00463193	0.12113479	0.06293464	0.12627459	-0.00011779	0.00204165	0.00228875	0.09600145	0.03318310	0.11041807	-0.00167877	-0.00139971	-0.00073709	0.09823516	0.01903136	0.07731955	-0.00241918	0.00035351	0.00241940	0.13593858	0.14608100	0.11641302	-0.00344390	-0.00131757	0.00384589
0.066666	0.13810091	0.06880944	0.09505942	-0.00095137	0.00632356	0.00038184	0.11886524	0.05163975	0.08975784	0.00139669	-0.00256832	-0.00189838	0.11333885	0.03889834	0.08312366	0.00987336	-0.00670935	-0.00529690	0.12111939	0.06296537	0.12629761	-0.00184481	0.00262701	0.00156932	0.09596151	0.03317623	0.11039961	-0.00300729	-0.00020037	-0.00129749	0.09817550	0.01904378	0.07735556	-0.00386050	0.00169506	0.00108846	0.13588367	0.14604704	0.11648633	-0.00429602	-0.00062369	0.00429885
0.083333	0.13807032	0.06892053	0.09505300	-0.00096955	0.00541454	0.00024963	0.11886121	0.05163430	0.08971829	0.00095029	-0.00210688	-0.00193116	0.11347809	0.03878313	0.08301914	0.00918560	-0.00659373	-0.00540732	0.12105529	0.06304374	0.12631650	-0.00301120	0.00234016	0.00144378	0.09587597	0.03320104	0.11035774	-0.00357707	0.00012575	-0.00139393	0.09808060	0.01910952	0.07734934	-0.00467623	0.00246842	-0.00004809	0.13580778	0.14603449	0.11656471	-0.00517624	0.00025220	0.00449413
0.100000	0.13804570	0.06900097	0.09505189	-0.00088252	0.00411117	0.00026036	0.11887820	0.05160641	0.08968239	0.00073586	-0.00217176	-0.00185967	0.11363555	0.03864793	0.08293604	0.00839058	-0.00659580	-0.00515910	0.12096728	0.06312475	0.12632778	-0.00363437	0.00127979	0.00147306	0.09578963	0.03322705	0.11032208	-0.00356728	-0.00019975	-0.00112627	0.09798253	0.01917786	0.07731647	-0.00479454	0.00266807	-0.00082814	0.13570026	0.14606896	0.11663917	-0.00587771	0.00088811	0.00453563
0.116666	0.13803118	0.06905522	0.09505645	-0.00057169	0.00254084	0.00019346	0.11889347	0.05156265	0.08964909	0.00051219	-0.00251309	-0.00194241	0.11378863	0.03852329	0.08284967	0.00752426	-0.00614960	-0.00470189	0.12090180	0.06314339	0.12636074	-0.00364841	-0.00025846	0.00130296	0.09573852	0.03322094	0.11030999	-0.00318741	-0.00096886	-0.00074886	0.09790786	0.01922661	0.07730115	-0.00439959	0.00237468	-0.00120376	0.13558820	0.14610896	0.11671802	-0.00628951	0.00120342	0.00430433
