Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.13729140	0.06753719	0.09067602	0.00073679	-0.00563080	0.00478635	0.11744326	0.05076481	0.08909694	-0.00192125	0.00076324	0.00739257	0.11219230	0.03690561	0.08307120	-0.00587406	0.00019256	0.00897087	0.12037431	0.06395916	0.12237655	0.00012416	-0.00555968	0.00157003	0.08923905	0.03676939	0.11330567	-0.00683605	0.00185129	0.00809531	0.09194405	0.02326053	0.07850621	-0.00132353	0.00132997	0.01051948	0.14064683	0.14483307	0.10557727	-0.00000462	0.00040695	0.00185703
0.016667	0.13729839	0.06743985	0.09076072	0.00106171	-0.00462191	0.00399919	0.11740086	0.05076614	0.08923362	-0.00153781	0.00137117	0.00603701	0.11208764	0.03690222	0.08323035	-0.00533739	0.00033382	0.00871476	0.12037431	0.06386641	0.12241182	0.00082948	-0.00517847	0.00069380	0.08911958	0.03679140	0.11344787	-0.00544424	0.00187409	0.00758196	0.09192273	0.02327302	0.07869164	-0.00173271	0.00161280	0.00980754	0.14063834	0.14483844	0.10561039	0.00064954	0.00040546	0.00091799
0.033333	0.13732043	0.06736171	0.09082378	0.00138663	-0.00361302	0.00321203	0.11738538	0.05079703	0.08932970	-0.00115436	0.00197911	0.00468144	0.11200115	0.03691503	0.08336186	-0.00480073	0.00047509	0.00845864	0.12038722	0.06378110	0.12241679	0.00153479	-0.00479726	-0.00018243	0.08902902	0.03683161	0.11356795	-0.00405242	0.00189689	0.00706862	0.09189709	0.02330399	0.07884738	-0.00214190	0.00189562	0.00909559	0.14065389	0.14484951	0.10562964	0.00130371	0.00040397	-0.00002105
0.050000	0.13734823	0.06730628	0.09087824	0.00142262	-0.00305695	0.00284796	0.11737439	0.05084616	0.08939391	-0.00122343	0.00177660	0.00473509	0.11193018	0.03692805	0.08350836	-0.00487698	0.00039220	0.00844836	0.12041496	0.06369993	0.12240809	0.00177813	-0.00430887	-0.00043299	0.08896532	0.03687791	0.11368657	-0.00374706	0.00162336	0.00708341	0.09185503	0.02335383	0.07899832	-0.00220605	0.00121669	0.00907045	0.14068799	0.14485350	0.10561989	0.00124909	0.00060797	-0.00035551
0.066666	0.13737546	0.06727061	0.09090784	0.00169308	-0.00196230	0.00219845	0.11735611	0.05087844	0.08943669	-0.00096202	0.00203040	0.00456596	0.11186069	0.03693277	0.08363666	-0.00448836	0.00053106	0.00861581	0.12045897	0.06362610	0.12238516	0.00215226	-0.00344196	-0.00106607	0.08893489	0.03688897	0.11378394	-0.00363631	0.00216932	0.00703677	0.09181260	0.02338009	0.07912209	-0.00242484	0.00098656	0.00895787	0.14071529	0.14485839	0.10560220	0.00144519	0.00087023	-0.00116129
0.083333	0.13740014	0.06724241	0.09094061	0.00191458	-0.00107814	0.00182003	0.11733135	0.05090603	0.08951621	-0.00085280	0.00192738	0.00501612	0.11177711	0.03693502	0.08378391	-0.00392159	0.00049712	0.00895444	0.12050386	0.06357472	0.12236869	0.00220557	-0.00245818	-0.00136614	0.08889801	0.03690964	0.11390524	-0.00451403	0.00308647	0.00690902	0.09176901	0.02338182	0.07927957	-0.00246515	0.00088436	0.00898983	0.14073908	0.14487366	0.10557490	0.00120074	0.00108503	-0.00171286
0.100000	0.13743094	0.06723482	0.09096660	0.00218392	-0.00042238	0.00172809	0.11731441	0.05092770	0.08960433	-0.00059117	0.00183762	0.00573488	0.11169890	0.03694184	0.08393054	-0.00324210	0.00043057	0.00910759	0.12054167	0.06354154	0.12234189	0.00187714	-0.00128534	-0.00151858	0.08882624	0.03693965	0.11402869	-0.00574420	0.00433700	0.00656749	0.09172823	0.02336204	0.07943030	-0.00238732	0.00107143	0.00896174	0.14075662	0.14490092	0.10554577	0.00097007	0.00139706	-0.00203286
0.116666	0.13746957	0.06723580	0.09099033	0.00243091	0.00006605	0.00181489	0.11730941	0.05096726	0.08973386	-0.00023306	0.00193636	0.00622759	0.11164697	0.03696061	0.08410126	-0.00266326	0.00032580	0.00897188	0.12057076	0.06353642	0.12231574	0.00131976	-0.00018336	-0.00162446	0.08869334	0.03705584	0.11415754	-0.00660783	0.00537390	0.00604163	0.09169124	0.02338392	0.07960446	-0.00240450	0.00152506	0.00858642	0.14076760	0.14493160	0.10550573	0.00094623	0.00180022	-0.00218035
