Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																										
0.016667	0.14164665	0.06639180	0.09079725	-0.00010923	-0.00503020	-0.00288361	0.12159184	0.04976720	0.08684608	0.00122142	-0.00103875	-0.00691119	0.11605518	0.03539015	0.08092973	0.00159179	-0.00443377	-0.01117670	0.12409540	0.06448167	0.12365901	0.00210189	0.00488652	-0.00181240	0.09891113	0.03147373	0.11274224	0.01022328	-0.00100144	-0.01130258	0.09564735	0.02263196	0.07686748	0.00314151	-0.00300587	-0.00960577	0.14085710	0.14325421	0.10927049	-0.00280992	-0.00046455	-0.00104044
0.033333	0.14165594	0.06630734	0.09074982	-0.00055745	-0.00446835	-0.00266523	0.12160906	0.04976033	0.08672545	0.00187442	-0.00127886	-0.00638033	0.11606311	0.03532658	0.08074443	0.00203044	-0.00440778	-0.01095843	0.12413183	0.06456833	0.12363132	0.00219473	0.00386798	-0.00197277	0.09908106	0.03145695	0.11255747	0.01027536	-0.00166834	-0.01065244	0.09568699	0.02258588	0.07671052	0.00349940	-0.00267697	-0.00915151	0.14082162	0.14325064	0.10924952	-0.00297056	-0.00179843	-0.00022642
0.050000	0.14163376	0.06623220	0.09070388	-0.00100568	-0.00390650	-0.00244685	0.12163508	0.04972911	0.08662273	0.00252743	-0.00151897	-0.00584947	0.11610908	0.03524150	0.08056410	0.00246909	-0.00438180	-0.01074017	0.12416681	0.06462996	0.12359726	0.00228756	0.00284945	-0.00213315	0.09925399	0.03143085	0.11238451	0.01032744	-0.00233524	-0.01000230	0.09575418	0.02253206	0.07655698	0.00385729	-0.00234807	-0.00869725	0.14076072	0.14322720	0.10924561	-0.00313119	-0.00313231	0.00058759
0.066666	0.14161433	0.06615996	0.09066400	-0.00093900	-0.00376453	-0.00221697	0.12168621	0.04968705	0.08652366	0.00242517	-0.00157677	-0.00574345	0.11616829	0.03515600	0.08037084	0.00182901	-0.00428367	-0.01009453	0.12420522	0.06467073	0.12355869	0.00240785	0.00246611	-0.00199535	0.09943244	0.03137449	0.11219389	0.01055286	-0.00285690	-0.00869851	0.09583317	0.02248444	0.07639849	0.00343436	-0.00244023	-0.00797681	0.14070201	0.14315799	0.10926422	-0.00277014	-0.00319385	0.00102085
0.083333	0.14158967	0.06612302	0.09062710	-0.00081294	-0.00385495	-0.00179373	0.12174941	0.04967918	0.08644911	0.00287489	-0.00220575	-0.00544744	0.11621862	0.03510189	0.08021316	0.00197989	-0.00467006	-0.00950039	0.12424353	0.06470230	0.12352004	0.00259978	0.00173797	-0.00188877	0.09958956	0.03135459	0.11205772	0.01132992	-0.00381207	-0.00756006	0.09589830	0.02247930	0.07627869	0.00375477	-0.00274775	-0.00736575	0.14064898	0.14308125	0.10928489	-0.00248552	-0.00366600	0.00208382
0.100000	0.14157711	0.06606904	0.09059972	-0.00022732	-0.00418613	-0.00142929	0.12178697	0.04965473	0.08635274	0.00344807	-0.00239954	-0.00527969	0.11621080	0.03504108	0.08005669	0.00233633	-0.00488322	-0.00907797	0.12429131	0.06471618	0.12348949	0.00277770	0.00138362	-0.00159104	0.09977976	0.03126526	0.11195969	0.01237967	-0.00420705	-0.00674530	0.09593675	0.02243411	0.07616947	0.00455564	-0.00272451	-0.00673595	0.14062147	0.14300697	0.10932335	-0.00199624	-0.00370601	0.00304424
0.116666	0.14157288	0.06599583	0.09058189	0.00056617	-0.00461349	-0.00102878	0.12182818	0.04959950	0.08626410	0.00381389	-0.00229630	-0.00523450	0.11622712	0.03495200	0.07993462	0.00312587	-0.00500646	-0.00872623	0.12433880	0.06474028	0.12346906	0.00297894	0.00129670	-0.00084143	0.09998441	0.03118195	0.11188751	0.01365056	-0.00440818	-0.00609087	0.09598532	0.02237218	0.07607757	0.00579568	-0.00263961	-0.00599770	0.14059578	0.14296143	0.10937904	-0.00160032	-0.00346774	0.00404471
