Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12326027	0.03258799	0.08473423	-0.01873489	-0.00377975	0.00138067	0.11390335	0.00377341	0.08157114	-0.01821130	0.01117058	-0.00621314	0.10061990	-0.01847401	0.07567112	0.01318978	0.00215810	0.00205704	0.08870986	0.05123619	0.12612148	-0.01306144	0.00787550	0.00419000	0.08586626	0.00195720	0.11537981	0.00378104	0.00574967	0.01884002	0.08044910	-0.02682357	0.08307691	0.00091505	0.01159897	0.01421375	0.11470322	0.13146639	0.08573675	-0.00950254	0.00229732	0.00023119
0.016667	0.12297919	0.03255051	0.08474591	-0.01914904	-0.00347862	0.00191376	0.11357144	0.00395052	0.08149768	-0.02346965	0.00876431	-0.00207671	0.10076991	-0.01856626	0.07578607	0.00747937	0.00128316	0.00746797	0.08850633	0.05136305	0.12619764	-0.01297747	0.00982218	0.00426339	0.08599661	0.00207105	0.11565854	0.00363307	0.00745204	0.02284759	0.08048726	-0.02665943	0.08329049	0.00091263	0.01094295	0.01966805	0.11455771	0.13150592	0.08574042	-0.00893067	0.00206531	0.00028655
0.033333	0.12264641	0.03246874	0.08479238	-0.01956318	-0.00317748	0.00244685	0.11321495	0.00410055	0.08143930	-0.02872799	0.00635804	0.00205972	0.10094161	-0.01842690	0.07583194	0.00176896	0.00040823	0.01287890	0.08828626	0.05151070	0.12625675	-0.01289350	0.01176885	0.00433678	0.08601148	0.00216887	0.11602763	0.00348510	0.00915442	0.02685517	0.08047219	-0.02647824	0.08361325	0.00091020	0.01028694	0.02512234	0.11439811	0.13154051	0.08574605	-0.00835880	0.00183330	0.00034191
0.050000	0.12227455	0.03238015	0.08484304	-0.01656643	-0.00227026	0.00300025	0.11278056	0.00422491	0.08142141	-0.03271980	0.00444479	0.00695392	0.10105826	-0.01827895	0.07595552	-0.00831551	-0.00395631	0.01938641	0.08804297	0.05171383	0.12633334	-0.01116373	0.01088838	0.00415066	0.08596780	0.00230149	0.11654589	0.00760309	0.00987596	0.02418543	0.08045696	-0.02626504	0.08407351	0.00157152	0.00586680	0.02554770	0.11424189	0.13155930	0.08575296	-0.00706463	0.00147425	0.00061203
0.066666	0.12194943	0.03237282	0.08487453	-0.01273075	-0.00148090	0.00417473	0.11213490	0.00427839	0.08158003	-0.03616508	0.00272993	0.01236604	0.10095636	-0.01841007	0.07635561	-0.02088723	-0.00443685	0.02483184	0.08784099	0.05199421	0.12640871	-0.00906944	0.00952805	0.00352555	0.08609466	0.00252938	0.11709508	0.00978980	0.00927507	0.02145668	0.08053211	-0.02606776	0.08460839	0.00067294	-0.00023541	0.02678804	0.11412667	0.13160400	0.08575531	-0.00559127	0.00069849	0.00102565
0.083333	0.12177522	0.03238983	0.08494166	-0.00618073	0.00039080	0.00555022	0.11135611	0.00422395	0.08193561	-0.03632992	0.00163913	0.01735344	0.10035530	-0.01875835	0.07705261	-0.03336279	-0.00480526	0.02953470	0.08771467	0.05216802	0.12647924	-0.00633712	0.00696301	0.00241139	0.08638578	0.00275852	0.11744942	0.01165741	0.00697859	0.01572962	0.08056010	-0.02616868	0.08513077	-0.00140872	-0.00825149	0.02574771	0.11406342	0.13161343	0.08577245	-0.00386158	0.00013910	0.00125830
0.100000	0.12173877	0.03237231	0.08505274	0.00294616	0.00226383	0.00769585	0.11069137	0.00424806	0.08230386	-0.03197038	0.00039027	0.02183565	0.09958540	-0.01886594	0.07761320	-0.04177721	-0.00285820	0.03335176	0.08765488	0.05222442	0.12651993	-0.00358553	0.00343449	0.00071153	0.08671251	0.00287955	0.11759173	0.01146500	0.00340888	0.00794209	0.08060230	-0.02638838	0.08549198	-0.00585275	-0.01756757	0.02376074	0.11402652	0.13159594	0.08580977	-0.00228015	-0.00023224	0.00119191
0.116666	0.12183426	0.03242309	0.08518923	0.01311542	0.00364493	0.00937965	0.11015441	0.00427204	0.08268408	-0.02235623	0.00014929	0.02333185	0.09865300	-0.01884780	0.07812098	-0.04179580	0.00137047	0.03336849	0.08764126	0.05220677	0.12650858	-0.00140813	0.00045007	-0.00118323	0.08690984	0.00286228	0.11759815	0.00837616	-0.00037098	0.00049051	0.08043298	-0.02683813	0.08582509	-0.01155180	-0.02463239	0.02137174	0.11400309	0.13157111	0.08584323	-0.00110805	-0.00023559	0.00075914
