Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																										
0.016667	0.12466224	0.02908458	0.08057276	-0.00302882	0.00139821	0.00510911	0.10704141	0.00686809	0.07839923	-0.00162755	0.00660757	0.01275343	0.10147168	-0.01326885	0.07662763	-0.00483593	-0.00253749	0.01654155	0.09795762	0.04820254	0.12317640	-0.00107095	-0.00034383	0.00467593	0.09649786	0.00102869	0.11426415	-0.00224569	-0.00305395	0.01213943	0.08286227	-0.02281011	0.07948941	-0.00211128	-0.00270412	0.01402142	0.11926149	0.12961276	0.08464169	-0.00247889	0.00365289	-0.00070021
0.033333	0.12460588	0.02910434	0.08064944	-0.00259594	0.00255733	0.00478799	0.10698693	0.00696516	0.07860469	-0.00056885	0.00887833	0.01151544	0.10136354	-0.01332297	0.07689571	-0.00309528	-0.00115361	0.01503205	0.09794140	0.04820351	0.12324584	-0.00206330	0.00102349	0.00411788	0.09644409	0.00097790	0.11445496	-0.00207939	-0.00148105	0.01113166	0.08280157	-0.02286936	0.07971853	-0.00094414	-0.00050867	0.01322200	0.11922228	0.12967269	0.08463098	-0.00279443	0.00374483	-0.00083797
0.050000	0.12456910	0.02914699	0.08073721	-0.00216306	0.00371645	0.00446686	0.10700130	0.00710997	0.07880211	0.00048984	0.01114909	0.01027745	0.10134110	-0.01333769	0.07716289	-0.00135463	0.00023028	0.01352256	0.09791496	0.04820668	0.12332878	-0.00305564	0.00239081	0.00355983	0.09643157	0.00094593	0.11465459	-0.00191309	0.00009184	0.01012389	0.08281370	-0.02287714	0.07994936	0.00022300	0.00168678	0.01242259	0.11917564	0.12973402	0.08461554	-0.00310996	0.00383677	-0.00097573
0.066666	0.12453476	0.02920664	0.08082258	-0.00177529	0.00417428	0.00369919	0.10702743	0.00732068	0.07899677	0.00021808	0.01104276	0.00839598	0.10132223	-0.01332389	0.07738938	-0.00069000	0.00015914	0.01233735	0.09784975	0.04824659	0.12338827	-0.00299552	0.00336654	0.00299291	0.09640192	0.00094790	0.11483729	-0.00168186	0.00090057	0.00871960	0.08282292	-0.02283058	0.08015645	0.00043325	0.00167452	0.01149458	0.11912319	0.12980601	0.08459860	-0.00303910	0.00375302	-0.00114382
0.083333	0.12450653	0.02930659	0.08087979	-0.00097227	0.00465946	0.00276772	0.10705515	0.00755628	0.07911258	0.00063870	0.01090560	0.00608476	0.10134396	-0.01328313	0.07756785	0.00050273	0.00005198	0.01050532	0.09778050	0.04832394	0.12342905	-0.00288938	0.00450484	0.00231785	0.09636730	0.00099620	0.11496504	-0.00098408	0.00166143	0.00702313	0.08285353	-0.02274817	0.08033700	0.00110507	0.00189301	0.00992112	0.11905909	0.12986235	0.08458193	-0.00281693	0.00362420	-0.00144952
0.100000	0.12448532	0.02939965	0.08091125	-0.00034716	0.00444835	0.00170146	0.10703380	0.00776045	0.07919221	0.00066757	0.00912990	0.00410897	0.10134228	-0.01327439	0.07772024	0.00073493	-0.00104774	0.00897143	0.09771688	0.04843067	0.12345274	-0.00177686	0.00460623	0.00184000	0.09632813	0.00105148	0.11505591	-0.00017230	0.00118709	0.00558077	0.08285553	-0.02270119	0.08050023	0.00130032	0.00092381	0.00850826	0.11900921	0.12992603	0.08455642	-0.00227031	0.00288987	-0.00163247
0.116666	0.12449518	0.02948151	0.08092252	-0.00001688	0.00353307	0.00096843	0.10704115	0.00790134	0.07920136	0.00076719	0.00620238	0.00306801	0.10138370	-0.01329845	0.07784743	0.00066351	-0.00258827	0.00819995	0.09768974	0.04853563	0.12346673	0.00022248	0.00350723	0.00191909	0.09634414	0.00109837	0.11511007	0.00098326	-0.00037594	0.00469239	0.08288664	-0.02270362	0.08060984	0.00159473	-0.00072073	0.00761568	0.11897330	0.12998167	0.08452303	-0.00154716	0.00157551	-0.00152931
