Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																										
0.016667	0.12528419	0.02866293	0.08104556	0.00172526	-0.00922319	-0.00583994	0.10861547	0.00541544	0.07950491	-0.00084501	-0.00365756	-0.01309527	0.10218863	-0.01339202	0.07734726	-0.00656447	-0.00327533	-0.01882955	0.09988646	0.04581038	0.12368640	0.00042666	-0.01002602	-0.00584728	0.09864146	-0.00158455	0.11427926	-0.00274130	-0.01005808	-0.01570004	0.08327584	-0.02377858	0.07968562	-0.00257255	-0.00108358	-0.01736625	0.11965605	0.12687306	0.08690561	0.00101444	-0.00345231	-0.00283369
0.033333	0.12531592	0.02852195	0.08094289	0.00173808	-0.00782152	-0.00557879	0.10858253	0.00535647	0.07927682	-0.00002012	-0.00269967	-0.01184066	0.10205718	-0.01344967	0.07703009	-0.00481749	-0.00180508	-0.01690625	0.09990732	0.04566616	0.12357274	-0.00085071	-0.00858880	-0.00531079	0.09857819	-0.00173930	0.11400697	-0.00172355	-0.00905183	-0.01406645	0.08319110	-0.02381186	0.07939644	-0.00012763	0.00037216	-0.01662663	0.11968447	0.12682106	0.08685110	0.00060797	-0.00408815	-0.00246809
0.050000	0.12533146	0.02836064	0.08085347	0.00175089	-0.00641985	-0.00531765	0.10857852	0.00528776	0.07908396	0.00080478	-0.00174177	-0.01058605	0.10197318	-0.01349754	0.07674649	-0.00307051	-0.00033483	-0.01498295	0.09987734	0.04548771	0.12349772	-0.00212808	-0.00715158	-0.00477431	0.09854557	-0.00191671	0.11377128	-0.00070580	-0.00804558	-0.01243287	0.08318822	-0.02381047	0.07911561	0.00231729	0.00182790	-0.01588701	0.11968061	0.12675022	0.08681876	0.00020150	-0.00472399	-0.00210249
0.066666	0.12537800	0.02826469	0.08077209	0.00117869	-0.00603063	-0.00534414	0.10864947	0.00528849	0.07891921	-0.00104078	-0.00240947	-0.01020216	0.10197585	-0.01347198	0.07649531	-0.00454435	-0.00087012	-0.01381596	0.09984136	0.04535952	0.12343848	-0.00266758	-0.00573967	-0.00517981	0.09858184	-0.00205053	0.11358760	-0.00233342	-0.00759707	-0.01229060	0.08333076	-0.02374316	0.07885420	-0.00063543	0.00107165	-0.01529934	0.11968400	0.12666526	0.08678725	0.00013802	-0.00474209	-0.00197251
0.083333	0.12540111	0.02820087	0.08068401	0.00070662	-0.00535932	-0.00518626	0.10864802	0.00527910	0.07876620	-0.00201804	-0.00243941	-0.00942953	0.10194539	-0.01344975	0.07629942	-0.00488544	-0.00081291	-0.01221896	0.09977804	0.04529668	0.12335150	-0.00348748	-0.00419987	-0.00515858	0.09857298	-0.00214029	0.11340676	-0.00322868	-0.00703401	-0.01141974	0.08337204	-0.02368679	0.07860513	-0.00159067	0.00117814	-0.01444521	0.11967649	0.12657435	0.08675400	-0.00018306	-0.00502335	-0.00168630
0.100000	0.12540583	0.02813697	0.08059206	0.00017949	-0.00496589	-0.00543258	0.10858216	0.00523127	0.07861460	-0.00336980	-0.00257251	-0.00950672	0.10183641	-0.01345988	0.07612281	-0.00545962	-0.00101696	-0.01140010	0.09970826	0.04527139	0.12325307	-0.00364003	-0.00308908	-0.00546543	0.09849177	-0.00223999	0.11322127	-0.00432147	-0.00679074	-0.01125094	0.08328696	-0.02368929	0.07837434	-0.00323777	0.00067230	-0.01387721	0.11968321	0.12648806	0.08672630	-0.00037789	-0.00523279	-0.00163254
0.116666	0.12539123	0.02804535	0.08050763	-0.00008367	-0.00473819	-0.00608953	0.10845307	0.00514816	0.07847035	-0.00418776	-0.00265121	-0.00998460	0.10166731	-0.01352018	0.07595675	-0.00547154	-0.00121213	-0.01122192	0.09963888	0.04524978	0.12314858	-0.00331236	-0.00268704	-0.00552131	0.09834734	-0.00235011	0.11302620	-0.00479689	-0.00699811	-0.01126998	0.08310093	-0.02371159	0.07816233	-0.00415755	0.00009534	-0.01350695	0.11967598	0.12641186	0.08670375	-0.00057034	-0.00545571	-0.00152220
