Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.09499500	0.07192732	0.07836152	0.00658805	-0.00100196	-0.00505256	0.07025585	0.05892658	0.06426711	0.01610840	0.00642554	-0.00177149	0.05386984	0.04669419	0.05647812	0.00487806	0.00601370	0.00240506	0.08083408	0.11411305	0.09511755	0.00158102	-0.00677100	0.00234493	0.05585696	0.09627435	0.08300477	0.00409510	-0.00042666	-0.00438346	0.03770193	0.06727052	0.05236814	0.00374760	-0.00354340	0.00307666
0.016667	0.09511984	0.07190891	0.07826424	0.00448780	-0.00005901	-0.00194908	0.07058242	0.05903173	0.06418985	0.01023736	0.00749077	0.00063479	0.05394494	0.04678358	0.05652071	0.00375522	0.00733665	0.00226089	0.08085454	0.11393952	0.09517327	0.00248888	-0.00272379	0.00109144	0.05594266	0.09626502	0.08292899	0.00438185	0.00070945	-0.00388877	0.03777793	0.06721561	0.05240164	0.00010014	-0.00261874	0.00494870
0.033333	0.09519318	0.07189878	0.07822062	0.00238755	0.00088394	0.00115440	0.07072448	0.05917419	0.06423625	0.00436632	0.00855600	0.00304108	0.05402148	0.04691522	0.05655199	0.00263238	0.00865960	0.00211672	0.08089330	0.11392207	0.09518296	0.00339673	0.00132341	-0.00016205	0.05600080	0.09627789	0.08286555	0.00466861	0.00184555	-0.00339409	0.03778486	0.06716833	0.05248607	-0.00354733	-0.00169408	0.00682074
0.050000	0.09521310	0.07193448	0.07827208	0.00238922	0.00032094	0.00115425	0.07071016	0.05927063	0.06435180	0.00382600	0.00980020	0.00261606	0.05406952	0.04705610	0.05660057	0.00199941	0.00903426	0.00201200	0.08097113	0.11404800	0.09515744	0.00320618	-0.00008915	0.00003207	0.05605114	0.09631093	0.08280736	0.00560176	0.00141718	-0.00306350	0.03769920	0.06712780	0.05262848	-0.00441093	-0.00096985	0.00683651
0.066666	0.09520186	0.07195729	0.07836429	0.00241348	-0.00015412	0.00183207	0.07071258	0.05947822	0.06439632	0.00093084	0.00983013	0.00388322	0.05406929	0.04724464	0.05661603	0.00117982	0.00908069	0.00222529	0.08103212	0.11408862	0.09513844	0.00319769	0.00076674	-0.00036676	0.05616355	0.09636180	0.08276906	0.00587879	-0.00036266	-0.00251339	0.03756243	0.06713390	0.05278114	-0.00585234	-0.00096582	0.00806508
0.083333	0.09522829	0.07197429	0.07841763	0.00376323	-0.00146542	0.00159309	0.07071041	0.05969232	0.06443204	0.00140627	0.00906089	0.00356746	0.05407060	0.04741089	0.05664984	0.00067374	0.00860890	0.00227741	0.08109533	0.11406983	0.09513974	0.00272707	-0.00065912	-0.00016555	0.05629916	0.09641679	0.08272595	0.00599506	-0.00366060	-0.00200883	0.03741686	0.06715651	0.05289609	-0.00565159	-0.00137427	0.00825353
0.100000	0.09529455	0.07191080	0.07840406	0.00528263	-0.00330971	0.00091594	0.07073878	0.05987138	0.06448533	0.00309424	0.00791333	0.00305531	0.05407566	0.04756157	0.05669085	0.00038630	0.00812450	0.00239423	0.08112751	0.11399570	0.09514908	0.00267138	-0.00231457	-0.00016619	0.05642112	0.09632154	0.08270126	0.00578901	-0.00661149	-0.00172426	0.03732758	0.06715110	0.05303106	-0.00492178	-0.00115049	0.00758999
0.116666	0.09545028	0.07185157	0.07836591	0.00628034	-0.00498163	0.00004243	0.07079429	0.05995132	0.06455707	0.00432568	0.00643574	0.00273467	0.05409430	0.04763848	0.05675040	-0.00012403	0.00818375	0.00269135	0.08114491	0.11394869	0.09515700	0.00341655	-0.00272584	-0.00075694	0.05649614	0.09612562	0.08267315	0.00536122	-0.00803414	-0.00198689	0.03729596	0.06706289	0.05317879	-0.00423930	-0.00031177	0.00688967
