Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.09564094	0.06946737	0.07795099	-0.00189491	0.00590200	0.00030924	0.07072905	0.05908450	0.06495559	-0.00169252	0.00151523	-0.00337680	0.05240490	0.04728530	0.05633169	-0.00670469	0.00793656	0.00016827	0.08472927	0.11109604	0.09528203	0.00012569	0.00181594	0.00104718	0.05652759	0.09714028	0.08357661	0.00123647	0.00247297	-0.00053197	0.03845715	0.06940062	0.05216805	-0.00396326	0.00547430	0.00444883
0.033333	0.09556564	0.06954190	0.07798100	0.00068955	0.00401528	-0.00204162	0.07070521	0.05910276	0.06490038	-0.00055477	0.00187476	-0.00238136	0.05230328	0.04741186	0.05635575	-0.00363564	0.00537673	-0.00085809	0.08472770	0.11110542	0.09530374	0.00054449	0.00177630	0.00034578	0.05652106	0.09715606	0.08359096	0.00409709	0.00052415	-0.00229799	0.03834164	0.06947016	0.05227204	-0.00391559	0.00426361	0.00362413
0.050000	0.09561381	0.06961524	0.07792963	0.00327402	0.00212856	-0.00439247	0.07068430	0.05913737	0.06485811	0.00058297	0.00223429	-0.00138593	0.05220053	0.04752060	0.05633159	-0.00056658	0.00281691	-0.00188445	0.08475318	0.11114708	0.09530499	0.00096329	0.00173666	-0.00035562	0.05661865	0.09718534	0.08353180	0.00695772	-0.00142467	-0.00406401	0.03833829	0.06956349	0.05231686	-0.00386793	0.00305292	0.00279942
0.066666	0.09569081	0.06970303	0.07783976	0.00353781	-0.00015907	-0.00396212	0.07069796	0.05919877	0.06482968	0.00086721	0.00249627	-0.00008725	0.05220555	0.04757489	0.05627188	0.00024069	0.00240971	-0.00111284	0.08475641	0.11119013	0.09530244	0.00243531	0.00065487	-0.00079878	0.05674034	0.09721204	0.08344829	0.00820016	-0.00438014	-0.00448016	0.03828973	0.06965032	0.05231068	-0.00563667	0.00200723	0.00426344
0.083333	0.09580838	0.06967855	0.07771330	0.00509544	-0.00034493	-0.00298192	0.07073623	0.05921157	0.06483731	0.00114587	0.00433666	0.00167449	0.05230433	0.04752997	0.05622451	0.00185988	0.00326715	-0.00088189	0.08477058	0.11123757	0.09527458	0.00410152	0.00012957	-0.00113763	0.05691317	0.09709505	0.08335240	0.00990557	-0.00649991	-0.00559291	0.03820636	0.06962910	0.05237664	-0.00748770	0.00188907	0.00486266
0.100000	0.09585498	0.06952098	0.07763416	0.00556501	0.00023395	-0.00115406	0.07078607	0.05926517	0.06487451	0.00075929	0.00636996	0.00303936	0.05236067	0.04751132	0.05623731	0.00340877	0.00568489	-0.00023838	0.08485907	0.11116970	0.09524528	0.00564164	0.00000998	-0.00155260	0.05711184	0.09689831	0.08325843	0.01045997	-0.00730044	-0.00604874	0.03803596	0.06959209	0.05249806	-0.00909125	0.00149124	0.00560163
0.116666	0.09595976	0.06950773	0.07765865	0.00562409	0.00005573	-0.00039239	0.07078859	0.05937196	0.06497646	0.00056390	0.00747022	0.00393962	0.05239871	0.04762501	0.05625895	0.00469802	0.00904137	0.00025204	0.08501041	0.11115108	0.09520990	0.00721219	-0.00031669	-0.00250907	0.05730598	0.09668732	0.08315296	0.01103247	-0.00681563	-0.00639549	0.03781805	0.06963297	0.05264011	-0.00902977	0.00140191	0.00527911
