Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10104047	0.06681516	0.08226388	-0.00417938	-0.00003375	-0.00080206	0.07413047	0.06239648	0.07141670	-0.00419246	-0.00037832	0.00004586	0.05565328	0.05427459	0.06433939	-0.01187972	0.00254906	0.00544181	0.09075794	0.11159223	0.09522649	0.00292984	0.00487985	-0.00120406	0.06168448	0.09489700	0.08492431	0.00123151	0.00670417	-0.00155558	0.03544515	0.07051391	0.06045455	0.00029275	-0.00069496	0.00120543
0.033333	0.10096000	0.06680144	0.08225352	-0.00499452	-0.00042401	-0.00022419	0.07407523	0.06237638	0.07140871	-0.00332729	-0.00588948	0.00100091	0.05545206	0.05428122	0.06439813	-0.01072396	-0.00166331	0.00487136	0.09078981	0.11167625	0.09522339	0.00255213	0.00283734	-0.00060484	0.06171902	0.09500548	0.08488862	-0.00028197	0.00402109	-0.00035338	0.03545850	0.07050259	0.06046356	0.00067111	-0.00243456	0.00110262
0.050000	0.10089976	0.06680278	0.08223657	-0.00580965	-0.00081428	0.00035368	0.07399746	0.06232609	0.07141781	-0.00246213	-0.01140064	0.00195597	0.05527898	0.05430118	0.06451006	-0.00956820	-0.00587568	0.00430090	0.09085105	0.11172394	0.09519804	0.00217442	0.00079483	-0.00000563	0.06170418	0.09507706	0.08488383	-0.00179545	0.00133802	0.00084881	0.03546153	0.07048041	0.06049434	0.00104947	-0.00417417	0.00099980
0.066666	0.10080414	0.06681044	0.08224805	-0.00581461	-0.00226566	-0.00021283	0.07394984	0.06212624	0.07149228	-0.00199576	-0.01314228	0.00117783	0.05510017	0.05422588	0.06461572	-0.00852024	-0.00945764	0.00245706	0.09090335	0.11174025	0.09517333	0.00137587	-0.00017967	0.00103672	0.06166564	0.09513562	0.08490767	-0.00213825	-0.00074685	0.00071708	0.03547294	0.07040540	0.06051062	0.00182842	-0.00380097	0.00057021
0.083333	0.10066555	0.06677531	0.08228002	-0.00594082	-0.00315571	-0.00058003	0.07394478	0.06177563	0.07151481	-0.00216284	-0.01511297	0.00123952	0.05499457	0.05401286	0.06464553	-0.00737989	-0.01315016	0.00039902	0.09091292	0.11170139	0.09521037	0.00094574	-0.00123159	0.00153252	0.06160208	0.09503998	0.08495823	-0.00272141	-0.00230630	0.00087664	0.03549949	0.07026148	0.06053348	0.00257109	-0.00308344	-0.00020392
0.100000	0.10055283	0.06668594	0.08227385	-0.00604073	-0.00332595	-0.00070688	0.07395072	0.06140688	0.07152986	-0.00265104	-0.01562332	0.00093803	0.05488447	0.05364098	0.06459881	-0.00674435	-0.01674219	-0.00281361	0.09089529	0.11163398	0.09528157	0.00034582	-0.00154809	0.00162740	0.06154699	0.09494531	0.08497010	-0.00262491	-0.00260920	0.00065595	0.03556598	0.07019486	0.06051078	0.00287161	-0.00253183	-0.00129941
0.116666	0.10047815	0.06656449	0.08221006	-0.00613751	-0.00278500	-0.00055600	0.07390670	0.06118511	0.07150421	-0.00345269	-0.01524341	0.00044804	0.05480070	0.05333830	0.06453732	-0.00729502	-0.02004631	-0.00556952	0.09088808	0.11160775	0.09532929	-0.00026696	-0.00189335	0.00131138	0.06149984	0.09484946	0.08496395	-0.00279064	-0.00179694	0.00034023	0.03564128	0.07020044	0.06049332	0.00264687	-0.00282114	-0.00205007
