Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10398670	0.06335287	0.07332083	-0.00297905	-0.00219417	-0.00058085	0.07552663	0.05874867	0.06258462	-0.00277211	-0.00630083	-0.00051324	0.05564608	0.05200667	0.05492369	0.00175386	-0.00075778	-0.00429556	0.09305207	0.10158423	0.09691200	0.00096295	-0.00050470	-0.00435313	0.06396568	0.08868989	0.08720194	0.00124578	-0.00644973	-0.00575742	0.03887643	0.06829904	0.05296699	0.00140213	-0.00504574	-0.00838030
0.033333	0.10392559	0.06331670	0.07331293	-0.00213549	-0.00197680	-0.00082791	0.07542977	0.05865799	0.06261444	-0.00171617	-0.00616028	-0.00045330	0.05568213	0.05201835	0.05485320	0.00122399	-0.00161816	-0.00493618	0.09304249	0.10158961	0.09685435	0.00114643	-0.00155613	-0.00434698	0.06399842	0.08857094	0.08709007	0.00138023	-0.00576186	-0.00565904	0.03889156	0.06820635	0.05283519	0.00165951	-0.00435436	-0.00737845
0.050000	0.10390135	0.06328627	0.07329197	-0.00129194	-0.00175942	-0.00107497	0.07545865	0.05853857	0.06255739	-0.00066024	-0.00601972	-0.00039335	0.05569429	0.05197581	0.05478764	0.00069412	-0.00247854	-0.00557680	0.09309120	0.10155902	0.09676709	0.00132990	-0.00260756	-0.00434084	0.06400892	0.08849901	0.08701695	0.00151467	-0.00507398	-0.00556065	0.03892364	0.06815703	0.05269274	0.00191689	-0.00366298	-0.00637661
0.066666	0.10388573	0.06324401	0.07328635	-0.00103835	-0.00183147	-0.00138242	0.07547238	0.05842674	0.06252328	-0.00062835	-0.00611991	-0.00054952	0.05569635	0.05190697	0.05468130	-0.00042943	-0.00237762	-0.00478067	0.09312870	0.10149869	0.09668508	0.00067029	-0.00193630	-0.00365307	0.06403054	0.08839899	0.08692137	-0.00093531	-0.00530077	-0.00439154	0.03896548	0.06807539	0.05259654	0.00152408	-0.00354858	-0.00598550
0.083333	0.10387818	0.06323502	0.07325408	-0.00028372	-0.00282162	-0.00127063	0.07545971	0.05834469	0.06256783	0.00132829	-0.00761205	-0.00170248	0.05571559	0.05185585	0.05454994	-0.00295232	-0.00417366	-0.00466641	0.09313694	0.10143021	0.09661698	0.00034683	-0.00308586	-0.00436442	0.06405487	0.08833031	0.08683619	-0.00697060	-0.00674947	-0.00216302	0.03900160	0.06803168	0.05251377	0.00148116	-0.00520298	-0.00543440
0.100000	0.10387207	0.06320930	0.07321822	0.00055257	-0.00375589	-0.00122451	0.07541118	0.05826179	0.06259196	0.00278537	-0.00956848	-0.00202586	0.05568191	0.05184669	0.05450093	-0.00534024	-0.00571641	-0.00547149	0.09311481	0.10140712	0.09658549	-0.00044823	-0.00548078	-0.00689777	0.06405031	0.08826561	0.08674893	-0.01364386	-0.00821970	-0.00043135	0.03901040	0.06800585	0.05244448	0.00142180	-0.00783253	-0.00551861
0.116666	0.10387637	0.06313488	0.07319382	0.00096411	-0.00414083	-0.00122682	0.07547761	0.05809322	0.06249577	0.00386866	-0.01120056	-0.00229540	0.05554359	0.05174499	0.05446595	-0.00723028	-0.00601858	-0.00612187	0.09309495	0.10140602	0.09653873	-0.00178684	-0.00814501	-0.00976678	0.06367319	0.08808351	0.08683503	-0.01761406	-0.00845130	0.00014339	0.03901727	0.06786625	0.05236008	0.00127575	-0.00949063	-0.00592061
