Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11832126	0.04758027	0.05716688	0.03558631	-0.01755254	0.01108155	0.08625282	0.04826500	0.05616371	0.01431087	-0.00723510	0.06736009	0.06771176	0.05291998	0.04924002	0.03415632	0.07053168	0.02368406	0.12154201	0.08573972	0.09201705	-0.00153021	0.00391842	-0.00243188	0.07926613	0.08130833	0.07205306	-0.02446840	0.00822458	-0.02539373	0.05303919	0.06885310	0.04180105	-0.00845907	0.01594401	0.00824421
0.016667	0.11891818	0.04722054	0.05737986	0.02729047	-0.01554369	0.01146694	0.08651686	0.04807735	0.05733983	0.01434116	-0.00562406	0.05450673	0.06828009	0.05414262	0.04966327	0.02930101	0.05292310	0.02059285	0.12148910	0.08579911	0.09197993	0.00095956	0.00438811	-0.00208610	0.07879744	0.08147779	0.07152973	-0.01701108	0.00300923	-0.01375532	0.05285757	0.06915809	0.04195568	-0.00344252	0.01021255	0.00630635
0.033333	0.11941009	0.04703714	0.05752456	0.01899462	-0.01353483	0.01185232	0.08671382	0.04805036	0.05822014	0.01437144	-0.00401301	0.04165336	0.06877454	0.05504934	0.04997585	0.02444571	0.03531451	0.01750165	0.12152430	0.08587869	0.09194113	0.00344933	0.00485780	-0.00174031	0.07853330	0.08152480	0.07133394	-0.00955377	-0.00220613	-0.00211690	0.05281590	0.06932579	0.04204654	0.00157403	0.00448109	0.00436848
0.050000	0.11969187	0.04683417	0.05773791	0.01429258	-0.01315057	0.01103823	0.08697434	0.04802071	0.05890412	0.01347327	-0.00577417	0.03198569	0.06921254	0.05557680	0.05027207	0.01918875	0.02573526	0.01432739	0.12160526	0.08596043	0.09191082	0.00402199	0.00529757	-0.00142757	0.07847228	0.08142874	0.07146370	-0.00838793	-0.00328281	-0.00067204	0.05289644	0.06932176	0.04212419	0.00220505	0.00412410	0.00350389
0.066666	0.11981332	0.04663863	0.05793633	0.00492008	-0.01045926	0.00864379	0.08719645	0.04797423	0.05927517	0.01123165	-0.00765204	0.01318618	0.06946333	0.05573161	0.05048098	0.00957001	0.00561603	0.00784223	0.12170928	0.08605201	0.09188864	0.00579028	0.00622986	-0.00117094	0.07842632	0.08130354	0.07159232	-0.00401845	-0.00647272	0.00579337	0.05301310	0.06930886	0.04212884	0.00504006	0.00104979	0.00192280
0.083333	0.11981197	0.04638173	0.05815250	-0.00404646	-0.00911034	0.00607309	0.08744293	0.04779065	0.05945270	0.00892266	-0.01173708	-0.00400962	0.06960084	0.05571458	0.05064600	-0.00041124	-0.01206397	0.00128577	0.12180153	0.08614922	0.09188538	0.00644072	0.00710650	-0.00105948	0.07838067	0.08116502	0.07171779	-0.00312318	-0.00755745	0.00670313	0.05311309	0.06930115	0.04216576	0.00664242	-0.00001140	0.00035720
0.100000	0.11972076	0.04626925	0.05819610	-0.01071051	-0.00710185	0.00320633	0.08754060	0.04757226	0.05919988	0.00637418	-0.01475772	-0.01719547	0.06949397	0.05544035	0.05057400	-0.00856030	-0.02560832	-0.00413125	0.12191724	0.08628276	0.09187199	0.00658079	0.00772893	-0.00084993	0.07832693	0.08104549	0.07181782	-0.00357365	-0.00822450	0.00580421	0.05318336	0.06935873	0.04216261	0.00797379	-0.00122503	-0.00081143
0.116666	0.11943179	0.04622458	0.05813953	-0.01535720	-0.00324087	0.00005627	0.08755589	0.04723532	0.05858099	0.00354787	-0.01461338	-0.02625304	0.06914184	0.05472650	0.05036524	-0.01418227	-0.03613432	-0.00818660	0.12203827	0.08643264	0.09185092	0.00650945	0.00789817	-0.00038780	0.07826234	0.08092017	0.07189741	-0.00373249	-0.00952423	0.00548015	0.05330757	0.06933685	0.04216001	0.00976024	-0.00391839	-0.00170356
