Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11609688	0.05141662	0.05974077	0.00069134	-0.00383483	0.00056548	0.08574328	0.05176047	0.05397557	0.00206550	-0.00581447	-0.00597671	0.06683524	0.05100185	0.04728312	0.00191451	-0.00768510	-0.01133104	0.11857554	0.08908259	0.09361340	-0.00148964	-0.00302823	-0.00345123	0.07520558	0.08121941	0.07387116	0.01181045	-0.01651122	-0.01140934	0.05410041	0.06596365	0.04107952	0.00796636	-0.00640887	-0.01477443
0.033333	0.11610192	0.05134792	0.05974593	0.00088401	-0.00338474	0.00084389	0.08576529	0.05165429	0.05385591	0.00204877	-0.00488745	-0.00428060	0.06685716	0.05085660	0.04707163	0.00094995	-0.00718500	-0.00885971	0.11855400	0.08903545	0.09355006	-0.00136927	-0.00299626	-0.00299067	0.07538135	0.08090854	0.07368610	0.01039919	-0.01365540	-0.01041595	0.05421703	0.06585843	0.04081760	0.00783420	-0.00545675	-0.01264790
0.050000	0.11612453	0.05129685	0.05976125	0.00107669	-0.00293465	0.00112230	0.08581678	0.05157912	0.05379821	0.00203204	-0.00396043	-0.00258449	0.06689472	0.05075423	0.04693655	-0.00001460	-0.00668489	-0.00638838	0.11852627	0.08898351	0.09350356	-0.00124891	-0.00296430	-0.00253012	0.07558696	0.08071064	0.07350295	0.00898793	-0.01079958	-0.00942256	0.05436671	0.06576432	0.04060567	0.00770205	-0.00450464	-0.01052136
0.066666	0.11614090	0.05124209	0.05979054	0.00087418	-0.00262241	0.00084695	0.08585262	0.05152220	0.05377639	0.00180342	-0.00354591	-0.00272478	0.06688461	0.05065541	0.04685963	-0.00041899	-0.00706336	-0.00592325	0.11850395	0.08892978	0.09346928	-0.00119973	-0.00272081	-0.00265469	0.07574029	0.08054205	0.07335269	0.00780064	-0.01064357	-0.00849370	0.05449924	0.06568661	0.04046519	0.00714798	-0.00372758	-0.01039759
0.083333	0.11616755	0.05121551	0.05980599	0.00053887	-0.00210178	0.00064709	0.08587987	0.05147170	0.05375835	0.00174594	-0.00256200	-0.00237663	0.06686280	0.05054365	0.04678807	-0.00105869	-0.00729785	-0.00427723	0.11848968	0.08888225	0.09343232	-0.00123967	-0.00233834	-0.00254971	0.07584691	0.08044051	0.07320689	0.00651906	-0.00932902	-0.00712148	0.05462434	0.06563579	0.04032166	0.00658377	-0.00265897	-0.00924129
0.100000	0.11617473	0.05117518	0.05981831	0.00009716	-0.00155563	0.00023816	0.08589572	0.05142636	0.05372537	0.00174907	-0.00187441	-0.00277809	0.06682151	0.05041213	0.04672532	-0.00140325	-0.00789195	-0.00344328	0.11847576	0.08884916	0.09338968	-0.00144482	-0.00186504	-0.00251462	0.07590356	0.08027504	0.07311437	0.00543675	-0.00868994	-0.00600158	0.05470757	0.06561178	0.04016772	0.00581326	-0.00172727	-0.00895886
0.116666	0.11616559	0.05115646	0.05980911	-0.00025712	-0.00109896	-0.00012875	0.08591679	0.05140746	0.05365547	0.00202232	-0.00126750	-0.00326590	0.06679837	0.05026907	0.04665994	-0.00147421	-0.00794233	-0.00285353	0.11845122	0.08881924	0.09333449	-0.00175864	-0.00144970	-0.00243248	0.07598278	0.08009482	0.07303584	0.00477822	-0.00805322	-0.00516204	0.05479931	0.06559446	0.04001082	0.00513103	-0.00080623	-0.00902392
