Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11625475	0.05342405	0.05885431	0.00207272	-0.00143458	-0.00082122	0.08624965	0.05602788	0.05699005	-0.03501385	-0.02221258	-0.02354870	0.06563000	0.05751782	0.05308760	0.00833593	-0.03478198	-0.03265228	0.11735664	0.09241682	0.09129351	0.03048391	0.00039797	-0.00378633	0.07161018	0.09745277	0.07502986	0.03217144	-0.08745798	-0.01695740	0.05519341	0.07271522	0.04337529	-0.02319196	-0.03796079	-0.02832687
0.016667	0.11629280	0.05348048	0.05888694	0.00018731	-0.00302499	-0.00347582	0.08549131	0.05570201	0.05664920	-0.02174498	-0.01852464	-0.02309324	0.06570804	0.05696782	0.05259125	0.00817652	-0.03000052	-0.03044107	0.11797186	0.09250803	0.09121152	0.02081045	-0.00643599	-0.00127249	0.07216734	0.09583597	0.07478252	0.02523633	-0.07119595	-0.01434094	0.05465242	0.07209649	0.04294189	-0.01377923	-0.03141975	-0.02541973
0.033333	0.11629838	0.05333506	0.05878707	-0.00169811	-0.00461539	-0.00613042	0.08525710	0.05531012	0.05619118	-0.00847611	-0.01483670	-0.02263779	0.06590799	0.05639637	0.05201501	0.00801712	-0.02521905	-0.02822986	0.11825611	0.09236696	0.09119490	0.01113699	-0.01326995	0.00124135	0.07259280	0.09472726	0.07450125	0.01830123	-0.05493391	-0.01172447	0.05454168	0.07152101	0.04244659	-0.00436650	-0.02487870	-0.02251260
0.050000	0.11626887	0.05321192	0.05863011	-0.00261211	-0.00423413	-0.00629379	0.08530461	0.05505962	0.05577060	-0.00708218	-0.01354260	-0.02145051	0.06608742	0.05596748	0.05150023	0.00579508	-0.02358750	-0.02609699	0.11829775	0.09196184	0.09125886	0.01051207	-0.01284336	0.00155979	0.07285413	0.09393657	0.07428916	0.01540831	-0.05394100	-0.00855047	0.05463435	0.07109106	0.04206854	-0.00457896	-0.02247398	-0.02048901
0.066666	0.11619019	0.05316459	0.05853383	-0.00367021	-0.00610600	-0.00752888	0.08532141	0.05495233	0.05550037	0.00098966	-0.01275669	-0.02041328	0.06617931	0.05573955	0.05117043	0.00461267	-0.02157399	-0.02439477	0.11836921	0.09175783	0.09129670	0.00594343	-0.01691441	0.00280828	0.07303248	0.09344532	0.07415635	0.01075779	-0.04723277	-0.00547586	0.05464863	0.07091569	0.04180754	0.00062764	-0.01966447	-0.01772072
0.083333	0.11609731	0.05314073	0.05840470	-0.00338664	-0.00689301	-0.00687855	0.08530750	0.05485085	0.05518181	0.00324563	-0.01265864	-0.01838623	0.06615601	0.05546312	0.05083838	0.00340586	-0.02008042	-0.02254886	0.11845152	0.09148974	0.09136694	0.00609028	-0.01697394	0.00255515	0.07310256	0.09261647	0.07418370	0.00908505	-0.04496682	-0.00381121	0.05458377	0.07069687	0.04157273	0.00171334	-0.01807634	-0.01532540
0.100000	0.11601837	0.05301780	0.05827637	-0.00205331	-0.00802584	-0.00636286	0.08534854	0.05460236	0.05488342	0.00439843	-0.01358414	-0.01742931	0.06616508	0.05508929	0.05048145	0.00336280	-0.01962996	-0.02190334	0.11858156	0.09122843	0.09140790	0.00693499	-0.01655783	0.00188497	0.07322466	0.09175134	0.07419867	0.00870499	-0.04435963	-0.00338548	0.05457836	0.07036297	0.04134165	0.00277893	-0.01779109	-0.01454074
0.116666	0.11599284	0.05279697	0.05818094	-0.00044108	-0.00928054	-0.00603816	0.08545086	0.05426389	0.05457292	0.00562927	-0.01461501	-0.01671991	0.06622475	0.05466529	0.05005747	0.00412861	-0.01899190	-0.02175953	0.11873230	0.09090510	0.09143495	0.00681306	-0.01679803	0.00129398	0.07339270	0.09085045	0.07413842	0.00869486	-0.04296421	-0.00369558	0.05464338	0.06994700	0.04108241	0.00468196	-0.01767091	-0.01454598
