Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.14273454	0.14781047	0.08342370	-0.00140802	-0.01373937	0.00532398	0.13200012	0.12769030	0.07883719	0.03145387	-0.02731260	-0.01859259	0.12404719	0.11160996	0.07112421	0.06088154	-0.04977295	-0.02715848	0.12799466	0.13538945	0.12778533	-0.01290572	-0.00269317	0.02053232	0.10373462	0.11338356	0.10751762	-0.00586668	-0.00811040	-0.00530990	0.10413525	0.10387404	0.07587442	0.02808202	0.02648726	-0.00220467	0.14391719	0.21282539	0.11420394	-0.00999425	-0.01067568	0.00379568
0.016667	0.14271924	0.14759293	0.08351061	-0.00457810	-0.01958423	0.00418918	0.13255315	0.12716438	0.07852673	0.02144077	-0.02329150	-0.01564852	0.12511295	0.11066081	0.07067213	0.04452753	-0.03928088	-0.02365539	0.12778626	0.13534933	0.12814082	-0.01260196	-0.01134177	0.01609242	0.10364778	0.11320554	0.10744481	-0.00738035	-0.01202975	-0.00481391	0.10461544	0.10423594	0.07587173	0.01939245	0.02056011	-0.00454435	0.14373869	0.21267582	0.11429074	-0.00856656	-0.01942821	0.00180513
0.033333	0.14265573	0.14728186	0.08358965	-0.00774819	-0.02542908	0.00305438	0.13292471	0.12681106	0.07826154	0.01142767	-0.01927041	-0.01270444	0.12587853	0.11005361	0.07027630	0.02817351	-0.02878882	-0.02015230	0.12757410	0.13520364	0.12841308	-0.01229820	-0.01999036	0.01165253	0.10352978	0.11305795	0.10735285	-0.00889402	-0.01594911	-0.00431793	0.10497025	0.10465830	0.07578397	0.01070288	0.01463296	-0.00688403	0.14360030	0.21238355	0.11430889	-0.00713888	-0.02818074	-0.00018541
0.050000	0.14250329	0.14684412	0.08363523	-0.00810224	-0.02763312	0.00245483	0.13305292	0.12659131	0.07806355	0.00694315	-0.02107934	-0.01004093	0.12623012	0.10973440	0.06994818	0.02135449	-0.02991237	-0.01629839	0.12735750	0.13486195	0.12858385	-0.01078722	-0.02334395	0.00903476	0.10335214	0.11284753	0.10726149	-0.00775646	-0.02046135	-0.00292556	0.10509142	0.10497128	0.07563075	0.00701821	0.00463000	-0.00574870	0.14350189	0.21186444	0.11427818	-0.00648427	-0.02976727	-0.00030633
0.066666	0.14229694	0.14625892	0.08365752	-0.00871706	-0.03046942	0.00134182	0.13304310	0.12631254	0.07788886	-0.00162140	-0.01792311	-0.00594495	0.12638839	0.10944422	0.06965768	0.00836718	-0.02374893	-0.01031753	0.12716047	0.13425258	0.12868558	-0.00841829	-0.02842452	0.00407884	0.10317877	0.11241825	0.10720900	-0.00612544	-0.02485535	-0.00175108	0.10509597	0.10505731	0.07545382	0.00078567	-0.00782903	-0.00612418	0.14340012	0.21113963	0.11423880	-0.00484968	-0.03282582	-0.00153613
0.083333	0.14210859	0.14566936	0.08366590	-0.00828538	-0.03000718	0.00008624	0.13290033	0.12590949	0.07784896	-0.00904176	-0.01233739	-0.00201498	0.12633677	0.10895681	0.06955472	-0.00039078	-0.01742102	-0.00413378	0.12702514	0.13368002	0.12871651	-0.00527518	-0.03101443	-0.00054427	0.10305424	0.11187916	0.10722270	-0.00282292	-0.02838712	-0.00064768	0.10497934	0.10470337	0.07539876	-0.00211061	-0.02103452	-0.00657114	0.14331560	0.21053027	0.11422869	-0.00368269	-0.03184942	-0.00200071
0.100000	0.14199959	0.14513487	0.08366761	-0.00800188	-0.02649191	-0.00110168	0.13273977	0.12553102	0.07787170	-0.01790814	-0.00330375	0.00344382	0.12628703	0.10845597	0.06957297	-0.00859018	-0.00768340	0.00346409	0.12698171	0.13315320	0.12867092	-0.00199721	-0.03061455	-0.00527384	0.10305788	0.11130403	0.10724968	0.00108026	-0.02952505	0.00048638	0.10490961	0.10411301	0.07536580	-0.00282490	-0.03323825	-0.00743731	0.14327708	0.21000995	0.11419851	-0.00280344	-0.02685438	-0.00168045
0.116666	0.14194456	0.14474104	0.08365247	-0.00878516	-0.02126829	-0.00157759	0.13247862	0.12553127	0.07793082	-0.02904494	0.00823382	0.01071677	0.12617739	0.10833083	0.06967030	-0.01841605	0.00724784	0.01196806	0.12699494	0.13272212	0.12856397	0.00014834	-0.02766411	-0.00974421	0.10313814	0.11084331	0.10725430	0.00374833	-0.02745967	0.00142735	0.10487960	0.10345636	0.07526353	-0.00325525	-0.04200918	-0.00855460	0.14324485	0.20967574	0.11416171	-0.00271403	-0.01903377	-0.00030656
