Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																										
0.016667	0.10739117	0.14693360	0.08620279	-0.00432903	-0.01117227	-0.00105214	0.09316505	0.12887301	0.07946130	0.00678389	-0.02517531	-0.00555044	0.08898333	0.11493071	0.06944746	0.01104814	-0.01925573	-0.00990939	0.07068218	0.14824343	0.12708457	-0.01183578	0.00527891	0.00014797	0.05754213	0.12031724	0.09697939	-0.01202694	-0.00157342	-0.00209880	0.06506997	0.10751705	0.06745193	-0.00237917	0.00799633	-0.00010513	0.11139762	0.21830358	0.11562238	-0.00475528	-0.00673610	-0.00444720
0.033333	0.10732524	0.14675975	0.08619377	-0.00305572	-0.01170744	-0.00138671	0.09326723	0.12848018	0.07937019	0.00679764	-0.02358789	-0.00565524	0.08915090	0.11465374	0.06928689	0.01068708	-0.01919329	-0.00992309	0.07048179	0.14834818	0.12707680	-0.01001585	0.00412257	0.00014797	0.05733302	0.12032160	0.09693521	-0.00914793	-0.00289389	-0.00149534	0.06503542	0.10764541	0.06744939	-0.00211717	0.00794742	-0.00067927	0.11131459	0.21820779	0.11554497	-0.00364625	-0.00701490	-0.00420572
0.050000	0.10726099	0.14656077	0.08616533	-0.00178241	-0.01224262	-0.00172128	0.09338832	0.12805864	0.07927783	0.00681138	-0.02200046	-0.00576003	0.08934809	0.11428659	0.06912112	0.01032602	-0.01913086	-0.00993680	0.07031296	0.14840917	0.12709212	-0.00819593	0.00296624	0.00014797	0.05717628	0.12024710	0.09691229	-0.00626892	-0.00421436	-0.00089188	0.06499510	0.10778477	0.06744471	-0.00185516	0.00789850	-0.00125342	0.11125445	0.21808122	0.11548317	-0.00253723	-0.00729370	-0.00396425
0.066666	0.10723341	0.14633003	0.08612590	-0.00089400	-0.01158995	-0.00154671	0.09351874	0.12765194	0.07917121	0.00629819	-0.01986437	-0.00581025	0.08953097	0.11393016	0.06894156	0.00984948	-0.01773573	-0.00945013	0.07017758	0.14843382	0.12709829	-0.00698707	0.00335903	-0.00002109	0.05708669	0.12014814	0.09691439	-0.00503522	-0.00368947	-0.00121635	0.06495658	0.10791637	0.06741520	-0.00123930	0.00781237	-0.00129086	0.11121655	0.21793157	0.11540922	-0.00192617	-0.00628042	-0.00359939
0.083333	0.10723578	0.14613265	0.08609504	0.00044882	-0.01146768	-0.00173838	0.09361885	0.12736994	0.07908345	0.00642678	-0.01822389	-0.00646847	0.08968454	0.11365349	0.06878643	0.00983141	-0.01716833	-0.00949766	0.07008709	0.14846963	0.12709567	-0.00513731	0.00315511	0.00001200	0.05704790	0.12006978	0.09690648	-0.00282060	-0.00397978	-0.00109893	0.06493993	0.10804615	0.06738521	-0.00024662	0.00792756	-0.00140284	0.11119723	0.21782464	0.11535119	-0.00085239	-0.00574174	-0.00323379
0.100000	0.10726959	0.14595705	0.08607945	0.00164990	-0.01114045	-0.00170913	0.09370061	0.12713574	0.07898571	0.00719308	-0.01691348	-0.00715814	0.08980921	0.11343212	0.06864263	0.00993658	-0.01599922	-0.01008000	0.07002473	0.14853288	0.12708117	-0.00378796	0.00340813	0.00016794	0.05703120	0.12002455	0.09687599	-0.00141746	-0.00377314	-0.00103064	0.06493998	0.10816894	0.06735130	0.00140571	0.00839456	-0.00091002	0.11119606	0.21775293	0.11530426	-0.00008315	-0.00501582	-0.00282974
0.116666	0.10730608	0.14579687	0.08605341	0.00252617	-0.01098659	-0.00171900	0.09379575	0.12689632	0.07886437	0.00862132	-0.01640401	-0.00787317	0.08997669	0.11318365	0.06850494	0.01063519	-0.01519347	-0.01113464	0.06998530	0.14861114	0.12708107	-0.00289929	0.00362547	0.00061848	0.05701898	0.11998797	0.09684274	-0.00066370	-0.00409117	-0.00095271	0.06496984	0.10830085	0.06733649	0.00351106	0.00907365	0.00004746	0.11120284	0.21770526	0.11526373	0.00046652	-0.00456365	-0.00229009
