Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																										
0.016667	0.13547294	0.15250196	0.08928461	-0.00666003	-0.01836285	-0.02809044	0.12590085	0.13096042	0.08324986	-0.02978657	-0.00741470	-0.05654152	0.11894725	0.11759167	0.07974245	-0.02633683	-0.01888938	-0.06370216	0.11656399	0.13715221	0.12802285	0.01874443	-0.03171427	-0.01885511	0.08864633	0.11141598	0.11075160	0.04751034	-0.08797878	-0.02979250	0.09764683	0.10759003	0.08050303	-0.00498796	-0.04000303	-0.03619172	0.13498725	0.22232112	0.11383896	0.00487970	-0.01777812	-0.00780507
0.033333	0.13543071	0.15220417	0.08897597	-0.00510560	-0.01461229	-0.04066513	0.12551118	0.13082749	0.08255434	-0.02127939	-0.00229553	-0.07205850	0.11859189	0.11732861	0.07893316	-0.01368647	-0.00807147	-0.08174153	0.11689030	0.13668440	0.12783881	0.02085537	-0.02701353	-0.03206683	0.08939686	0.11014928	0.11044110	0.05398637	-0.07473089	-0.05245326	0.09759821	0.10706008	0.08008393	0.00681463	-0.03225190	-0.05371726	0.13508090	0.22204116	0.11377741	0.00572073	-0.01757435	-0.01230267
0.050000	0.13527058	0.15192571	0.08823474	-0.00355118	-0.01086172	-0.05323982	0.12500770	0.13074507	0.08122612	-0.01277221	0.00282363	-0.08757547	0.11821012	0.11706255	0.07745216	-0.00103612	0.00274644	-0.09978091	0.11721925	0.13613816	0.12727301	0.02296632	-0.02231279	-0.04527855	0.09030019	0.10862590	0.10954448	0.06046240	-0.06148299	-0.07511403	0.09762371	0.10632598	0.07913738	0.01861721	-0.02450077	-0.07124280	0.13516131	0.22172444	0.11353853	0.00656175	-0.01737057	-0.01680027
0.066666	0.13514675	0.15175807	0.08713210	0.00073068	-0.00976596	-0.04767288	0.12469016	0.13085738	0.07945309	-0.00335046	0.00139937	-0.07870403	0.11812412	0.11710665	0.07547165	0.00847302	0.00727194	-0.09194067	0.11758947	0.13571538	0.12633280	0.02489502	-0.01872696	-0.04183044	0.09136957	0.10739668	0.10800956	0.06181045	-0.04809547	-0.07209866	0.09790959	0.10580850	0.07770143	0.02656616	-0.01720577	-0.06632559	0.13526991	0.22141902	0.11318004	0.00763956	-0.01699477	-0.01328138
0.083333	0.13519274	0.15168452	0.08601811	0.00457095	-0.00799197	-0.04352341	0.12484786	0.13102911	0.07775620	0.00694248	0.00062935	-0.07245625	0.11858180	0.11752365	0.07348932	0.01955845	0.01284358	-0.08726221	0.11803282	0.13556865	0.12530231	0.02650435	-0.01544802	-0.03996932	0.09251639	0.10703698	0.10626908	0.06491925	-0.03527119	-0.07337976	0.09859157	0.10579026	0.07613654	0.03670338	-0.01101513	-0.06413880	0.13539037	0.22117083	0.11280946	0.00848140	-0.01665196	-0.00873871
0.100000	0.13538089	0.15161563	0.08530810	0.00845540	-0.00708106	-0.03031493	0.12520179	0.13109623	0.07664483	0.01631095	-0.00070930	-0.05489568	0.11917143	0.11794320	0.07211371	0.02812117	0.01640907	-0.07011601	0.11854640	0.13544150	0.12461611	0.02654354	-0.01206172	-0.02923962	0.09362786	0.10686437	0.10498203	0.06487175	-0.02127704	-0.06200427	0.09941720	0.10587922	0.07507915	0.04340640	-0.00451853	-0.05134334	0.13557741	0.22089797	0.11265991	0.00798176	-0.01551560	0.00006594
0.116666	0.13564166	0.15146786	0.08505096	0.01031380	-0.00637333	-0.01392690	0.12566853	0.13092028	0.07608305	0.02090067	-0.00090339	-0.03395530	0.11979635	0.11818809	0.07127561	0.03132039	0.01696020	-0.04813683	0.11904444	0.13526472	0.12430999	0.02414586	-0.00876169	-0.01459414	0.09473087	0.10667545	0.10420772	0.06081869	-0.00965472	-0.04394723	0.10028066	0.10587821	0.07448573	0.04464189	-0.00009827	-0.03376910	0.13575529	0.22063430	0.11279792	0.00591631	-0.01312939	0.00891689
