Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.13518488	0.15310217	0.08790759	0.00901546	-0.02536948	0.01615575	0.12606589	0.13173655	0.08471955	0.00236080	-0.02023020	0.01048692	0.11826763	0.11685417	0.08199050	0.00954222	-0.01084045	0.00559988	0.11242440	0.14319542	0.12625760	0.01273082	-0.04477295	0.00799972	0.08472268	0.11792343	0.11017814	0.01620340	-0.03104740	-0.00301668	0.09513678	0.11180649	0.08114926	0.01875300	-0.01521143	-0.00631327	0.13311827	0.22659619	0.10680861	0.02511042	-0.01348724	0.03134535
0.016667	0.13527478	0.15277658	0.08816598	0.01097922	-0.02399871	0.00938822	0.12603723	0.13151145	0.08490191	0.00590312	-0.01990341	0.00217662	0.11835592	0.11680681	0.08209582	0.01238247	-0.01262655	-0.00329712	0.11251951	0.14262553	0.12637831	0.01643150	-0.04567731	0.00424059	0.08489886	0.11754168	0.11012907	0.02101631	-0.03387934	-0.00744629	0.09539557	0.11167186	0.08104165	0.02044075	-0.01553162	-0.01054269	0.13343181	0.22655350	0.10724791	0.02447391	-0.01589170	0.02948698
0.033333	0.13550101	0.15229885	0.08835756	0.01294298	-0.02262795	0.00262068	0.12618048	0.13108902	0.08496175	0.00944544	-0.01957663	-0.00613368	0.11860570	0.11649239	0.08206656	0.01522271	-0.01441265	-0.01219412	0.11287663	0.14173599	0.12647426	0.02013218	-0.04658166	0.00048146	0.08530007	0.11689230	0.11001983	0.02582922	-0.03671128	-0.01187590	0.09576672	0.11131859	0.08089539	0.02212850	-0.01585181	-0.01477210	0.13392667	0.22614475	0.10780624	0.02383741	-0.01829617	0.02762861
0.050000	0.13580017	0.15178539	0.08841419	0.01118039	-0.01606918	-0.00153211	0.12642494	0.13062990	0.08483928	0.00830959	-0.01308662	-0.01027853	0.11896254	0.11610405	0.08183244	0.01298295	-0.00845231	-0.01602336	0.11336202	0.14070989	0.12649016	0.01591711	-0.03580271	-0.00218988	0.08586846	0.11608966	0.10980884	0.02262985	-0.02890978	-0.01422415	0.09621877	0.11090405	0.08061143	0.01946103	-0.00960358	-0.01589997	0.13446653	0.22562262	0.10840452	0.01785799	-0.01073380	0.02138307
0.066666	0.13599341	0.15154809	0.08825734	0.01036030	-0.00987325	-0.00663790	0.12660478	0.13039863	0.08453802	0.00885840	-0.00784020	-0.01578684	0.11921015	0.11590904	0.08141768	0.01228527	-0.00492750	-0.02111887	0.11367804	0.14009741	0.12639444	0.01397150	-0.02656046	-0.00492545	0.08632604	0.11552352	0.10951380	0.02155234	-0.02242488	-0.01687507	0.09657282	0.11074287	0.08029145	0.01730866	-0.00535673	-0.01726910	0.13472706	0.22541523	0.10869024	0.01317700	-0.00670354	0.01596003
0.083333	0.13611175	0.15155838	0.08801406	0.00705491	-0.00195854	-0.00908758	0.12670407	0.13046414	0.08412809	0.00649321	-0.00116237	-0.01735240	0.11934723	0.11603256	0.08091552	0.00881515	0.00065141	-0.02181300	0.11379080	0.13990673	0.12621695	0.00848982	-0.01352330	-0.00567424	0.08661576	0.11531921	0.10913856	0.01713737	-0.01265892	-0.01666165	0.09680781	0.11084962	0.07990785	0.01299703	0.00052002	-0.01612808	0.13477200	0.22557443	0.10880294	0.00666219	0.00084572	0.00968173
0.100000	0.13621493	0.15165173	0.08779910	0.00401744	0.00293286	-0.00843286	0.12679955	0.13059539	0.08377401	0.00349963	0.00307926	-0.01592177	0.11945197	0.11619277	0.08049975	0.00496486	0.00415793	-0.01956836	0.11382423	0.13995425	0.12606154	0.00363929	-0.00378752	-0.00461975	0.08679265	0.11533577	0.10880559	0.01313163	-0.00530372	-0.01444230	0.09696169	0.11100608	0.07964364	0.00895213	0.00397118	-0.01337467	0.13476375	0.22574562	0.10882206	0.00211381	0.00597680	0.00610570
0.116666	0.13623682	0.15180573	0.08768278	0.00292317	0.00239150	-0.00572568	0.12683375	0.13071929	0.08354974	0.00204542	0.00208014	-0.01292834	0.11949974	0.11631784	0.08024421	0.00300111	0.00273337	-0.01615885	0.11383095	0.14005008	0.12601832	0.00237786	-0.00148103	-0.00236780	0.08693191	0.11542253	0.10859817	0.01231355	-0.00397687	-0.01108621	0.09704043	0.11111509	0.07947415	0.00709417	0.00274425	-0.01024403	0.13475996	0.22589608	0.10888314	0.00154429	0.00526050	0.00612511
