Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12134320	0.01997961	0.09104133	0.00873707	-0.00107626	0.00558438	0.10539414	-0.00781349	0.08603035	0.00984393	-0.00249116	0.00405704	0.09478214	-0.02068455	0.07465588	-0.00725306	-0.00289188	0.00081256	0.09616700	0.01341932	0.13565490	0.00090909	-0.00714287	0.00058830	0.07476853	-0.01729744	0.11304253	0.01554849	-0.00429477	-0.00105303	0.07140503	-0.03660247	0.07850051	0.00442350	-0.00708601	0.00279431	0.11538212	0.11082974	0.11749764	0.00275378	-0.00112243	0.00995294
0.016667	0.12149311	0.01996857	0.09114930	0.00710274	0.00069956	0.00408480	0.10556114	-0.00785969	0.08609990	0.00858802	-0.00051845	0.00251212	0.09464506	-0.02072992	0.07466667	-0.00512796	-0.00292446	0.00031740	0.09618399	0.01329437	0.13566373	0.00014260	-0.00667755	0.00033975	0.07502404	-0.01737400	0.11303205	0.01391804	-0.00288020	-0.00190840	0.07149314	-0.03671052	0.07855244	0.00378439	-0.00596414	0.00150316	0.11543562	0.11081271	0.11767233	0.00075616	-0.00124231	0.00942085
0.033333	0.12161373	0.01995919	0.09121383	0.00546841	0.00247537	0.00258521	0.10570607	-0.00787672	0.08615056	0.00733211	0.00145426	0.00096720	0.09455959	-0.02078152	0.07467804	-0.00300286	-0.00295704	-0.00017777	0.09618940	0.01318524	0.13567248	-0.00062388	-0.00621224	0.00009120	0.07526459	-0.01742486	0.11299851	0.01228758	-0.00146563	-0.00276377	0.07154109	-0.03682672	0.07857982	0.00314527	-0.00484226	0.00021201	0.11545282	0.11079182	0.11782137	-0.00124146	-0.00136220	0.00888876
0.050000	0.12170462	0.02001080	0.09123027	0.00499772	0.00322103	0.00319747	0.10582797	-0.00784182	0.08615332	0.00713992	0.00179823	0.00086826	0.09453959	-0.02083438	0.07467022	-0.00326184	-0.00263210	-0.00029221	0.09617653	0.01309590	0.13566966	-0.00073303	-0.00632541	0.00007905	0.07547046	-0.01743967	0.11293979	0.01118385	-0.00119695	-0.00279282	0.07158288	-0.03691300	0.07856848	0.00332394	-0.00403981	-0.00004169	0.11542003	0.11077094	0.11795450	-0.00169364	-0.00102152	0.00931211
0.066666	0.12174511	0.02009648	0.09125271	0.00463029	0.00440081	0.00367013	0.10591266	-0.00776212	0.08613628	0.00725939	0.00246015	0.00092127	0.09452967	-0.02087979	0.07466148	-0.00273013	-0.00187079	-0.00032265	0.09614183	0.01298885	0.13567029	-0.00088562	-0.00605136	0.00033528	0.07563467	-0.01743123	0.11288171	0.01004294	-0.00060587	-0.00306507	0.07163371	-0.03695365	0.07855180	0.00363690	-0.00315680	-0.00049867	0.11534601	0.11073644	0.11811251	-0.00254025	-0.00011422	0.00995532
0.083333	0.12179676	0.02020235	0.09130348	0.00519166	0.00522861	0.00497090	0.10600675	-0.00770085	0.08612041	0.00827621	0.00272580	0.00178576	0.09448843	-0.02091826	0.07463674	-0.00268054	-0.00056486	-0.00002291	0.09611890	0.01288727	0.13566343	-0.00062041	-0.00584016	0.00107266	0.07576081	-0.01742518	0.11282616	0.00978649	-0.00034674	-0.00271336	0.07169009	-0.03697594	0.07852574	0.00468826	-0.00238181	-0.00022832	0.11528818	0.11072959	0.11826067	-0.00255075	0.00128896	0.01128924
0.100000	0.12188055	0.02028811	0.09142484	0.00629007	0.00563310	0.00592286	0.10615067	-0.00767117	0.08616381	0.00984132	0.00314698	0.00253451	0.09440459	-0.02092293	0.07464083	-0.00225072	0.00104247	0.00024095	0.09611217	0.01277896	0.13567601	0.00037193	-0.00518211	0.00176185	0.07589901	-0.01744280	0.11278167	0.01015570	-0.00007111	-0.00223470	0.07176924	-0.03700976	0.07852066	0.00586590	-0.00160339	0.00006869	0.11524551	0.11075740	0.11847022	-0.00193694	0.00287888	0.01219672
0.116666	0.12202011	0.02036511	0.09156674	0.00743738	0.00574421	0.00577050	0.10634845	-0.00766282	0.08625792	0.01152896	0.00405509	0.00249946	0.09433749	-0.02088644	0.07465731	-0.00065420	0.00272853	0.00007980	0.09612494	0.01269298	0.13572700	0.00198182	-0.00403535	0.00204899	0.07608430	-0.01746365	0.11275142	0.01077973	0.00025876	-0.00200496	0.07188807	-0.03705576	0.07854384	0.00714908	-0.00065489	-0.00009168	0.11523876	0.11084087	0.11869699	-0.00109077	0.00425605	0.01227991
