Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12271857	0.01255433	0.09192218	0.01102299	-0.01636420	0.02044228	0.10680072	-0.01192938	0.08354462	-0.00317608	-0.01539382	0.00352857	0.09876998	-0.02287447	0.07027987	-0.00183073	-0.00713758	-0.00314673	0.10140926	0.00235049	0.13224734	0.01377808	-0.02385700	0.01537284	0.08334649	-0.03004642	0.10796078	0.02309518	-0.03271262	-0.00475490	0.07515828	-0.03341659	0.07260750	0.01023248	-0.01928108	0.00191667	0.11774407	0.09844343	0.12789065	0.00169419	-0.00854905	0.02471718
0.016667	0.12294481	0.01230963	0.09221734	0.01031805	-0.01521998	0.01940899	0.10676453	-0.01219566	0.08357413	-0.00402780	-0.01561211	0.00564361	0.09873199	-0.02300862	0.07021081	-0.00416146	-0.01102471	0.00062719	0.10167114	0.00198980	0.13246389	0.00758040	-0.02210111	0.01598692	0.08373348	-0.03063387	0.10787938	0.01309437	-0.03180392	0.00075169	0.07530840	-0.03374799	0.07263572	0.00552716	-0.02211825	0.00520395	0.11780161	0.09831879	0.12825072	-0.00043474	-0.00899683	0.02353827
0.033333	0.12307175	0.01203045	0.09257339	0.00961311	-0.01407575	0.01837570	0.10668014	-0.01244549	0.08368731	-0.00487952	-0.01583040	0.00775866	0.09867015	-0.02316954	0.07022700	-0.00649220	-0.01491183	0.00440111	0.10178921	0.00158522	0.13275880	0.00138272	-0.02034521	0.01660100	0.08397043	-0.03111734	0.10787525	0.00309357	-0.03089521	0.00625829	0.07542712	-0.03409642	0.07271725	0.00082184	-0.02495543	0.00849124	0.11777627	0.09815963	0.12867424	-0.00256368	-0.00944462	0.02235935
0.050000	0.12317182	0.01176108	0.09294197	0.00964031	-0.01174661	0.01415549	0.10658599	-0.01269271	0.08385035	-0.00469757	-0.01611581	0.00733300	0.09858759	-0.02338691	0.07031044	-0.00811554	-0.01741881	0.00561470	0.10175647	0.00120983	0.13308714	-0.00113246	-0.01669947	0.01418045	0.08402687	-0.03155927	0.10797894	-0.00371432	-0.02943556	0.00860311	0.07546296	-0.03448973	0.07285574	-0.00316468	-0.02573640	0.00969146	0.11768304	0.09797304	0.12912439	-0.00281242	-0.00838305	0.01709557
0.066666	0.12340557	0.01157949	0.09319084	0.00783324	-0.00928471	0.00974752	0.10650091	-0.01298564	0.08400726	-0.00494739	-0.01584897	0.00775590	0.09839659	-0.02377024	0.07047575	-0.00972018	-0.01960103	0.00771883	0.10168362	0.00093363	0.13334404	-0.00591627	-0.01232371	0.01195584	0.08383758	-0.03217582	0.10823481	-0.01312827	-0.02474366	0.01178545	0.07535587	-0.03501856	0.07308861	-0.00767152	-0.02536433	0.01092598	0.11764289	0.09782280	0.12943630	-0.00426302	-0.00740971	0.01145464
0.083333	0.12357744	0.01148967	0.09325922	0.00637046	-0.00635323	0.00495246	0.10641821	-0.01326952	0.08413253	-0.00513954	-0.01520620	0.00761832	0.09816684	-0.02420710	0.07065364	-0.01125254	-0.02047934	0.00913214	0.10151856	0.00080878	0.13349906	-0.00870309	-0.00713721	0.00882994	0.08342588	-0.03263833	0.10853528	-0.02060950	-0.01968142	0.01392321	0.07508653	-0.03552745	0.07334091	-0.01112920	-0.02304868	0.01115047	0.11757596	0.09772010	0.12951230	-0.00427158	-0.00556512	0.00438796
0.100000	0.12365553	0.01142388	0.09322646	0.00329909	-0.00342479	0.00150432	0.10635743	-0.01352838	0.08421864	-0.00630329	-0.01375620	0.00834941	0.09798489	-0.02456427	0.07078344	-0.01323780	-0.01998018	0.01114462	0.10133957	0.00077138	0.13356952	-0.01172130	-0.00172409	0.00654789	0.08299303	-0.03287489	0.10874530	-0.02762619	-0.01211192	0.01592080	0.07484648	-0.03589004	0.07350988	-0.01409290	-0.01860535	0.01115896	0.11748409	0.09764982	0.12945519	-0.00439895	-0.00303475	-0.00299053
0.116666	0.12366460	0.01137991	0.09318344	-0.00066366	0.00007298	0.00037570	0.10626020	-0.01374188	0.08432759	-0.00829707	-0.01091397	0.01013350	0.09779795	-0.02484672	0.07092946	-0.01512600	-0.01745917	0.01399213	0.10117196	0.00077060	0.13362877	-0.01530366	0.00405452	0.00596093	0.08255989	-0.03297559	0.10895192	-0.03404120	-0.00224656	0.01792486	0.07463334	-0.03612964	0.07364126	-0.01664306	-0.01243984	0.01136121	0.11741110	0.09761505	0.12934551	-0.00526937	0.00065230	-0.00887241
