Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11853693	0.01178792	0.09216336	-0.00348323	0.00124373	-0.00213073	0.10279238	-0.01288769	0.08125690	0.00062198	0.00105362	-0.00683549	0.09549594	-0.02494784	0.06761874	-0.00287266	0.00155567	-0.00751599	0.09186767	0.00551746	0.13341239	-0.00668208	0.00865959	-0.00108295	0.07593267	-0.02720889	0.10748007	-0.00298158	0.00583508	-0.00745840	0.07139082	-0.03466070	0.07124878	-0.00089787	-0.00085915	-0.00548533	0.11523612	0.10095243	0.12350241	-0.00873301	0.00595356	-0.00334529
0.016667	0.11846263	0.01180956	0.09212849	-0.00368135	0.00103176	-0.00201457	0.10279586	-0.01287018	0.08113269	0.00072956	0.00068031	-0.00708262	0.09543541	-0.02491900	0.06748208	-0.00230157	0.00188599	-0.00842418	0.09173351	0.00567135	0.13339411	-0.00663693	0.00797096	-0.00056952	0.07587163	-0.02710023	0.10734842	-0.00209325	0.00550341	-0.00736001	0.07137559	-0.03467365	0.07115151	0.00009343	-0.00116967	-0.00595989	0.11508144	0.10104871	0.12343981	-0.00914011	0.00505263	-0.00230067
0.033333	0.11841351	0.01182651	0.09209626	-0.00387946	0.00081979	-0.00189842	0.10281051	-0.01285649	0.08102778	0.00083715	0.00030699	-0.00732976	0.09540689	-0.02488725	0.06735644	-0.00173048	0.00221631	-0.00933237	0.09163870	0.00580006	0.13338500	-0.00659178	0.00728232	-0.00005610	0.07584183	-0.02701550	0.10723119	-0.00120491	0.00517175	-0.00726163	0.07136799	-0.03469422	0.07106112	0.00108473	-0.00148019	-0.00643446	0.11493738	0.10113789	0.12340607	-0.00954721	0.00415170	-0.00125606
0.050000	0.11836651	0.01183708	0.09206375	-0.00518589	0.00061948	-0.00142810	0.10283309	-0.01285605	0.08091961	0.00006106	0.00017355	-0.00735275	0.09539168	-0.02486030	0.06721775	-0.00217033	0.00290713	-0.01010858	0.09156092	0.00589915	0.13338017	-0.00834926	0.00755891	0.00040122	0.07583518	-0.02694696	0.10711949	-0.00176505	0.00554950	-0.00745922	0.07139651	-0.03471874	0.07096002	0.00102103	-0.00160805	-0.00671274	0.11479259	0.10120805	0.12339511	-0.01043696	0.00342266	-0.00075911
0.066666	0.11829153	0.01185050	0.09202919	-0.00632486	0.00025774	-0.00083339	0.10285165	-0.01285464	0.08076705	-0.00074901	0.00002041	-0.00669091	0.09536618	-0.02481049	0.06701466	-0.00237406	0.00373131	-0.01038682	0.09143140	0.00602777	0.13339539	-0.00973623	0.00746402	0.00100255	0.07583319	-0.02685564	0.10699449	-0.00230339	0.00544943	-0.00725101	0.07143871	-0.03475112	0.07082919	0.00113879	-0.00170686	-0.00670614	0.11460973	0.10125715	0.12338517	-0.01115721	0.00246995	0.00021987
0.083333	0.11815149	0.01185288	0.09202052	-0.00720932	0.00015369	-0.00042953	0.10282763	-0.01286355	0.08063345	-0.00137035	0.00028339	-0.00606051	0.09532101	-0.02473567	0.06680680	-0.00276686	0.00471943	-0.01027536	0.09123272	0.00614987	0.13342075	-0.01143985	0.00810709	0.00109509	0.07579689	-0.02674688	0.10685708	-0.00317027	0.00572395	-0.00705182	0.07147074	-0.03478587	0.07069976	0.00118845	-0.00152188	-0.00660076	0.11440288	0.10127502	0.12340114	-0.01179551	0.00194252	0.00066337
0.100000	0.11798530	0.01184518	0.09203637	-0.00754370	0.00025992	-0.00013899	0.10276837	-0.01286389	0.08054599	-0.00160017	0.00092232	-0.00531057	0.09525052	-0.02464237	0.06662160	-0.00309413	0.00570206	-0.00964124	0.09097932	0.00629543	0.13345385	-0.01282991	0.00897752	0.00050396	0.07570902	-0.02664460	0.10673603	-0.00396164	0.00618714	-0.00698659	0.07146671	-0.03481452	0.07058871	0.00121400	-0.00114685	-0.00636319	0.11417789	0.10129342	0.12342193	-0.01196639	0.00160348	0.00099641
0.116666	0.11784390	0.01183957	0.09204549	-0.00735427	0.00050799	0.00000566	0.10271811	-0.01284930	0.08050095	-0.00130315	0.00177024	-0.00447126	0.09519271	-0.02453813	0.06649712	-0.00291073	0.00634263	-0.00872809	0.09076501	0.00643558	0.13347986	-0.01329587	0.00934277	-0.00051335	0.07561356	-0.02655531	0.10663544	-0.00406047	0.00685834	-0.00710311	0.07146545	-0.03483099	0.07050958	0.00162408	-0.00059109	-0.00611058	0.11398490	0.10131397	0.12344981	-0.01166710	0.00137479	0.00107341
