Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11057591	0.05300074	0.11618000	-0.00683623	0.00752243	0.00203700	0.10132322	0.02014367	0.10455737	-0.00603089	0.01030043	0.00206781	0.09529190	-0.00287708	0.09190523	0.00985540	0.00220456	0.00759843	0.07132785	0.06244338	0.13544361	0.01027662	0.00823970	0.00131891	0.05339931	0.02361728	0.11989912	0.02767883	0.00322406	0.00798113	0.06989187	0.00285836	0.09291518	-0.00268554	-0.01731362	0.01330005
0.016667	0.11045426	0.05313367	0.11622619	-0.00832650	0.00506414	0.00077471	0.10125338	0.02031040	0.10459846	-0.00790539	0.00847660	0.00109569	0.09547947	-0.00283415	0.09201663	0.01368334	0.00142195	0.00995081	0.07146686	0.06258075	0.13545929	0.01025010	0.00489617	0.00026196	0.05385236	0.02367093	0.11998293	0.02593561	0.00062714	0.00822458	0.06985836	0.00257844	0.09310368	-0.00300811	-0.01908135	0.01307157
0.033333	0.11032935	0.05321817	0.11623365	-0.00981678	0.00260585	-0.00048757	0.10110285	0.02046371	0.10461642	-0.00977989	0.00665276	0.00012357	0.09564178	-0.00281139	0.09217834	0.01751128	0.00063935	0.01230319	0.07166674	0.06267404	0.13547465	0.01022358	0.00155263	-0.00079498	0.05430024	0.02369280	0.12015825	0.02419239	-0.00196978	0.00846803	0.06979582	0.00226685	0.09334778	-0.00333068	-0.02084908	0.01284310
0.050000	0.11016098	0.05325622	0.11620744	-0.01102549	0.00154284	-0.00059005	0.10089310	0.02058451	0.10460794	-0.01000069	0.00576166	-0.00006154	0.09598029	-0.00280808	0.09242617	0.01698262	0.00105153	0.01226825	0.07190593	0.06268696	0.13547525	0.00935741	-0.00048153	-0.00108287	0.05474528	0.02365452	0.12038182	0.02373101	-0.00342095	0.00673617	0.06973839	0.00189161	0.09361099	-0.00410413	-0.02092298	0.01157978
0.066666	0.10997131	0.05323895	0.11618183	-0.01255435	0.00007656	-0.00117559	0.10072599	0.02062882	0.10458929	-0.01231400	0.00501974	-0.00038237	0.09634662	-0.00281769	0.09265827	0.01462037	0.00188188	0.01316966	0.07198019	0.06264778	0.13540889	0.00935860	-0.00330509	-0.00094287	0.05502198	0.02355538	0.12044422	0.02320493	-0.00569433	0.00702406	0.06967357	0.00151635	0.09377681	-0.00725883	-0.02233066	0.01186025
0.083333	0.10971934	0.05320372	0.11615974	-0.01312291	-0.00041390	-0.00055660	0.10055672	0.02067125	0.10457892	-0.01417661	0.00463878	0.00036359	0.09672711	-0.00279990	0.09288970	0.00849366	0.00329490	0.01292465	0.07210386	0.06252572	0.13536286	0.00750511	-0.00456884	-0.00052735	0.05539180	0.02342209	0.12047455	0.02107917	-0.00728063	0.00634870	0.06960531	0.00114335	0.09389465	-0.01304743	-0.02447904	0.01233855
0.100000	0.10947026	0.05318570	0.11614446	-0.01250268	-0.00048675	0.00098519	0.10031397	0.02074974	0.10456904	-0.01575700	0.00416232	0.00194986	0.09681257	-0.00272242	0.09308722	0.00025213	0.00442554	0.01205185	0.07226183	0.06240933	0.13537170	0.00567114	-0.00479642	0.00010788	0.05581267	0.02328371	0.12056579	0.01881575	-0.00762856	0.00588699	0.06940111	0.00078002	0.09408541	-0.01969740	-0.02710994	0.01361480
0.116666	0.10924476	0.05320033	0.11614697	-0.01032852	-0.00074286	0.00267324	0.09999570	0.02086902	0.10460722	-0.01648474	0.00322324	0.00347776	0.09665247	-0.00259655	0.09327793	-0.00736970	0.00459881	0.01085852	0.07239421	0.06232947	0.13541299	0.00499392	-0.00452898	0.00070177	0.05617305	0.02314762	0.12073106	0.01702802	-0.00701577	0.00626019	0.06897855	0.00032349	0.09435316	-0.02423553	-0.02910536	0.01543126
