Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.10814046	0.05790248	0.11947647	-0.02775025	0.01129868	0.00051119	0.09730071	0.02892390	0.10863565	0.01235859	-0.00806774	-0.00684961	0.09754710	0.00542764	0.09939387	0.02793632	-0.00427217	-0.01484080	0.07128043	0.06459310	0.13259432	-0.02468510	0.03617346	0.01619398	0.06383891	0.02535537	0.11709157	-0.04372420	0.03051049	-0.01061809	0.06759861	0.00013414	0.09762286	0.00040189	0.07596970	-0.02117929
0.016667	0.10772274	0.05809087	0.11949756	-0.02533915	0.00888709	-0.00060730	0.09754968	0.02878502	0.10850649	0.01194616	-0.00850951	-0.00626097	0.09807746	0.00533110	0.09912892	0.02724755	-0.00290394	-0.01417955	0.07087041	0.06516439	0.13284951	-0.02220386	0.03433621	0.01551396	0.06310309	0.02583171	0.11689050	-0.03404854	0.02848182	-0.00514159	0.06765770	0.00138927	0.09717780	0.00580209	0.07095314	-0.01241175
0.033333	0.10724200	0.05825226	0.11947992	-0.02292806	0.00647549	-0.00172578	0.09771513	0.02864385	0.10841190	0.01153373	-0.00895127	-0.00567234	0.09848113	0.00528771	0.09891410	0.02655878	-0.00153571	-0.01351831	0.07049680	0.06576539	0.13312012	-0.01972262	0.03249896	0.01483394	0.06249864	0.02633391	0.11679389	-0.02437288	0.02645315	0.00033490	0.06768362	0.00259708	0.09700574	0.01120229	0.06593658	-0.00364420
0.050000	0.10687744	0.05833842	0.11944802	-0.02008029	0.00473507	-0.00177835	0.09787291	0.02849893	0.10833653	0.01309039	-0.01013448	-0.00612034	0.09885198	0.00530557	0.09869777	0.02859775	-0.00344260	-0.01282518	0.07015470	0.06635150	0.13338801	-0.01780997	0.02889905	0.01310450	0.06210793	0.02681396	0.11684401	-0.02072123	0.02254734	0.00082404	0.06781475	0.00369298	0.09707151	0.01530050	0.06056833	-0.00482841
0.066666	0.10649645	0.05840957	0.11937919	-0.01641447	0.00131093	-0.00240863	0.09805613	0.02834954	0.10824421	0.01277597	-0.01110240	-0.00585894	0.09931906	0.00530218	0.09847140	0.02679083	-0.00473677	-0.01114600	0.06989918	0.06681379	0.13360529	-0.01529297	0.02450692	0.01085278	0.06197124	0.02718885	0.11698099	-0.01603060	0.01792361	0.00222352	0.06820542	0.00468272	0.09716780	0.01680463	0.05095289	-0.00264783
0.083333	0.10635993	0.05840730	0.11935187	-0.01326551	-0.00178800	-0.00325700	0.09837381	0.02813730	0.10812543	0.01122997	-0.01108959	-0.00597945	0.09991964	0.00519370	0.09826604	0.02297753	-0.00660120	-0.01004212	0.06969396	0.06715318	0.13375886	-0.01327259	0.01938127	0.00800330	0.06186545	0.02740039	0.11706909	-0.01461994	0.01316978	0.00134111	0.06870279	0.00547553	0.09711096	0.01452962	0.04016919	-0.00399025
0.100000	0.10617378	0.05834194	0.11931557	-0.01037449	-0.00419192	-0.00414939	0.09861954	0.02788792	0.10800804	0.00857193	-0.01089068	-0.00623631	0.10038955	0.00499420	0.09813887	0.01716613	-0.00829346	-0.00923075	0.06949841	0.06739710	0.13385335	-0.01185474	0.01436939	0.00494564	0.06161970	0.02752397	0.11704996	-0.01476702	0.00894009	-0.00049606	0.06903270	0.00604679	0.09692078	0.00890258	0.02860945	-0.00605217
0.116666	0.10604545	0.05822440	0.11925448	-0.00836651	-0.00610345	-0.00492124	0.09874024	0.02771250	0.10792697	0.00494892	-0.01072251	-0.00627870	0.10057534	0.00482427	0.09803602	0.00959620	-0.00908568	-0.00845752	0.06930886	0.06759916	0.13391013	-0.01107287	0.00994921	0.00240997	0.06123650	0.02762538	0.11695441	-0.01462657	0.00585648	-0.00179936	0.06901061	0.00639264	0.09675018	0.00085790	0.01689177	-0.00645823
