Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11247128	0.05232079	0.10401031	-0.00078284	-0.00590818	0.00077904	0.09568720	0.02220730	0.09531298	0.00235745	-0.00912018	-0.00087284	0.09211938	-0.00055956	0.08699529	-0.00864453	-0.00040714	-0.00683236	0.08401171	0.05848706	0.12584670	0.00327000	-0.01924578	0.00732648	0.06291395	0.01237001	0.11576897	-0.00948379	-0.01183677	-0.00665596	0.06852967	0.00014746	0.08913531	-0.00438126	-0.00054744	0.00169099
0.016667	0.11250050	0.05222687	0.10400335	-0.00271239	-0.00304622	0.00242674	0.09581410	0.02204338	0.09530532	-0.00062563	-0.00664710	-0.00064217	0.09206697	-0.00057754	0.08688158	-0.00971925	-0.00172879	-0.00455821	0.08410841	0.05814286	0.12597699	-0.00452669	-0.01389837	0.00534343	0.06278394	0.01215003	0.11563250	-0.01430897	-0.00814833	-0.00642481	0.06854237	0.00011807	0.08915898	-0.00693868	0.00118290	0.00099667
0.033333	0.11244398	0.05215843	0.10404038	-0.00464195	-0.00018425	0.00407444	0.09575011	0.02192421	0.09528413	-0.00360870	-0.00417402	-0.00041150	0.09183103	-0.00059273	0.08679388	-0.01079396	-0.00305044	-0.00228406	0.08404398	0.05790566	0.12606314	-0.01232338	-0.00855095	0.00336037	0.06253482	0.01202151	0.11553653	-0.01913415	-0.00445989	-0.00619366	0.06836058	0.00014300	0.08917693	-0.00949610	0.00291324	0.00030235
0.050000	0.11229827	0.05216894	0.10415360	-0.00125535	0.00166467	0.00119936	0.09558932	0.02188419	0.09527314	0.00119225	-0.00417975	-0.00054304	0.09155601	-0.00063052	0.08676800	-0.00644664	-0.00406507	-0.00101496	0.08374205	0.05780563	0.12611242	-0.01293121	-0.00718895	0.00173473	0.06219030	0.01197136	0.11548568	-0.02325526	-0.00255087	-0.00935327	0.06812087	0.00022446	0.08918954	-0.00669415	0.00271578	-0.00176099
0.066666	0.11219029	0.05222121	0.10424837	0.00264895	0.00477858	-0.00367811	0.09549099	0.02186957	0.09528231	0.00556102	-0.00259350	-0.00181981	0.09140366	-0.00072560	0.08677797	-0.00360539	-0.00473737	0.00054658	0.08339796	0.05777770	0.12612486	-0.01629158	-0.00341661	-0.00205108	0.06176194	0.01197909	0.11535037	-0.03424660	0.00306109	-0.01420600	0.06793842	0.00030148	0.08918189	-0.00740416	0.00389725	-0.00607348
0.083333	0.11226739	0.05235234	0.10422140	0.00823784	0.00719500	-0.01135060	0.09567050	0.02182641	0.09527967	0.01163007	-0.00064500	-0.00370660	0.09148330	-0.00085718	0.08682842	0.00020374	-0.00419334	0.00126921	0.08307319	0.05775744	0.12609565	-0.01638784	-0.00052765	-0.00647637	0.06125652	0.01201027	0.11511596	-0.04856224	0.01053786	-0.02055508	0.06794641	0.00034221	0.08909313	-0.00903457	0.00485433	-0.01145651
0.100000	0.11252486	0.05249495	0.10392950	0.01330184	0.00857351	-0.01899906	0.09604499	0.02175645	0.09522117	0.01583709	0.00202703	-0.00501504	0.09161282	-0.00094544	0.08688100	0.00249219	-0.00231289	0.00287839	0.08286141	0.05771304	0.12596999	-0.01456099	0.00236369	-0.01051728	0.06041073	0.01216508	0.11467808	-0.06296600	0.01960469	-0.02444713	0.06794573	0.00039957	0.08885346	-0.01227138	0.00524347	-0.01525490
0.116666	0.11289797	0.05267159	0.10343552	0.01551247	0.00878883	-0.02343068	0.09647761	0.02179207	0.09505117	0.01655108	0.00460337	-0.00386787	0.09169784	-0.00098339	0.08687117	0.00249696	0.00020093	0.00673412	0.08264619	0.05775236	0.12571032	-0.01246159	0.00555478	-0.01328831	0.05911183	0.01257021	0.11409375	-0.07330099	0.02807010	-0.02382728	0.06769107	0.00050744	0.08844628	-0.01602157	0.00483097	-0.01551247
