Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.10884923	0.06156666	0.11024255	-0.00883583	-0.00953864	-0.00932880	0.09343643	0.03068857	0.10541920	-0.00766590	-0.01453320	-0.02628318	0.09298757	0.00784060	0.10063772	-0.01818604	-0.00823781	-0.04525091	0.07646912	0.07071449	0.12860307	-0.00031993	-0.02654574	-0.01116258	0.05937858	0.02590971	0.11733054	-0.01789515	-0.01612094	-0.02565409	0.06621988	0.00057449	0.09847460	-0.01473172	-0.00680544	-0.04116119
0.016667	0.10871618	0.06139109	0.11010208	-0.00900108	-0.00753581	-0.01062204	0.09331311	0.03043525	0.10498527	-0.00571983	-0.01234005	-0.02775874	0.09269708	0.00769635	0.09986736	-0.01646637	-0.00778559	-0.04382926	0.07650815	0.07024250	0.12842682	-0.00332886	-0.02307201	-0.01379555	0.05908998	0.02562918	0.11691326	-0.01594099	-0.01425801	-0.02903972	0.06599074	0.00044568	0.09778489	-0.01238627	-0.00468259	-0.04271323
0.033333	0.10856349	0.06127676	0.10991664	-0.00916634	-0.00553297	-0.01191528	0.09321541	0.03022733	0.10453046	-0.00377377	-0.01014691	-0.02923430	0.09241057	0.00756934	0.09914923	-0.01474669	-0.00733337	-0.04240761	0.07643581	0.06987092	0.12820166	-0.00633779	-0.01959827	-0.01642852	0.05881783	0.02540036	0.11643674	-0.01398683	-0.01239508	-0.03242536	0.06576169	0.00036899	0.09709314	-0.01004081	-0.00255973	-0.04426527
0.050000	0.10837921	0.06119294	0.10969834	-0.00731706	-0.00494458	-0.01233076	0.09313764	0.03008552	0.10402597	-0.00127230	-0.00962190	-0.02913450	0.09214081	0.00746653	0.09846994	-0.01202659	-0.00762738	-0.04164448	0.07625975	0.06959266	0.12790325	-0.00483105	-0.01923472	-0.01731499	0.05855888	0.02521031	0.11588282	-0.01093182	-0.01158416	-0.03301399	0.06559691	0.00035245	0.09634913	-0.00703278	-0.00260969	-0.04379417
0.066666	0.10823780	0.06114989	0.10948283	-0.00480397	-0.00378791	-0.01402451	0.09312622	0.02994951	0.10350869	0.00230306	-0.00788935	-0.02951731	0.09195743	0.00733259	0.09775952	-0.00801965	-0.00736898	-0.04000374	0.07611796	0.06930656	0.12758130	-0.00361194	-0.01744993	-0.01897678	0.05839081	0.02502265	0.11524945	-0.00612708	-0.00999822	-0.03389696	0.06546585	0.00035042	0.09555242	-0.00204888	-0.00210001	-0.04300518
0.083333	0.10816851	0.06109596	0.10926493	-0.00130743	-0.00347822	-0.01562620	0.09320140	0.02983090	0.10300089	0.00574006	-0.00669087	-0.02998938	0.09185319	0.00720922	0.09709784	-0.00339442	-0.00694770	-0.03973373	0.07607312	0.06903814	0.12723672	0.00069969	-0.01764480	-0.01954794	0.05831686	0.02488310	0.11464001	-0.00064627	-0.00961905	-0.03346997	0.06548449	0.00032631	0.09480771	0.00295249	-0.00249951	-0.04197011
0.100000	0.10819969	0.06104366	0.10899982	0.00203867	-0.00356176	-0.01691985	0.09335985	0.02970918	0.10254150	0.00824391	-0.00584927	-0.03054776	0.09185885	0.00706696	0.09647963	0.00085075	-0.00617993	-0.04023549	0.07611363	0.06872949	0.12689857	0.00604125	-0.01887761	-0.01926512	0.05837176	0.02473539	0.11410649	0.00399535	-0.00995409	-0.03237886	0.06559783	0.00026264	0.09416562	0.00685102	-0.00298591	-0.04112320
0.116666	0.10830207	0.06097459	0.10868135	0.00424554	-0.00382390	-0.01763999	0.09354945	0.02962861	0.10205183	0.00914048	-0.00548076	-0.03086847	0.09192766	0.00697634	0.09584028	0.00346014	-0.00523338	-0.04074676	0.07629795	0.06843300	0.12659174	0.01036227	-0.02016936	-0.01790039	0.05853149	0.02460150	0.11362431	0.00667644	-0.01065825	-0.03093881	0.06581530	0.00018330	0.09355129	0.00872116	-0.00276267	-0.04010395
