Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11597649	-0.00340335	0.10269859	0.00500674	-0.01353463	-0.00486827	0.10521647	-0.02956703	0.09654786	0.01371378	-0.01686245	-0.00381706	0.09915639	-0.05261011	0.08814915	0.03694393	-0.02218827	-0.00695883	0.08002367	0.01137925	0.13559425	0.00017293	-0.01805783	0.00098810	0.06040037	-0.03846354	0.11425584	0.01606039	-0.01907345	-0.01183857	0.06838850	-0.05465264	0.09054790	0.02720255	-0.01569896	-0.00613893
0.016667	0.11605807	-0.00361056	0.10266640	0.00253202	-0.01588888	-0.00541406	0.10545607	-0.02981674	0.09655371	0.00733185	-0.01853525	-0.00448847	0.09977018	-0.05294057	0.08812767	0.02780478	-0.02254339	-0.00747982	0.08002087	0.01113479	0.13564557	-0.00137151	-0.02003816	0.00021681	0.06066919	-0.03872884	0.11412035	0.00784706	-0.02051283	-0.01043316	0.06885116	-0.05488067	0.09049847	0.01846306	-0.01947236	-0.00600616
0.033333	0.11610994	-0.00386873	0.10253961	0.00005730	-0.01824312	-0.00595985	0.10559636	-0.03013111	0.09642648	0.00094992	-0.02020806	-0.00515988	0.10026835	-0.05334689	0.08792445	0.01866564	-0.02289850	-0.00800080	0.08000971	0.01077220	0.13562618	-0.00291595	-0.02201850	-0.00055447	0.06085187	-0.03909978	0.11389348	-0.00036627	-0.02195222	-0.00902775	0.06919678	-0.05521064	0.09035011	0.00972357	-0.02324575	-0.00587339
0.050000	0.11610381	-0.00422044	0.10238548	-0.00192334	-0.01698373	-0.00306991	0.10556579	-0.03054502	0.09626042	-0.00309372	-0.01724469	-0.00134230	0.10058524	-0.05377438	0.08769365	0.01163312	-0.01986057	-0.00278411	0.07996710	0.01031245	0.13557245	-0.00393668	-0.01954937	0.00117094	0.06078998	-0.03953746	0.11366289	-0.00296085	-0.01881540	-0.00471598	0.06933366	-0.05565562	0.09019753	0.00537070	-0.02336727	-0.00311760
0.066666	0.11605616	-0.00456181	0.10230050	-0.00549766	-0.01504616	-0.00087280	0.10546958	-0.03086443	0.09620274	-0.01163029	-0.01330211	0.00185714	0.10063588	-0.05413583	0.08760415	-0.00127055	-0.01533630	0.00177738	0.07986841	0.00995788	0.13556895	-0.00525745	-0.01879400	0.00171766	0.06059829	-0.03990687	0.11360776	-0.00747587	-0.01628400	-0.00146371	0.06924960	-0.05610898	0.09014442	-0.00268155	-0.02557953	-0.00117660
0.083333	0.11592870	-0.00483750	0.10236012	-0.00899635	-0.01070936	0.00201956	0.10522305	-0.03110007	0.09633735	-0.01958061	-0.00572778	0.00675945	0.10053807	-0.05437104	0.08777225	-0.01504826	-0.00758511	0.00794742	0.07974893	0.00972029	0.13565423	-0.00589831	-0.01607741	0.00244417	0.06034661	-0.04011012	0.11371902	-0.00986863	-0.01200735	0.00187435	0.06913354	-0.05651937	0.09021161	-0.00966292	-0.02644875	0.00155464
0.100000	0.11575297	-0.00497569	0.10248919	-0.01161923	-0.00501590	0.00436662	0.10484582	-0.03111379	0.09654363	-0.02587835	0.00369208	0.01110290	0.10020498	-0.05443942	0.08804563	-0.02734314	0.00135528	0.01277314	0.07963675	0.00951618	0.13576242	-0.00530461	-0.01273713	0.00276976	0.06020963	-0.04021383	0.11385600	-0.01066644	-0.00693035	0.00413140	0.06893728	-0.05693955	0.09030654	-0.01434913	-0.02628471	0.00369666
0.116666	0.11549909	-0.00495289	0.10258342	-0.01301059	0.00064743	0.00492545	0.10427482	-0.03096414	0.09678002	-0.02993793	0.01197799	0.01279825	0.09959317	-0.05432650	0.08833254	-0.03602888	0.00961324	0.01409462	0.07953507	0.00929893	0.13579558	-0.00433037	-0.01027998	0.00176997	0.06011227	-0.04028926	0.11391018	-0.01095955	-0.00213134	0.00441125	0.06868546	-0.05738773	0.09035927	-0.01618779	-0.02596439	0.00382093
