Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11539768	-0.00424712	0.10463398	-0.02919399	-0.03166778	-0.01985297	0.10363294	-0.03060592	0.09968176	-0.02318731	-0.02035499	-0.01714792	0.09375667	-0.05417509	0.09191349	0.04190246	-0.01425212	-0.00585052	0.07817847	0.01035096	0.13594362	-0.00212301	-0.02503416	0.00141770	0.05532328	-0.03759769	0.11548751	0.01226082	-0.03070905	-0.00245278	0.06453647	-0.05387222	0.09089679	0.01652102	-0.01811862	-0.00711742
0.016667	0.11493456	-0.00476798	0.10433032	-0.02582329	-0.02468639	-0.01743130	0.10327020	-0.03093968	0.09943626	-0.02456108	-0.01385322	-0.01587896	0.09453498	-0.05440595	0.09185670	0.03096086	-0.00873241	-0.00547441	0.07815120	0.00994434	0.13598520	-0.00286394	-0.01676116	0.00065714	0.05553574	-0.03811906	0.11545943	0.00792629	-0.02071970	-0.00314826	0.06486517	-0.05413949	0.09078733	0.00984799	-0.01271272	-0.00367241
0.033333	0.11447362	-0.00521144	0.10400828	-0.02245260	-0.01770501	-0.01500963	0.10287989	-0.03121093	0.09913652	-0.02593486	-0.00735144	-0.01461001	0.09505813	-0.05458754	0.09172730	0.02001927	-0.00321270	-0.00509830	0.07809427	0.00961490	0.13598552	-0.00360487	-0.00848817	-0.00010341	0.05569946	-0.03849853	0.11539185	0.00359177	-0.01073035	-0.00384373	0.06503703	-0.05440287	0.09070091	0.00317497	-0.00730681	-0.00022739
0.050000	0.11409304	-0.00549912	0.10371961	-0.01744884	-0.01255805	-0.01259462	0.10237285	-0.03131417	0.09883890	-0.01950238	-0.00424333	-0.01168449	0.09524559	-0.05462860	0.09159139	0.02173354	-0.00058986	-0.00404315	0.07804269	0.00947316	0.13595663	-0.00354236	-0.00394467	0.00046790	0.05573012	-0.03865526	0.11530606	0.00415213	-0.00597837	-0.00439407	0.06498016	-0.05455235	0.09068748	0.00518689	-0.00299308	0.00215416
0.066666	0.11378568	-0.00562433	0.10357249	-0.00960808	-0.00509085	-0.01079604	0.10191532	-0.03126777	0.09866889	-0.00979971	0.00032943	-0.01005817	0.09534808	-0.05453368	0.09156617	0.02039739	0.00327419	-0.00536559	0.07794838	0.00957791	0.13595663	-0.00253697	0.00262031	0.00034586	0.05564884	-0.03857119	0.11526800	0.00549054	0.00171060	-0.00523390	0.06490485	-0.05451296	0.09079934	0.00576271	0.00202347	0.00483332
0.083333	0.11368945	-0.00559215	0.10348674	-0.00216410	0.00053214	-0.00940338	0.10171872	-0.03115554	0.09860671	0.00141979	0.00292933	-0.00897664	0.09565990	-0.05438598	0.09157889	0.02172799	0.00538634	-0.00753018	0.07788916	0.00975118	0.13598239	-0.00037618	0.00756276	0.00045970	0.05568818	-0.03840704	0.11516827	0.00849494	0.00704006	-0.00437321	0.06498706	-0.05432284	0.09093990	0.00846430	0.00584746	0.00629223
0.100000	0.11379800	-0.00547654	0.10336402	0.00286916	0.00473044	-0.00828973	0.10202832	-0.03108071	0.09853867	0.01006324	0.00428909	-0.00854425	0.09622896	-0.05427970	0.09146574	0.02145098	0.00622677	-0.00997469	0.07787557	0.00991501	0.13601357	0.00160285	0.01063035	0.00035949	0.05589707	-0.03826409	0.11504524	0.01123582	0.01067501	-0.00320410	0.06527687	-0.05417959	0.09110295	0.01010828	0.00766794	0.00644437
0.116666	0.11400086	-0.00538947	0.10316403	0.00470733	0.00819371	-0.00726218	0.10252389	-0.03105806	0.09834125	0.01409614	0.00528923	-0.00825267	0.09681138	-0.05420695	0.09119910	0.01772385	0.00671034	-0.01195137	0.07797386	0.01004486	0.13601765	0.00253291	0.01274700	-0.00005871	0.05629107	-0.03811783	0.11497033	0.01140590	0.01353739	-0.00237529	0.06562669	-0.05405592	0.09116115	0.00917878	0.00738737	0.00577109
