Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11480676	-0.00614290	0.10055838	0.00829983	-0.00337239	-0.00021968	0.10255086	-0.03350242	0.09410259	0.01989384	0.01259015	-0.00549952	0.09706363	-0.05664392	0.08482666	0.01725058	0.00487946	-0.00770822	0.07959124	0.00467925	0.13405336	0.00730264	-0.01311420	0.00406394	0.06479517	-0.04459695	0.11069091	0.01589044	-0.00590042	-0.00844329	0.07048225	-0.05699613	0.08763170	0.01315647	0.00561925	-0.01101830
0.016667	0.11492112	-0.00625297	0.10057479	0.00467421	0.00552631	0.00371644	0.10290094	-0.03335477	0.09404608	0.01335656	0.01639551	0.00349247	0.09736976	-0.05659884	0.08471729	0.01313170	0.01012460	0.00358456	0.07967551	0.00440235	0.13412942	0.00659737	0.00090553	0.00746417	0.06505531	-0.04474841	0.11053799	0.01191934	0.00600795	0.00288517	0.07071751	-0.05696717	0.08744545	0.00905048	0.01174823	0.00160687
0.033333	0.11505368	-0.00615696	0.10060748	0.00104860	0.01442501	0.00765256	0.10315716	-0.03302788	0.09403931	0.00681928	0.02020088	0.01248447	0.09759360	-0.05641809	0.08471755	0.00901282	0.01536973	0.01487734	0.07982792	0.00440507	0.13423932	0.00589209	0.01492525	0.01086441	0.06527556	-0.04466046	0.11055852	0.00794824	0.01791632	0.01421364	0.07088579	-0.05674136	0.08742130	0.00494449	0.01787722	0.01423204
0.050000	0.11507918	-0.00583652	0.10073204	-0.00077147	0.01564725	0.01148102	0.10318905	-0.03265155	0.09422877	0.00566459	0.01951736	0.01892362	0.09770665	-0.05612478	0.08496680	0.00751897	0.01602697	0.02213521	0.07994305	0.00476086	0.13440846	0.00349042	0.01892012	0.01355244	0.06538999	-0.04427547	0.11081283	0.00451209	0.01986983	0.02006006	0.07091016	-0.05636841	0.08770636	0.00377657	0.01684622	0.02109577
0.066666	0.11495207	-0.00540409	0.10093865	-0.00287690	0.01899192	0.01631449	0.10318238	-0.03224293	0.09467827	0.00127629	0.01958270	0.02616557	0.09777314	-0.05574656	0.08550240	0.00361902	0.01719132	0.03153154	0.08001804	0.00529963	0.13468027	0.00117034	0.02662695	0.01650571	0.06544634	-0.04370214	0.11133513	-0.00091680	0.02385920	0.02780821	0.07092400	-0.05594957	0.08822151	0.00003580	0.01655902	0.03104710
0.083333	0.11484253	-0.00502537	0.10132325	-0.00410413	0.01728005	0.01935542	0.10316177	-0.03192541	0.09534830	-0.00011254	0.01645121	0.02980009	0.09782054	-0.05541542	0.08626328	0.00151858	0.01450736	0.03659758	0.07997308	0.00589231	0.13504167	-0.00090067	0.02674809	0.01763053	0.06537472	-0.04317820	0.11199062	-0.00345440	0.02136461	0.03053659	0.07091880	-0.05565303	0.08895902	-0.00134700	0.01158160	0.03544326
0.100000	0.11475883	-0.00475275	0.10173897	-0.00285437	0.01188507	0.02032787	0.10318879	-0.03168426	0.09595349	0.00291744	0.01144015	0.02997574	0.09782741	-0.05516901	0.08699149	0.00250154	0.00932911	0.03733676	0.07987392	0.00637269	0.13539805	-0.00146542	0.02104501	0.01718588	0.06519596	-0.04285785	0.11259270	-0.00162367	0.01425013	0.02961193	0.07087067	-0.05551954	0.08966810	0.00066199	0.00400524	0.03527566
0.116666	0.11476274	-0.00460788	0.10212001	0.00050526	0.00537096	0.01915757	0.10315211	-0.03150812	0.09640586	0.00763013	0.00600994	0.02693861	0.09778149	-0.05507262	0.08759676	0.00608033	0.00364951	0.03454878	0.07983461	0.00669942	0.13567811	0.00051666	0.01309659	0.01572124	0.06505240	-0.04272469	0.11302324	0.00408729	0.00622262	0.02702772	0.07079349	-0.05553744	0.09024656	0.00527291	-0.00343386	0.03231896
