Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11520405	-0.00258142	0.10403351	-0.01643511	-0.01442983	-0.02253612	0.10533717	-0.02923749	0.09892776	-0.01731697	-0.01457989	-0.03085305	0.10104043	-0.05262363	0.09218659	-0.02247454	-0.01617151	-0.04282991	0.08085949	0.00897977	0.13664177	-0.02145306	-0.02585650	-0.02221362	0.06684352	-0.04108086	0.11697521	-0.03136349	-0.02405966	-0.05042912	0.07373031	-0.05792175	0.09465344	-0.03150595	-0.01554199	-0.04867696
0.016667	0.11498420	-0.00283179	0.10365508	-0.01494577	-0.01230968	-0.01905449	0.10503880	-0.02948685	0.09843161	-0.01397012	-0.01265348	-0.02751980	0.10068660	-0.05291862	0.09149791	-0.01935914	-0.01292260	-0.03753431	0.08049677	0.00853815	0.13627076	-0.01812197	-0.02162134	-0.01931556	0.06632689	-0.04150067	0.11614414	-0.02664115	-0.01997874	-0.04366475	0.07324466	-0.05823862	0.09386683	-0.02771381	-0.01149286	-0.04371303
0.033333	0.11469894	-0.00303657	0.10333737	-0.01345643	-0.01018953	-0.01557285	0.10480814	-0.02970384	0.09796106	-0.01062327	-0.01072708	-0.02418654	0.10035088	-0.05311817	0.09084561	-0.01624374	-0.00967369	-0.03223871	0.08020148	0.00818003	0.13594799	-0.01479088	-0.01738619	-0.01641749	0.06588148	-0.04182614	0.11540244	-0.02191880	-0.01589781	-0.03690038	0.07275794	-0.05838290	0.09312509	-0.02392167	-0.00744374	-0.03874910
0.050000	0.11439697	-0.00318244	0.10307015	-0.00827312	-0.00869845	-0.01196680	0.10464788	-0.02985965	0.09753096	-0.00762931	-0.00967275	-0.01860861	0.10004361	-0.05325801	0.09027974	-0.01112167	-0.00815086	-0.02450483	0.07996362	0.00789710	0.13568442	-0.01038630	-0.01363351	-0.01266864	0.06549490	-0.04207074	0.11477940	-0.01546300	-0.01311533	-0.02826415	0.07229277	-0.05846040	0.09242300	-0.01621223	-0.00632613	-0.02971895
0.066666	0.11424514	-0.00332649	0.10289571	-0.00282121	-0.00529743	-0.00608335	0.10452549	-0.03000853	0.09720077	-0.00214436	-0.00665380	-0.01003333	0.09985413	-0.05335350	0.08986738	-0.00404546	-0.00487346	-0.01257685	0.07975576	0.00770025	0.13544467	-0.00231520	-0.00670953	-0.00600243	0.06523067	-0.04225568	0.11429746	-0.00506247	-0.00744724	-0.01438679	0.07200690	-0.05852058	0.09191337	-0.00536839	-0.00249566	-0.01569236
0.083333	0.11432305	-0.00341192	0.10283153	0.00325491	-0.00147528	-0.00047401	0.10451489	-0.03012225	0.09710114	0.00254297	-0.00315413	-0.00056036	0.09986820	-0.05342999	0.08974952	0.00259818	-0.00209604	-0.00009175	0.07974598	0.00761513	0.13537601	0.00582321	0.00048232	0.00071228	0.06521305	-0.04236229	0.11414981	0.00469690	-0.00203566	-0.00084494	0.07202344	-0.05859873	0.09172243	0.00531784	0.00002848	-0.00032168
0.100000	0.11450311	-0.00341015	0.10291116	0.00775322	0.00322599	0.00507901	0.10463927	-0.03017266	0.09722988	0.00552168	0.00119254	0.00922982	0.10005044	-0.05343884	0.08994904	0.00683370	0.00101019	0.01225081	0.07996049	0.00769839	0.13549022	0.01255338	0.00823290	0.00738281	0.06546671	-0.04234702	0.11437545	0.01143471	0.00394083	0.01200096	0.07232571	-0.05856875	0.09196653	0.01282757	0.00331370	0.01467778
0.116666	0.11471962	-0.00332440	0.10306764	0.00870548	0.00878237	0.01071319	0.10483410	-0.03010909	0.09751932	0.00572982	0.00614207	0.01818992	0.10030151	-0.05341564	0.09032165	0.00745027	0.00475166	0.02341838	0.08035839	0.00791732	0.13573703	0.01557919	0.01607383	0.01366166	0.06588558	-0.04221730	0.11477853	0.01393443	0.01068417	0.02346517	0.07277807	-0.05848779	0.09245206	0.01553556	0.00818906	0.02784852
