Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11503066	-0.00428435	0.10111137	0.00371260	-0.00159081	0.00467723	0.10457835	-0.03122972	0.09578922	0.00276164	0.00384573	0.00438979	0.09863942	-0.05395937	0.08652829	0.00266926	-0.00311061	0.00381263	0.08078074	0.00692906	0.13426663	0.00586978	-0.00194054	0.00965279	0.06553683	-0.04229962	0.11159653	0.00822253	-0.00738804	0.00687222	0.07184583	-0.05399740	0.08806095	0.00222397	-0.00473218	0.00821139
0.016667	0.11512275	-0.00429740	0.10123345	0.00094235	-0.00323452	0.00144974	0.10462791	-0.03113792	0.09591556	-0.00060417	0.00108574	0.00094839	0.09868063	-0.05399371	0.08662073	-0.00202172	-0.00477457	0.00122175	0.08088136	0.00692629	0.13448845	0.00156038	-0.00238237	0.00509488	0.06568711	-0.04239322	0.11178452	0.00009611	-0.00739041	0.00130803	0.07185927	-0.05405870	0.08830187	0.00013165	-0.00437906	0.00002883
0.033333	0.11511191	-0.00436112	0.10122438	-0.00182790	-0.00487822	-0.00177775	0.10462295	-0.03113066	0.09588523	-0.00396998	-0.00167425	-0.00249301	0.09866893	-0.05408727	0.08660848	-0.00671270	-0.00643854	-0.00136912	0.08091093	0.00684716	0.13453126	-0.00274901	-0.00282420	0.00053697	0.06571055	-0.04254926	0.11174358	-0.00803031	-0.00739278	-0.00425616	0.07188997	-0.05415386	0.08822925	-0.00196067	-0.00402594	-0.00815372
0.050000	0.11507577	-0.00446239	0.10114452	-0.00336667	-0.00576245	-0.00213393	0.10456034	-0.03121507	0.09579730	-0.00617898	-0.00171548	-0.00326724	0.09857398	-0.05418884	0.08657148	-0.00896055	-0.00649734	-0.00322366	0.08087412	0.00677850	0.13447011	-0.00653948	-0.00303907	-0.00032991	0.06554796	-0.04271231	0.11160883	-0.01207248	-0.00725691	-0.00639415	0.07185780	-0.05423850	0.08800094	-0.00473706	-0.00403056	-0.00944816
0.066666	0.11496924	-0.00455559	0.10108477	-0.00654890	-0.00745794	-0.00376580	0.10440153	-0.03125427	0.09571686	-0.00917334	-0.00349126	-0.00583867	0.09829717	-0.05436344	0.08651609	-0.01164966	-0.00677698	-0.00607936	0.08071661	0.00676726	0.13442586	-0.01148534	-0.00427570	-0.00358315	0.06521770	-0.04277541	0.11146721	-0.01789987	-0.00854011	-0.01096253	0.07179819	-0.05426840	0.08771656	-0.00805597	-0.00456668	-0.01396598
0.083333	0.11488031	-0.00469362	0.10102339	-0.00770147	-0.00790029	-0.00309539	0.10419762	-0.03131830	0.09563870	-0.00979506	-0.00403856	-0.00595576	0.09802710	-0.05447344	0.08639779	-0.01164959	-0.00634295	-0.00695671	0.08045658	0.00671641	0.13439053	-0.01269141	-0.00522531	-0.00361623	0.06480610	-0.04287278	0.11129503	-0.01859136	-0.00922574	-0.01130794	0.07157820	-0.05431041	0.08751824	-0.00870481	-0.00483673	-0.01325557
0.100000	0.11468635	-0.00486019	0.10095229	-0.00651828	-0.00746005	-0.00244358	0.10397258	-0.03136178	0.09549679	-0.00725190	-0.00425987	-0.00588971	0.09780538	-0.05456083	0.08619979	-0.00772703	-0.00534531	-0.00782441	0.08010418	0.00661158	0.13427716	-0.00899408	-0.00698307	-0.00273862	0.06439436	-0.04305821	0.11098920	-0.01380341	-0.01032906	-0.01036954	0.07133244	-0.05442930	0.08723381	-0.00584441	-0.00564961	-0.01128775
0.116666	0.11450357	-0.00501378	0.10092448	-0.00320540	-0.00677017	-0.00291092	0.10380782	-0.03146512	0.09537990	-0.00323316	-0.00450278	-0.00689804	0.09767148	-0.05463280	0.08605631	-0.00162885	-0.00423230	-0.00881243	0.07986560	0.00645059	0.13421151	-0.00290578	-0.00875720	-0.00282065	0.06414273	-0.04329981	0.11080042	-0.00675450	-0.01187642	-0.01021132	0.07113983	-0.05454167	0.08707917	-0.00190274	-0.00655713	-0.00931725
