Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.13152139	0.04801541	0.04065846	0.00170068	-0.00263394	-0.00060700	0.09440097	0.05363566	0.05198068	0.00457449	0.00116321	0.00213803	0.06824692	0.05476806	0.04643314	0.00054404	0.00467062	0.00873990	0.11416148	0.08246709	0.09257783	0.00254211	-0.00056092	-0.00042517	0.07411045	0.08123176	0.08244345	0.00503661	0.00748157	-0.00151616	0.05267694	0.07459076	0.05229904	0.00277835	0.00447875	0.00301619
0.016667	0.13153814	0.04800353	0.04065818	0.00454726	-0.00055041	-0.00034981	0.09446809	0.05365118	0.05196230	0.00545742	0.00194405	0.00345906	0.06823084	0.05481567	0.04653866	0.00108339	0.00884887	0.00927668	0.11418992	0.08246019	0.09255234	0.00432396	0.00094124	-0.00042200	0.07418203	0.08132318	0.08240207	0.00564831	0.00941906	-0.00164487	0.05270866	0.07462624	0.05229085	0.00192829	0.00821810	0.00281018
0.033333	0.13160685	0.04795811	0.04064874	0.00739384	0.00153311	-0.00009261	0.09455711	0.05367491	0.05205653	0.00634036	0.00272489	0.00478009	0.06824961	0.05497463	0.04670853	0.00162274	0.01302711	0.00981346	0.11426655	0.08246777	0.09256230	0.00610581	0.00244339	-0.00041884	0.07428157	0.08149318	0.08238045	0.00626000	0.01135656	-0.00177358	0.05276452	0.07478432	0.05238790	0.00107823	0.01195745	0.00260417
0.050000	0.13173014	0.04788882	0.04060192	0.00723685	0.00416187	0.00117440	0.09468014	0.05373033	0.05220766	0.00553942	0.00195387	0.00224859	0.06833625	0.05524103	0.04697340	-0.00087884	0.01315929	0.00664991	0.11438607	0.08251841	0.09256452	0.00618509	0.00323539	-0.00124146	0.07439146	0.08173785	0.08238639	0.00571197	0.00963364	-0.00320760	0.05278388	0.07503837	0.05248509	0.00066513	0.01145520	-0.00058025
0.066666	0.13196833	0.04811946	0.04066670	0.00698048	0.00418242	0.00086882	0.09480813	0.05381021	0.05227272	0.00506709	0.00197821	0.00106613	0.06835155	0.05551569	0.04705804	-0.00193198	0.01464039	0.00406610	0.11452405	0.08257887	0.09256184	0.00567938	0.00366220	-0.00186433	0.07452813	0.08194266	0.08233072	0.00480128	0.00839106	-0.00413054	0.05277209	0.07528380	0.05250065	-0.00060743	0.01200290	-0.00236423
0.083333	0.13210201	0.04825163	0.04070174	0.00585290	0.00361405	0.00032595	0.09488547	0.05382686	0.05221850	0.00472283	0.00332023	-0.00090210	0.06825455	0.05580568	0.04708035	-0.00143514	0.01492571	0.00027111	0.11464255	0.08269048	0.09249301	0.00298281	0.00245852	-0.00268185	0.07459101	0.08206610	0.08222171	0.00294500	0.00575962	-0.00536835	0.05274056	0.07550797	0.05234011	-0.00322388	0.01029481	-0.00379024
0.100000	0.13215066	0.04840420	0.04077892	0.00360803	0.00162922	-0.00013728	0.09490965	0.05380243	0.05211618	0.00433912	0.00553038	-0.00196771	0.06810404	0.05598647	0.04699956	-0.00067089	0.01628197	-0.00226670	0.11471622	0.08276160	0.09243192	-0.00066940	0.00058644	-0.00318849	0.07463969	0.08209116	0.08209600	0.00036799	0.00292608	-0.00626783	0.05273478	0.07562319	0.05217687	-0.00622579	0.00823650	-0.00348143
0.116666	0.13213445	0.04823092	0.04066416	0.00070229	-0.00088858	-0.00011256	0.09496270	0.05388560	0.05206909	0.00304123	0.00751206	-0.00072051	0.06809138	0.05622334	0.04690429	-0.00019290	0.01780808	-0.00126236	0.11463509	0.08273887	0.09236915	-0.00381453	-0.00044096	-0.00304894	0.07460051	0.08209383	0.08199364	-0.00206862	0.00127920	-0.00594745	0.05260517	0.07574013	0.05212384	-0.00889597	0.00703867	-0.00111480
