Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.13190298	0.04982109	0.03998012	-0.01202566	0.00259847	0.00669711	0.09722229	0.05700956	0.05164211	-0.00609147	-0.01035881	0.00018936	0.06890713	0.05659344	0.04850869	0.00535408	-0.01175550	-0.00163630	0.11097278	0.08549574	0.08898897	-0.00602892	-0.00042696	0.00440156	0.07292048	0.08430959	0.07969776	-0.01010359	-0.00637053	0.01237770	0.05028356	0.07658957	0.04935692	0.00012677	-0.01032040	-0.00074934
0.033333	0.13172148	0.04987758	0.04009687	-0.00878829	0.00045017	0.00354053	0.09713288	0.05687792	0.05165536	-0.00520328	-0.01226903	-0.00107948	0.06901387	0.05634262	0.04851010	0.00271619	-0.01155355	-0.00315150	0.11084589	0.08554065	0.08906300	-0.00337960	-0.00218824	0.00179776	0.07267859	0.08421773	0.07986356	-0.00942197	-0.00788818	0.01098637	0.05027601	0.07647964	0.04927049	-0.00004794	-0.01097564	-0.00107501
0.050000	0.13152263	0.04988864	0.04018267	-0.00555093	-0.00169814	0.00038395	0.09701730	0.05665207	0.05163827	-0.00431510	-0.01417926	-0.00234832	0.06905640	0.05623894	0.04843029	0.00007831	-0.01135160	-0.00466669	0.11079307	0.08545222	0.08911747	-0.00073027	-0.00394953	-0.00080604	0.07262481	0.08408748	0.08009084	-0.00874035	-0.00940584	0.00959504	0.05029097	0.07626327	0.04933120	-0.00022266	-0.01163089	-0.00140068
0.066666	0.13146175	0.04984782	0.04014207	-0.00376628	-0.00145674	0.00014139	0.09695669	0.05634974	0.05160432	-0.00437124	-0.01231418	-0.00192852	0.06902482	0.05600013	0.04837547	-0.00048381	-0.01038488	-0.00445830	0.11083068	0.08534504	0.08907792	-0.00118502	-0.00313470	-0.00104379	0.07249871	0.08389738	0.08028836	-0.00915166	-0.00890422	0.00721871	0.05028885	0.07598100	0.04937585	0.00028841	-0.00738851	-0.00428319
0.083333	0.13144138	0.04974534	0.04008895	-0.00076182	-0.00146755	-0.00169496	0.09691507	0.05611366	0.05149054	-0.00428440	-0.01070841	-0.00183306	0.06898610	0.05586648	0.04819363	-0.00247006	-0.01017809	-0.00326223	0.11085819	0.08528033	0.08899714	-0.00006221	-0.00305427	-0.00192777	0.07230949	0.08372109	0.08037933	-0.00868018	-0.00747374	0.00504850	0.05027045	0.07580513	0.04927099	0.00081407	-0.00369245	-0.00650587
0.100000	0.13147815	0.04971978	0.04004396	0.00084237	-0.00121292	-0.00245654	0.09686005	0.05595550	0.05148119	-0.00424029	-0.00799076	-0.00177190	0.06893494	0.05563186	0.04816709	-0.00270591	-0.01140783	-0.00165126	0.11084154	0.08525759	0.08894113	0.00010163	-0.00140191	-0.00219908	0.07211715	0.08357914	0.08037688	-0.00909589	-0.00452289	0.00239291	0.05026871	0.07585555	0.04906298	0.00109371	0.00033375	-0.00989603
0.116666	0.13153669	0.04973769	0.04003322	0.00129484	-0.00120122	-0.00272290	0.09676705	0.05588657	0.05149227	-0.00429040	-0.00675899	-0.00176382	0.06888568	0.05555487	0.04813531	-0.00131686	-0.01347929	-0.00097799	0.11080231	0.08525135	0.08893117	-0.00060570	-0.00079867	-0.00188966	0.07197084	0.08349381	0.08038802	-0.00795163	-0.00133716	-0.00026878	0.05034062	0.07598392	0.04885485	0.00189370	0.00282542	-0.01294337
