Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.13362060	0.04610194	0.04760705	0.00377411	0.00192809	-0.00394009	0.09923495	0.04386875	0.04905672	0.00905793	-0.00861136	-0.01451614	0.07204232	0.04707808	0.04269283	0.00377124	-0.02523190	-0.01484882	0.11650808	0.08421733	0.08913495	0.00633827	0.00248079	-0.00043906	0.07898934	0.08051871	0.07693805	-0.00456618	-0.00079785	0.00038341	0.05609519	0.07339400	0.04561039	0.02162117	-0.00402277	-0.01792617
0.033333	0.13367558	0.04614984	0.04754204	0.00383110	0.00237376	-0.00326627	0.09937239	0.04363836	0.04880094	0.00699031	-0.00361675	-0.00965063	0.07208369	0.04653061	0.04247998	0.00256577	-0.01837265	-0.00907428	0.11662195	0.08424335	0.08915094	0.00667716	0.00368895	-0.00004403	0.07889496	0.08046547	0.07695420	-0.00347504	0.00128478	0.00223675	0.05643940	0.07328223	0.04526502	0.01800686	-0.00152730	-0.01069010
0.050000	0.13373764	0.04615933	0.04748763	0.00388810	0.00281944	-0.00259246	0.09951385	0.04365252	0.04861820	0.00492269	0.00137786	-0.00478512	0.07216224	0.04631243	0.04221933	0.00136030	-0.01151339	-0.00329975	0.11670719	0.08431231	0.08910917	0.00701605	0.00489710	0.00035100	0.07885066	0.08051370	0.07696464	-0.00238390	0.00336742	0.00409009	0.05677082	0.07328866	0.04508367	0.01439255	0.00096817	-0.00345403
0.066666	0.13381876	0.04622391	0.04744115	0.00258149	0.00238366	-0.00212758	0.09959996	0.04376306	0.04857712	0.00372955	0.00050845	-0.00475399	0.07217731	0.04623113	0.04223248	0.00110809	-0.01498595	-0.00283360	0.11685611	0.08441389	0.08912058	0.00562659	0.00372877	0.00062827	0.07882388	0.08060851	0.07703935	-0.00266013	0.00238587	0.00447856	0.05701566	0.07333982	0.04510664	0.01233022	-0.00049606	-0.00388886
0.083333	0.13388894	0.04627028	0.04741300	0.00103966	0.00148485	-0.00156155	0.09961867	0.04381830	0.04862219	0.00227024	0.00173392	-0.00484914	0.07217366	0.04617606	0.04232716	0.00146125	-0.01516780	-0.00185669	0.11695997	0.08451463	0.08915175	0.00375742	0.00180364	0.00120298	0.07880869	0.08070128	0.07716676	-0.00290864	0.00112471	0.00513027	0.05715604	0.07341076	0.04520458	0.01038880	-0.00185222	-0.00305341
0.100000	0.13388729	0.04633178	0.04740774	-0.00063434	0.00049507	-0.00129046	0.09960227	0.04383747	0.04860697	0.00136782	0.00038816	-0.00732600	0.07213238	0.04582306	0.04239913	0.00282319	-0.01537443	-0.00406930	0.11704814	0.08456772	0.08918279	0.00149258	-0.00093595	0.00197996	0.07875356	0.08070242	0.07728764	-0.00418210	-0.00230880	0.00512162	0.05722602	0.07336430	0.04520306	0.00929495	-0.00410290	-0.00489231
0.116666	0.13383007	0.04630475	0.04738759	-0.00228995	-0.00032023	-0.00100650	0.09962527	0.04377717	0.04843592	0.00171267	0.00037052	-0.01060626	0.07219677	0.04533247	0.04228855	0.00474939	-0.01151190	-0.00891335	0.11700363	0.08448964	0.08921420	-0.00070598	-0.00348126	0.00219927	0.07868169	0.08065949	0.07735063	-0.00495317	-0.00529642	0.00410242	0.05737276	0.07321909	0.04502388	0.00835800	-0.00486018	-0.00628154
