Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.13435473	0.04818999	0.03786272	0.00002429	-0.00599305	0.00077658	0.09749742	0.05391182	0.04825488	0.00715337	-0.00320874	-0.00048461	0.06974085	0.05371660	0.04108039	0.00382891	0.00053665	-0.00178779	0.11269353	0.08299943	0.08539052	0.00121616	-0.00252956	-0.00035308	0.07305446	0.07694647	0.07792405	-0.00241210	-0.00642582	0.00524750	0.05373538	0.07501595	0.04375843	-0.00320186	-0.00738136	0.00087098
0.033333	0.13434720	0.04809798	0.03790526	0.00184134	-0.00320145	0.00037786	0.09760736	0.05383247	0.04825825	0.00518652	-0.00194025	0.00010762	0.06975870	0.05367786	0.04108639	0.00414805	0.00168499	-0.00129853	0.11268827	0.08291844	0.08539309	0.00335881	-0.00070453	-0.00004537	0.07300942	0.07676510	0.07803145	-0.00116542	-0.00408882	0.00443483	0.05366221	0.07482025	0.04380428	-0.00209235	-0.00515031	0.00082814
0.050000	0.13436486	0.04801090	0.03789281	0.00365840	-0.00040986	-0.00002086	0.09772099	0.05381231	0.04824958	0.00321967	-0.00067177	0.00069985	0.06986333	0.05373007	0.04104828	0.00446720	0.00283334	-0.00080927	0.11275645	0.08294445	0.08538233	0.00550146	0.00112050	0.00026234	0.07299869	0.07676383	0.07809111	0.00008125	-0.00175182	0.00362215	0.05365119	0.07478478	0.04380333	-0.00098285	-0.00291926	0.00078529
0.066666	0.13445629	0.04802968	0.03784193	0.00350737	0.00045367	0.00176896	0.09777303	0.05383879	0.04825023	0.00326337	-0.00119279	0.00175188	0.06998859	0.05382976	0.04097795	0.00268531	-0.00034703	0.00287741	0.11287843	0.08298457	0.08538359	0.00518678	0.00058003	0.00058618	0.07299031	0.07679681	0.07812875	0.00077065	-0.00390557	0.00497768	0.05363743	0.07482894	0.04375551	-0.00068130	-0.00540180	0.00331371
0.083333	0.13455741	0.04808782	0.03787385	0.00394279	0.00223604	0.00274091	0.09775276	0.05384033	0.04827938	0.00350361	-0.00065489	0.00310031	0.07004410	0.05390954	0.04099249	0.00250370	-0.00252758	0.00626239	0.11301076	0.08303285	0.08539553	0.00625702	0.00042882	0.00099238	0.07302523	0.07677868	0.07818401	0.00071977	-0.00454737	0.00654395	0.05364198	0.07477145	0.04380862	-0.00007926	-0.00580008	0.00515392
0.100000	0.13462147	0.04816472	0.03796171	0.00346677	0.00299269	0.00443939	0.09776866	0.05378997	0.04836093	0.00415588	-0.00044199	0.00458661	0.06998782	0.05377720	0.04118532	0.00255377	-0.00413954	0.00979524	0.11309838	0.08302768	0.08543302	0.00697619	-0.00054192	0.00144315	0.07308018	0.07663797	0.07829271	-0.00007998	-0.00619220	0.00892445	0.05364166	0.07458176	0.04395533	0.00037030	-0.00747020	0.00764457
0.116666	0.13466948	0.04821030	0.03809140	0.00224181	0.00279158	0.00623134	0.09789076	0.05377268	0.04845202	0.00483187	0.00000665	0.00555802	0.06998882	0.05357139	0.04146310	0.00293722	-0.00434207	0.01214895	0.11317000	0.08298682	0.08545014	0.00738385	-0.00109934	0.00170019	0.07309281	0.07644078	0.07850468	-0.00063084	-0.00674642	0.01052972	0.05364624	0.07438319	0.04415334	0.00084346	-0.00818051	0.00941316
