Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.13103980	0.04868491	0.04700519	0.00314438	-0.00144814	-0.01377083	0.09588730	0.05215817	0.04910117	-0.01030598	-0.01454795	-0.02160936	0.06920418	0.05413291	0.04395425	0.00256089	-0.01869641	-0.03130076	0.11282834	0.08042517	0.08732492	-0.00638454	-0.00759493	-0.01719035	0.07280416	0.07703459	0.08056176	-0.01288479	-0.04362683	-0.01930312	0.05172889	0.07147931	0.04732785	0.00719044	-0.00760994	-0.02792323
0.016667	0.13112472	0.04866983	0.04675768	0.00486152	-0.00185230	-0.01140580	0.09569524	0.05193929	0.04874763	-0.00482330	-0.01421599	-0.01995817	0.06926725	0.05385442	0.04344147	0.00047095	-0.01631885	-0.02853591	0.11274609	0.08033311	0.08705100	-0.00496501	-0.00820782	-0.01458144	0.07261669	0.07628917	0.08031192	-0.00892911	-0.03017453	-0.02105610	0.05181069	0.07135828	0.04690215	0.00873688	-0.00551107	-0.02835307
0.033333	0.13114892	0.04861854	0.04658004	0.00657867	-0.00225645	-0.00904078	0.09557977	0.05167297	0.04840999	0.00065938	-0.01388403	-0.01830699	0.06924789	0.05356155	0.04294825	-0.00161898	-0.01394128	-0.02577106	0.11263332	0.08017185	0.08677780	-0.00354548	-0.00882070	-0.01197253	0.07241578	0.07573526	0.07990122	-0.00497343	-0.01672222	-0.02280908	0.05197022	0.07126357	0.04639954	0.01028333	-0.00341219	-0.02878292
0.050000	0.13126586	0.04861676	0.04643363	0.00760745	-0.00266981	-0.00810395	0.09568368	0.05145349	0.04809327	-0.00048645	-0.01340177	-0.01621022	0.06924520	0.05327843	0.04249428	-0.00296307	-0.00950994	-0.02398676	0.11254199	0.07998001	0.08659489	-0.00195951	-0.00769905	-0.01054407	0.07230936	0.07546720	0.07949631	-0.00204359	-0.01047101	-0.02040339	0.05220734	0.07116246	0.04590548	0.00814005	-0.00085738	-0.02674205
0.066666	0.13142996	0.04852581	0.04634846	0.00826355	-0.00231066	-0.00627671	0.09578659	0.05119761	0.04782746	0.00024106	-0.01241102	-0.01402268	0.06913488	0.05311744	0.04217703	-0.00416236	-0.00383641	-0.02202931	0.11256446	0.07984769	0.08644577	-0.00040181	-0.00698376	-0.00852175	0.07238661	0.07561766	0.07902830	0.00149903	-0.00243065	-0.01988624	0.05238345	0.07121442	0.04537876	0.00669745	0.00065159	-0.02456518
0.083333	0.13163354	0.04848366	0.04625004	0.00821817	-0.00194725	-0.00543377	0.09583239	0.05104466	0.04764443	-0.00112080	-0.01114716	-0.01288663	0.06905069	0.05315916	0.04186291	-0.00361951	0.00099885	-0.02153126	0.11260599	0.07978302	0.08636761	0.00072774	-0.00621388	-0.00741176	0.07248329	0.07571900	0.07883500	0.00428995	0.00014346	-0.01985532	0.05244841	0.07127389	0.04505213	0.00362567	0.00003997	-0.02239953
0.100000	0.13178658	0.04844259	0.04617460	0.00671561	-0.00198814	-0.00507672	0.09568544	0.05083107	0.04750270	-0.00382529	-0.01051270	-0.01235449	0.06893730	0.05327194	0.04153153	-0.00146743	0.00289894	-0.02277899	0.11263976	0.07968763	0.08625787	-0.00002928	-0.00691227	-0.00684972	0.07260481	0.07586224	0.07860713	0.00589887	-0.00141916	-0.02043896	0.05244867	0.07139305	0.04473006	0.00059182	-0.00250173	-0.02105814
0.116666	0.13184366	0.04846194	0.04609641	0.00423552	-0.00162768	-0.00474589	0.09558450	0.05071820	0.04729354	-0.00534928	-0.01026070	-0.01288551	0.06892673	0.05348118	0.04115050	0.00110671	0.00072569	-0.02456736	0.11265769	0.07964972	0.08613055	-0.00257627	-0.00860925	-0.00674299	0.07265860	0.07562961	0.07827568	0.00529291	-0.00605224	-0.02145001	0.05241508	0.07128365	0.04447573	-0.00013193	-0.00578920	-0.02088384
