Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12592146	0.00195927	0.10209885	-0.00144527	-0.02937310	0.00691592	0.11483429	-0.02009066	0.09423629	0.03025857	-0.05299809	0.01469275	0.10881257	-0.03833864	0.07821466	0.06322931	-0.08819553	0.02417514	0.10572274	-0.00916766	0.14125285	-0.01585546	-0.01716129	0.00052788	0.07338326	-0.04063573	0.11765735	-0.05027001	-0.01514219	-0.00710773	0.08242182	-0.04937604	0.08657277	-0.01424657	0.03388686	-0.00826530
0.016667	0.12583232	0.00154329	0.10219949	-0.00439213	-0.03229839	0.00469344	0.11521983	-0.02083082	0.09451587	0.02337018	-0.05252859	0.01069423	0.10981283	-0.03967049	0.07867188	0.05184127	-0.08110999	0.01810632	0.10550974	-0.00943768	0.14126529	-0.01535213	-0.02088846	-0.00118733	0.07253262	-0.04091485	0.11763570	-0.04028336	-0.01590377	-0.01089786	0.08203490	-0.04895440	0.08656885	-0.00525983	0.02977275	-0.01658998
0.033333	0.12584423	0.00095152	0.10231238	-0.00733900	-0.03522367	0.00247096	0.11575963	-0.02184264	0.09468725	0.01648179	-0.05205909	0.00669571	0.11077113	-0.04118277	0.07895429	0.04045324	-0.07402446	0.01203750	0.10521740	-0.00977577	0.14125919	-0.01484881	-0.02461562	-0.00290253	0.07184363	-0.04115616	0.11739459	-0.03029671	-0.01666536	-0.01468798	0.08203598	-0.04832165	0.08622604	0.00372691	0.02565864	-0.02491466
0.050000	0.12574734	0.00027499	0.10234689	-0.00956345	-0.03339750	0.00193217	0.11612351	-0.02286162	0.09474923	0.00929512	-0.04537047	0.00701002	0.11149824	-0.04254193	0.07909103	0.03163343	-0.06405997	0.01180054	0.10490087	-0.01022911	0.14118990	-0.01061351	-0.02522488	-0.00248508	0.07133484	-0.04140635	0.11703802	-0.02345344	-0.01930677	-0.00978321	0.08229609	-0.04774027	0.08562544	0.00116457	0.01446076	-0.02038852
0.066666	0.12552993	-0.00031575	0.10231883	-0.00955869	-0.03326315	0.00135787	0.11612921	-0.02358230	0.09477518	0.00395266	-0.04095669	0.00558628	0.11180824	-0.04347761	0.07915913	0.02121837	-0.05392256	0.00889227	0.10470431	-0.01070947	0.14109908	-0.00592052	-0.02698287	-0.00194915	0.07110810	-0.04171616	0.11674473	-0.01148959	-0.02258342	-0.00655367	0.08244368	-0.04752573	0.08510574	0.00481917	0.00279221	-0.01919761
0.083333	0.12517524	-0.00080423	0.10228781	-0.00714119	-0.03063886	0.00129886	0.11587061	-0.02403984	0.09487436	0.00065360	-0.03458742	0.00515094	0.11189722	-0.04405630	0.07931476	0.01372343	-0.04346303	0.00770427	0.10468990	-0.01118876	0.14104415	-0.00020087	-0.02692218	-0.00039712	0.07101061	-0.04213680	0.11673188	-0.00055384	-0.02625290	-0.00142664	0.08240271	-0.04775311	0.08486570	0.00508012	-0.01009256	-0.01312116
0.100000	0.12504189	-0.00127592	0.10233784	-0.00264534	-0.02715921	0.00153915	0.11577857	-0.02447069	0.09502290	0.00108298	-0.02940169	0.00457415	0.11198243	-0.04461797	0.07950120	0.01022444	-0.03525763	0.00625095	0.10479601	-0.01163119	0.14107084	0.00494553	-0.02462761	0.00120461	0.07109400	-0.04265064	0.11692294	0.00725987	-0.02831053	0.00338586	0.08234132	-0.04819802	0.08485436	0.00475483	-0.01897542	-0.00571667
0.116666	0.12510559	-0.00171995	0.10241248	0.00244022	-0.02321061	0.00117239	0.11591946	-0.02499455	0.09512825	0.00389935	-0.02572961	0.00245699	0.11220882	-0.04522084	0.07963717	0.00886977	-0.02931012	0.00278932	0.10496656	-0.01203544	0.14115146	0.00804651	-0.02024539	0.00183225	0.07134812	-0.04318938	0.11705245	0.01129215	-0.02715438	0.00566921	0.08247145	-0.04862916	0.08484408	0.00524188	-0.02131821	-0.00045546
