Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12566784	0.00100964	0.10356056	-0.01149778	-0.01351404	-0.00147582	0.11566243	-0.02272140	0.09202512	-0.01435591	-0.00930942	0.00262079	0.10703707	-0.04091484	0.07361641	0.00239761	-0.01082086	0.00345813	0.09786372	-0.00784943	0.14107804	-0.00283522	-0.01019145	0.00126437	0.06811361	-0.03880303	0.11231558	-0.00746875	-0.01493957	0.00165418	0.08023314	-0.04637779	0.08407259	-0.00481961	-0.00959000	-0.00517069
0.016667	0.12546837	0.00077212	0.10353850	-0.00882271	-0.01253224	-0.00028543	0.11543379	-0.02288827	0.09207751	-0.01175773	-0.01047932	0.00249893	0.10710496	-0.04110669	0.07369293	0.00044882	-0.01137093	0.00289479	0.09780790	-0.00802370	0.14110708	-0.00224546	-0.01015905	0.00126064	0.06799478	-0.03903999	0.11235779	-0.00586579	-0.01627705	0.00092313	0.08016197	-0.04652946	0.08400261	-0.00427233	-0.00958480	-0.00457028
0.033333	0.12531014	0.00056816	0.10353097	-0.00614765	-0.01155044	0.00090495	0.11521477	-0.02304817	0.09211423	-0.00915956	-0.01164922	0.00237708	0.10710248	-0.04129558	0.07373022	-0.00149996	-0.01192101	0.00233144	0.09777434	-0.00818995	0.14112382	-0.00165571	-0.01012664	0.00125692	0.06788817	-0.03931674	0.11236830	-0.00426283	-0.01761453	0.00019208	0.08008412	-0.04669406	0.08390339	-0.00372504	-0.00957960	-0.00396987
0.050000	0.12523122	0.00038329	0.10353824	-0.00601831	-0.01188415	0.00185017	0.11507049	-0.02323287	0.09213325	-0.00731620	-0.01287595	0.00295517	0.10704619	-0.04145268	0.07373381	0.00007752	-0.01377078	0.00291647	0.09776293	-0.00835426	0.14112546	-0.00197117	-0.01049736	0.00195519	0.06780116	-0.03963004	0.11234896	-0.00226521	-0.01756420	0.00073932	0.08001257	-0.04687973	0.08384009	-0.00269064	-0.00885881	-0.00328810
0.066666	0.12519123	0.00022630	0.10358696	-0.00544248	-0.01231529	0.00259605	0.11497106	-0.02346283	0.09219196	-0.00498166	-0.01488907	0.00311160	0.10696942	-0.04169953	0.07379115	0.00167490	-0.01572762	0.00267212	0.09773546	-0.00852299	0.14116590	-0.00212354	-0.01068697	0.00251622	0.06779273	-0.03993819	0.11234110	-0.00038162	-0.01817792	0.00042353	0.07996186	-0.04700536	0.08378252	-0.00144590	-0.00825733	-0.00255072
0.083333	0.12513199	0.00001329	0.10366693	-0.00603064	-0.01330754	0.00280065	0.11495314	-0.02374230	0.09225426	-0.00382906	-0.01659800	0.00308418	0.10700921	-0.04198876	0.07386196	0.00366801	-0.01804365	0.00282956	0.09770095	-0.00871003	0.14121675	-0.00314691	-0.01083363	0.00347094	0.06781460	-0.04024919	0.11237679	0.00032853	-0.01805473	0.00025466	0.07996795	-0.04714186	0.08377594	-0.00090052	-0.00719079	-0.00171714
0.100000	0.12500049	-0.00021941	0.10373409	-0.00741798	-0.01442184	0.00297697	0.11492851	-0.02402915	0.09233306	-0.00405693	-0.01707962	0.00265298	0.10715631	-0.04233451	0.07391977	0.00472767	-0.01996754	0.00295745	0.09764054	-0.00890964	0.14129424	-0.00493022	-0.01081408	0.00450717	0.06791115	-0.04052949	0.11240511	-0.00047207	-0.01720901	0.00028726	0.07998232	-0.04724123	0.08375283	-0.00128318	-0.00610291	-0.00108768
0.116666	0.12484405	-0.00050588	0.10375582	-0.00886939	-0.01531483	0.00336823	0.11486151	-0.02438085	0.09237133	-0.00480192	-0.01683868	0.00217081	0.10733715	-0.04269614	0.07395532	0.00481518	-0.02115593	0.00291043	0.09756710	-0.00908328	0.14136447	-0.00687345	-0.01032497	0.00522228	0.06787856	-0.04084052	0.11239328	-0.00167575	-0.01643601	0.00005178	0.08000593	-0.04734870	0.08372962	-0.00183278	-0.00537979	-0.00082374
