Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12228885	0.00200755	0.10895699	-0.01072843	-0.00538706	-0.01435956	0.11235296	-0.02124439	0.09844524	-0.00059583	-0.00143895	-0.02773799	0.10567207	-0.03962062	0.08007973	0.01098466	0.00785918	-0.03691968	0.09715131	-0.01347557	0.14323337	0.00816460	-0.02056322	-0.00404441	0.06764816	-0.04759404	0.11783032	0.02526938	-0.01961623	-0.03173402	0.07998902	-0.04872822	0.08830915	0.01353437	-0.01573144	-0.03648702
0.016667	0.12210834	0.00193863	0.10872073	-0.00919912	-0.00640550	-0.01452623	0.11234708	-0.02127803	0.09799711	-0.00021324	-0.00267261	-0.02926458	0.10583760	-0.03950021	0.07947098	0.00956703	0.00505934	-0.03669858	0.09729207	-0.01380844	0.14317597	0.00658440	-0.01725176	-0.00430407	0.06804583	-0.04790691	0.11731070	0.02367416	-0.01799959	-0.03178140	0.08022611	-0.04897495	0.08771244	0.00961822	-0.01543070	-0.03500431
0.033333	0.12195047	0.00181878	0.10848101	-0.00766981	-0.00742393	-0.01469290	0.11234050	-0.02130640	0.09750736	0.00016935	-0.00390626	-0.03079117	0.10601185	-0.03939438	0.07886216	0.00814940	0.00225949	-0.03647748	0.09739628	-0.01412629	0.14309593	0.00500420	-0.01394030	-0.00456372	0.06845857	-0.04822386	0.11677513	0.02207895	-0.01638296	-0.03182878	0.08038826	-0.04924863	0.08711758	0.00570206	-0.01512995	-0.03352160
0.050000	0.12182498	0.00166621	0.10823129	-0.00709719	-0.00684597	-0.01464656	0.11233155	-0.02135998	0.09697269	0.00017982	-0.00515201	-0.02987523	0.10616411	-0.03935912	0.07823724	0.00551975	0.00018979	-0.03478668	0.09748763	-0.01433547	0.14300267	0.00307256	-0.01252003	-0.00453593	0.06884037	-0.04850740	0.11623818	0.01833882	-0.01428038	-0.03074464	0.08046190	-0.04950576	0.08654437	0.00330386	-0.01414206	-0.03134099
0.066666	0.12173843	0.00153898	0.10797389	-0.00613032	-0.00696625	-0.01487648	0.11235713	-0.02147859	0.09642637	-0.00059325	-0.00671339	-0.02861328	0.10626926	-0.03938554	0.07763212	0.00259989	-0.00214106	-0.03232447	0.09752665	-0.01450734	0.14294155	0.00005730	-0.01003915	-0.00533017	0.06919356	-0.04873794	0.11570042	0.01308413	-0.01130926	-0.02881616	0.08048286	-0.04975536	0.08602820	-0.00078138	-0.01295428	-0.02827767
0.083333	0.12165974	0.00144061	0.10774606	-0.00527831	-0.00610854	-0.01494194	0.11237613	-0.02161045	0.09593404	-0.00159588	-0.00820466	-0.02574465	0.10625179	-0.03949431	0.07710627	0.00032175	-0.00323796	-0.02898503	0.09752073	-0.01460025	0.14286931	-0.00237820	-0.00772993	-0.00598031	0.06934637	-0.04888324	0.11522436	0.00799160	-0.00854570	-0.02581696	0.08042515	-0.04994144	0.08559303	-0.00315381	-0.01149966	-0.02488671
0.100000	0.12156030	0.00135669	0.10748597	-0.00423284	-0.00475706	-0.01421874	0.11233550	-0.02177681	0.09554785	-0.00222796	-0.00851525	-0.02195937	0.10617041	-0.03959475	0.07666992	-0.00108775	-0.00323796	-0.02483419	0.09741241	-0.01475322	0.14276762	-0.00385662	-0.00550391	-0.00641006	0.06936657	-0.04897879	0.11481708	0.00390270	-0.00698370	-0.02181565	0.08031369	-0.05011180	0.08522685	-0.00399666	-0.00991641	-0.02131001
0.116666	0.12147567	0.00126067	0.10724169	-0.00300155	-0.00346198	-0.01270098	0.11224704	-0.02192231	0.09522675	-0.00278243	-0.00795896	-0.01769199	0.10612764	-0.03962735	0.07629949	-0.00169539	-0.00259037	-0.02067946	0.09729789	-0.01485662	0.14261772	-0.00433868	-0.00388196	-0.00640820	0.06932074	-0.04904252	0.11449473	0.00201178	-0.00672604	-0.01729883	0.08020786	-0.05026396	0.08490040	-0.00358944	-0.00837251	-0.01785620
