Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11255735	0.05559851	0.05466107	-0.01179495	0.00643599	-0.00041451	0.08554439	0.05097356	0.05257574	-0.00392394	-0.00776357	0.00389618	0.06875783	0.04548505	0.04548402	0.00176680	-0.01518259	0.00642453	0.10559854	0.08131973	0.09055677	-0.00373223	0.00583781	-0.00169177	0.07319375	0.07503794	0.07847716	0.00154861	0.00187148	0.00268360	0.05216525	0.06301873	0.04493713	0.00133886	-0.00439932	0.00022717
0.033333	0.11238908	0.05566744	0.05467118	-0.01113971	0.00882417	-0.00281197	0.08548392	0.05081250	0.05262731	-0.00379534	-0.00561690	0.00310780	0.06877315	0.04522783	0.04557332	0.00311272	-0.01476864	0.00671538	0.10552439	0.08137791	0.09052715	-0.00188024	0.00579874	-0.00148461	0.07321589	0.07502796	0.07851793	0.00438610	-0.00021458	0.00298576	0.05217880	0.06289500	0.04495208	0.00179072	-0.00602136	0.00271977
0.050000	0.11218221	0.05584273	0.05461660	-0.01048446	0.01121235	-0.00520943	0.08542121	0.05074644	0.05270103	-0.00366674	-0.00347023	0.00231941	0.06882619	0.04498760	0.04570710	0.00445863	-0.01435468	0.00700624	0.10549939	0.08150860	0.09050212	-0.00002824	0.00575966	-0.00127744	0.07327839	0.07506821	0.07856974	0.00722359	-0.00230064	0.00328792	0.05220726	0.06286179	0.04497075	0.00224258	-0.00764340	0.00521237
0.066666	0.11196662	0.05605930	0.05451866	-0.00829801	0.01035061	-0.00544016	0.08534104	0.05070574	0.05274562	-0.00296687	-0.00309763	0.00178353	0.06892779	0.04477445	0.04582456	0.00413129	-0.01286370	0.00634887	0.10550544	0.08164214	0.09047840	0.00056397	0.00342981	-0.00109993	0.07340867	0.07507437	0.07862422	0.00788353	-0.00570497	0.00324061	0.05226903	0.06277011	0.04505526	0.00128031	-0.00939714	0.00625401
0.083333	0.11183490	0.05629526	0.05436918	-0.00631145	0.01028443	-0.00595900	0.08529886	0.05069343	0.05274695	-0.00245028	-0.00172910	0.00120273	0.06902298	0.04448891	0.04595034	0.00410231	-0.00958478	0.00551030	0.10555156	0.08171672	0.09047201	0.00157718	0.00163664	-0.00090398	0.07360305	0.07494546	0.07869436	0.00877783	-0.00855855	0.00308969	0.05230439	0.06254447	0.04522374	0.00039848	-0.00999579	0.00723972
0.100000	0.11179298	0.05645158	0.05424977	-0.00371398	0.00957487	-0.00532048	0.08527140	0.05064945	0.05274449	-0.00168108	-0.00067294	0.00090281	0.06908646	0.04432425	0.04603264	0.00270386	-0.00554905	0.00487320	0.10559261	0.08167806	0.09045018	0.00185721	-0.00000965	-0.00092246	0.07379877	0.07469811	0.07874192	0.00863854	-0.01038265	0.00249096	0.05230321	0.06228123	0.04540234	-0.00103753	-0.00992565	0.00741291
0.116666	0.11177202	0.05654616	0.05417899	-0.00096292	0.00899922	-0.00357547	0.08526070	0.05063650	0.05275672	-0.00093885	0.00117004	0.00163483	0.06913076	0.04428913	0.04607704	-0.00002991	0.00105460	0.00452075	0.10562786	0.08159745	0.09045003	0.00177503	-0.00053220	-0.00123166	0.07392096	0.07442891	0.07878868	0.00792782	-0.01012657	0.00137859	0.05225040	0.06209329	0.04552168	-0.00304130	-0.00815173	0.00704783
