Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11397817	0.05428743	0.05566843	0.00646780	0.00685160	-0.00488319	0.08566193	0.04891856	0.05343786	0.00102826	0.00531055	-0.00460142	0.06751449	0.04882830	0.04585256	0.00203145	-0.00074482	-0.00140697	0.10502280	0.07976098	0.08824657	0.00627807	0.00634121	-0.00038512	0.06982744	0.07635313	0.07591498	0.00133273	-0.00131302	0.00505047	0.04863551	0.06243415	0.04311332	0.00072804	0.00112804	0.00076127
0.033333	0.11409181	0.05438956	0.05560251	0.00682759	0.00781945	-0.00583483	0.08568085	0.04899470	0.05337167	0.00106328	0.00445226	-0.00458268	0.06755742	0.04881012	0.04583005	0.00175194	-0.00075024	-0.00124891	0.10512500	0.07985765	0.08824672	0.00586646	0.00631506	-0.00057757	0.06984871	0.07633036	0.07600066	0.00177608	-0.00074677	0.00514450	0.04865082	0.06245665	0.04312807	0.00184838	0.00033226	0.00213739
0.050000	0.11419486	0.05452808	0.05549374	0.00718738	0.00878731	-0.00678648	0.08569599	0.04908488	0.05328410	0.00109829	0.00359397	-0.00456395	0.06757835	0.04880510	0.04580622	0.00147243	-0.00075566	-0.00109084	0.10522658	0.07997098	0.08823613	0.00545485	0.00628891	-0.00077002	0.06987917	0.07631605	0.07608488	0.00221943	-0.00018053	0.00523852	0.04867256	0.06246278	0.04315479	0.00296873	-0.00046352	0.00351352
0.066666	0.11431444	0.05468673	0.05536377	0.00718500	0.00861635	-0.00647555	0.08571631	0.04915451	0.05320172	0.00111472	0.00273711	-0.00418188	0.06759557	0.04879294	0.04579489	0.00163124	-0.00084842	-0.00104400	0.10531504	0.08008628	0.08820573	0.00495227	0.00576614	-0.00020277	0.06991460	0.07632406	0.07616470	0.00248374	0.00010312	0.00522850	0.04872175	0.06246086	0.04320512	0.00355348	-0.00038667	0.00388514
0.083333	0.11444951	0.05484860	0.05524124	0.00676135	0.00854561	-0.00642898	0.08573174	0.04918218	0.05313017	0.00104268	0.00195621	-0.00390107	0.06761863	0.04878001	0.04577091	0.00152749	-0.00095526	-0.00089513	0.10540234	0.08018149	0.08820148	0.00407273	0.00533549	0.00004705	0.06996331	0.07631761	0.07626709	0.00259587	0.00061009	0.00483180	0.04880499	0.06241167	0.04332153	0.00413222	-0.00023251	0.00394871
0.100000	0.11457973	0.05499597	0.05513503	0.00581259	0.00774348	-0.00578423	0.08575539	0.04917989	0.05308186	0.00080563	0.00125582	-0.00348376	0.06765443	0.04875646	0.04576202	0.00149180	-0.00127042	-0.00093395	0.10546119	0.08025745	0.08821254	0.00311514	0.00473766	0.00024200	0.07001864	0.07634223	0.07635331	0.00234009	0.00071131	0.00428246	0.04889795	0.06240549	0.04341403	0.00416569	0.00002041	0.00338504
0.116666	0.11467611	0.05511405	0.05505607	0.00433782	0.00655540	-0.00495788	0.08577069	0.04919153	0.05302977	0.00041977	0.00085691	-0.00323777	0.06768498	0.04873940	0.04574795	0.00128076	-0.00171362	-0.00108060	0.10550343	0.08032242	0.08824191	0.00223079	0.00419760	0.00023071	0.07006656	0.07636133	0.07642465	0.00178144	0.00070196	0.00353677	0.04897739	0.06242526	0.04346360	0.00376597	0.00060505	0.00211251
