Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																										
0.016667	0.10397438	0.06847256	0.09663501	0.00022508	0.00298367	0.00337628	0.10287706	0.04243265	0.08467614	0.00087384	0.00062844	0.00299839	0.09206083	0.02499231	0.07603883	-0.00597457	-0.00196270	-0.00021853	0.06448986	0.06503511	0.12325574	-0.00216381	0.00005350	-0.00098147	0.06178342	0.02969634	0.10850389	-0.00197601	-0.00154685	0.00106696	0.07313713	0.01506439	0.07495962	-0.00329909	-0.00470297	-0.00089642	0.08227332	0.15477532	0.09369691	0.00354981	0.00341499	-0.00312046
0.033333	0.10397426	0.06852363	0.09669087	0.00097387	0.00274860	0.00417331	0.10288323	0.04244278	0.08472620	0.00210353	0.00035338	0.00338988	0.09196331	0.02494904	0.07603873	-0.00686492	-0.00106015	-0.00031740	0.06445546	0.06503569	0.12324245	-0.00223071	0.00021055	-0.00100986	0.06175107	0.02967232	0.10852192	-0.00223440	-0.00160358	0.00118509	0.07308024	0.01498309	0.07494313	-0.00437783	-0.00561959	-0.00007600	0.08232971	0.15482709	0.09364774	0.00345515	0.00346453	-0.00330919
0.050000	0.10399140	0.06857103	0.09675378	0.00172266	0.00251354	0.00497034	0.10292096	0.04245249	0.08477925	0.00333322	0.00007832	0.00378137	0.09185638	0.02493771	0.07603173	-0.00775527	-0.00015759	-0.00041627	0.06442116	0.06504040	0.12322085	-0.00229762	0.00036761	-0.00103824	0.06171689	0.02964538	0.10854121	-0.00249279	-0.00166030	0.00130322	0.07301820	0.01489535	0.07493678	-0.00545657	-0.00653620	0.00074443	0.08239379	0.15488969	0.09359033	0.00336049	0.00351408	-0.00349791
0.066666	0.10402175	0.06860874	0.09684522	0.00185449	0.00239980	0.00510385	0.10298030	0.04244718	0.08484986	0.00344930	0.00006709	0.00370366	0.09171690	0.02494378	0.07602263	-0.00776305	-0.00012851	-0.00025399	0.06437499	0.06504422	0.12320305	-0.00196730	0.00048418	-0.00093922	0.06166784	0.02961182	0.10856462	-0.00244458	-0.00160289	0.00139438	0.07291473	0.01478571	0.07495929	-0.00573678	-0.00716016	0.00083298	0.08244567	0.15495037	0.09353057	0.00348860	0.00304253	-0.00338351
0.083333	0.10407238	0.06864495	0.09694576	0.00198592	0.00192680	0.00540601	0.10307433	0.04244706	0.08491419	0.00368381	-0.00006082	0.00352112	0.09156261	0.02496200	0.07600933	-0.00807043	0.00045508	-0.00038475	0.06433602	0.06505526	0.12318831	-0.00172053	0.00044480	-0.00076101	0.06162546	0.02958859	0.10858534	-0.00258888	-0.00183420	0.00155461	0.07280575	0.01465682	0.07498664	-0.00606334	-0.00776023	0.00106600	0.08249994	0.15501155	0.09346747	0.00363295	0.00231341	-0.00321363
0.100000	0.10411419	0.06868418	0.09704515	0.00178073	0.00131600	0.00542322	0.10314206	0.04244209	0.08498635	0.00348670	0.00000749	0.00300301	0.09142708	0.02496267	0.07601498	-0.00826332	0.00108567	-0.00081789	0.06431509	0.06506972	0.12317363	-0.00140708	0.00015345	-0.00048012	0.06158159	0.02956353	0.10861541	-0.00262221	-0.00212628	0.00170839	0.07268138	0.01450089	0.07501554	-0.00560953	-0.00773678	0.00089899	0.08255708	0.15504873	0.09341250	0.00376613	0.00146568	-0.00292783
0.116666	0.10414083	0.06870416	0.09713232	0.00135486	0.00063535	0.00516864	0.10319140	0.04244331	0.08502875	0.00306872	0.00030261	0.00229695	0.09129956	0.02496704	0.07601373	-0.00819705	0.00189731	-0.00139040	0.06430177	0.06507759	0.12317023	-0.00104901	-0.00023700	-0.00023536	0.06154248	0.02953193	0.10864419	-0.00252447	-0.00236304	0.00179176	0.07258332	0.01435650	0.07502594	-0.00466267	-0.00705180	0.00043199	0.08262828	0.15505350	0.09337061	0.00379504	0.00070036	-0.00263219
