Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.10643417	0.06721778	0.09600608	-0.00185468	0.00605150	0.00428701	0.10399064	0.03895421	0.08498935	-0.00211184	0.00556501	-0.00229423	0.09171301	0.02358055	0.07532643	-0.01020674	0.01148662	-0.00565766	0.06727704	0.06264117	0.12268994	-0.00412097	-0.00102908	-0.00187860	0.06474853	0.02822748	0.10808461	0.00325472	0.00481051	-0.00680017	0.07387018	0.01286540	0.07321675	0.00035700	-0.00484149	-0.00207775	0.08341005	0.15107130	0.09511867	-0.00654976	0.00073388	-0.00033856
0.016667	0.10641291	0.06732300	0.09606745	-0.00171751	0.00571849	0.00335233	0.10395728	0.03904363	0.08494999	-0.00080131	0.00532588	-0.00304790	0.09155015	0.02375848	0.07523005	-0.00800799	0.00984922	-0.00492679	0.06720882	0.06262180	0.12265546	-0.00605846	-0.00142471	-0.00138201	0.06480350	0.02830334	0.10797650	0.00099644	0.00318592	-0.00574822	0.07387802	0.01279389	0.07318619	0.00015915	-0.00265132	-0.00171841	0.08330818	0.15108028	0.09510711	-0.00651735	0.00145823	-0.00026241
0.033333	0.10637596	0.06741391	0.09613481	-0.00158035	0.00538549	0.00241765	0.10393896	0.03913748	0.08490110	0.00050921	0.00508676	-0.00380156	0.09140303	0.02394176	0.07514674	-0.00580924	0.00821183	-0.00419592	0.06711938	0.06260117	0.12263370	-0.00799596	-0.00182033	-0.00088543	0.06482775	0.02836112	0.10787565	-0.00126184	0.00156132	-0.00469627	0.07387862	0.01272868	0.07315489	-0.00003871	-0.00046114	-0.00135907	0.08319485	0.15110265	0.09510995	-0.00648494	0.00218258	-0.00018627
0.050000	0.10634021	0.06749954	0.09618258	-0.00077967	0.00515653	0.00103146	0.10394805	0.03922765	0.08483744	0.00185565	0.00509212	-0.00466960	0.09130242	0.02409177	0.07507874	-0.00350276	0.00643504	-0.00402106	0.06697803	0.06257172	0.12262165	-0.00854436	-0.00215142	-0.00077159	0.06480338	0.02839677	0.10778962	-0.00273031	-0.00003250	-0.00329533	0.07387720	0.01272335	0.07312717	-0.00043851	0.00120672	-0.00069063	0.08307963	0.15114832	0.09510776	-0.00589585	0.00204482	-0.00024233
0.066666	0.10632135	0.06758775	0.09619820	0.00001390	0.00443933	-0.00075486	0.10398474	0.03929574	0.08476087	0.00372382	0.00483623	-0.00583092	0.09126177	0.02417173	0.07502905	0.00031822	0.00352497	-0.00346927	0.06679217	0.06253251	0.12261862	-0.00924371	-0.00252209	-0.00062611	0.06472557	0.02837967	0.10773863	-0.00476515	-0.00157046	-0.00161891	0.07387339	0.01277380	0.07311241	-0.00135344	0.00382494	0.00007242	0.08297133	0.15119693	0.09510613	-0.00521647	0.00184023	-0.00026744
0.083333	0.10633855	0.06766536	0.09615653	0.00073102	0.00359801	-0.00247971	0.10406926	0.03937313	0.08464795	0.00509063	0.00408228	-0.00672570	0.09129791	0.02419993	0.07497744	0.00463979	-0.00026795	-0.00271597	0.06660705	0.06247758	0.12261343	-0.00899050	-0.00287288	-0.00074592	0.06461144	0.02830709	0.10773940	-0.00559362	-0.00201655	-0.00057522	0.07385865	0.01287475	0.07312930	-0.00230298	0.00616457	0.00065595	0.08289909	0.15124065	0.09509481	-0.00430113	0.00102133	-0.00038780
0.100000	0.10637987	0.06772430	0.09607940	0.00106790	0.00275866	-0.00381464	0.10419768	0.03946700	0.08450741	0.00594439	0.00313958	-0.00722098	0.09141565	0.02418457	0.07491601	0.00896390	-0.00392848	-0.00186299	0.06645814	0.06242619	0.12260225	-0.00793978	-0.00325601	-0.00090372	0.06447915	0.02822289	0.10777739	-0.00533959	-0.00166754	-0.00010394	0.07380489	0.01300367	0.07316076	-0.00295007	0.00780653	0.00087288	0.08284055	0.15124625	0.09509068	-0.00335564	-0.00010170	-0.00042778
0.116666	0.10640873	0.06774875	0.09599841	0.00101641	0.00236039	-0.00452148	0.10430840	0.03950838	0.08437806	0.00657025	0.00245943	-0.00723570	0.09160525	0.02408197	0.07488792	0.01260193	-0.00619282	-0.00128266	0.06635228	0.06237679	0.12257672	-0.00662497	-0.00345142	-0.00093595	0.06438570	0.02820586	0.10779049	-0.00454875	-0.00075771	-0.00005115	0.07372500	0.01315075	0.07318773	-0.00319046	0.00901554	0.00069317	0.08279853	0.15122902	0.09508002	-0.00269794	-0.00099957	-0.00041161
