Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																										
0.016667	0.10547139	0.06921843	0.09171508	0.00130676	0.00186299	0.00114784	0.09815108	0.04466221	0.08477862	-0.00292973	-0.00015309	0.00032313	0.08788940	0.02741829	0.08141961	-0.00072539	-0.00222833	-0.00046369	0.07674418	0.06719442	0.12310095	0.00450781	0.00053603	0.00030246	0.06623366	0.03145762	0.11310870	0.00768981	-0.00466384	0.00193410	0.06885391	0.01492426	0.07787064	0.00191913	-0.00164607	0.00008468	0.09177503	0.15417972	0.09274129	0.00164975	0.00592599	-0.00000216
0.033333	0.10549497	0.06925557	0.09173141	0.00202597	0.00127718	0.00135050	0.09810089	0.04465671	0.08478178	-0.00227117	-0.00076041	0.00031762	0.08787417	0.02738398	0.08140706	-0.00052840	-0.00294189	-0.00066497	0.07681998	0.06720810	0.12310069	0.00442678	0.00133351	0.00009365	0.06636586	0.03137139	0.11313534	0.00732671	-0.00445450	0.00136726	0.06888262	0.01488700	0.07787042	0.00222736	-0.00209976	-0.00019178	0.09180274	0.15428941	0.09273567	0.00171170	0.00591295	0.00028364
0.050000	0.10552285	0.06927788	0.09175418	0.00274518	0.00069138	0.00155315	0.09805798	0.04464770	0.08479164	-0.00161261	-0.00136773	0.00031211	0.08786539	0.02733513	0.08140012	-0.00033140	-0.00365546	-0.00086625	0.07689176	0.06722494	0.12310641	0.00434575	0.00213099	-0.00011515	0.06648067	0.03130428	0.11316535	0.00696360	-0.00424515	0.00080042	0.06891754	0.01486562	0.07786751	0.00253559	-0.00255345	-0.00046823	0.09183184	0.15438315	0.09274129	0.00177366	0.00589992	0.00056945
0.066666	0.10557016	0.06927485	0.09178425	0.00315746	0.00126444	0.00126821	0.09803896	0.04462909	0.08479414	-0.00151445	-0.00181819	0.00021804	0.08786216	0.02726601	0.08139569	-0.00022665	-0.00349293	-0.00155915	0.07696561	0.06725259	0.12311055	0.00410637	0.00285466	-0.00058815	0.06660031	0.03124278	0.11318463	0.00671632	-0.00450397	0.00008538	0.06896527	0.01482348	0.07786965	0.00262116	-0.00270079	-0.00111700	0.09185940	0.15446444	0.09276154	0.00188914	0.00696856	0.00012893
0.083333	0.10563518	0.06927831	0.09181558	0.00383963	0.00191671	0.00081186	0.09802801	0.04458861	0.08479989	-0.00111733	-0.00221104	-0.00016477	0.08786780	0.02719775	0.08136475	0.00022154	-0.00319357	-0.00239869	0.07703720	0.06731428	0.12310179	0.00376986	0.00354087	-0.00095833	0.06670889	0.03116960	0.11317741	0.00645931	-0.00456192	-0.00081856	0.06902147	0.01477096	0.07784297	0.00324578	-0.00253872	-0.00198078	0.09189141	0.15456738	0.09277391	0.00189968	0.00808473	-0.00023566
0.100000	0.10571052	0.06930660	0.09183042	0.00438614	0.00291777	0.00017781	0.09801082	0.04453111	0.08480205	-0.00094168	-0.00256955	-0.00061479	0.08785580	0.02712259	0.08132187	0.00073154	-0.00254789	-0.00334693	0.07709935	0.06739917	0.12306961	0.00339994	0.00385141	-0.00115343	0.06680759	0.03108377	0.11314932	0.00610391	-0.00481525	-0.00176479	0.06905593	0.01469617	0.07781053	0.00388754	-0.00227003	-0.00300010	0.09192707	0.15472245	0.09276436	0.00180685	0.00930656	-0.00076436
0.116666	0.10578656	0.06938370	0.09182207	0.00455534	0.00350514	-0.00016186	0.09799290	0.04448640	0.08478819	-0.00111223	-0.00330552	-0.00073925	0.08787719	0.02710365	0.08124029	0.00103657	-0.00224360	-0.00397758	0.07714656	0.06747687	0.12303612	0.00288730	0.00359686	-0.00113398	0.06691095	0.03099701	0.11310439	0.00520656	-0.00528499	-0.00254371	0.06912837	0.01467269	0.07773844	0.00413423	-0.00208621	-0.00377802	0.09196316	0.15491204	0.09273335	0.00167117	0.01002010	-0.00125509
